S60.8	phlyctènes palmaires par frottement
S52.11	fracture ouverte du col du radius
S52.11	fracture ouverte de l'extrémité proximale du radius
S52.71	fractures multiples ouvertes de l'extrémité supérieure du radius
S52.81	fracture ouverte des extrémités supérieures radiale et cubitale
S52.80	fracture fermée de la diaphyse d'un os de l'avant-bras
S52.30	fracture fermée de la diaphyse du radius
S52.20	fracture fermée de la diaphyse du cubitus
S52.40	fracture fermée des diaphyses radiale et cubitale
S52.81	fracture ouverte de la diaphyse d'un os de l'avant-bras
S52.31	fracture ouverte de la diaphyse du radius
S52.21	fracture ouverte de la diaphyse du cubitus
S52.41	fracture ouverte des diaphyses radiale et cubitale
S52.80	fracture fermée de l'extrémité inférieure de l'avant-bras
S52.80	fracture fermée de l'extrémité distale de l'avant-bras
S52.50	fracture de Colles fermée
S52.50	fracture fermée de l'extrémité distale du radius
S52.50	fracture fermée de l'extrémité inférieure du radius
S52.5	fracture de Dupuytren du membre supérieur
S52.5	fracture de Galeazzi
S52.5	fracture de Barton
S52.80	fracture fermée de l'extrémité distale du cubitus
S52.80	fracture fermée de l'extrémité inférieure du cubitus
S52.80	fracture fermée de l'épiphyse inférieure
S52.80	fracture fermée de la tête du cubitus
S52.80	fracture fermée de l'apophyse styloïde du cubitus
S52.60	fracture fermée des extrémités inférieures radiale et cubitale
S52.50	fracture de Moore
S52.50	fracture de Pouteau-Colles inversée fermée
S52.50	fracture de Goyrand fermée
S52.50	fracture de Smith fermée
S52.81	fracture ouverte de l'extrémité inférieure de l'avant-bras
S52.81	fracture ouverte de l'extrémité distale de l'avant-bras
S52.51	fracture de Colles ouverte
S52.51	fracture ouverte de l'extrémité distale du radius
S52.81	fracture ouverte de l'extrémité distale du cubitus
S52.61	fracture ouverte des extrémités inférieures radiale et cubitale
S52.61	fracture de Skillern
S52.51	fracture de Pouteau-Colles inversée ouverte
S52.51	fracture de Goyrand ouverte
S52.61	fracture de Smith ouverte
S62.1	fracture d'un os du carpe
S62.8	fracture du poignet
S62.0	fracture de l'os scaphoïde de la main
S62.0	fracture du scaphoïde carpien
S62.1	fracture de l'os semi-lunaire du poignet
S62.1	fracture de l'os semi-lunaire du carpe
S62.1	fracture de l'os pyramidal du poignet
S62.1	fracture de l'os pyramidal du carpe
S62.1	fracture de l'os pisiforme du poignet
S62.1	fracture de l'os trapèze du poignet
S62.1	fracture du grand multiangulaire du carpe
S62.1	fracture de l'os trapézoïde du poignet
S62.1	fracture du petit multiangulaire du carpe
S62.1	fracture du grand os du poignet
S62.1	fracture du grand os du carpe
S62.1	fracture de l'os crochu du poignet
S62.1	fracture de l'os crochu du carpe
S62.0	fracture de de Quervain
S62.10	fracture fermée d'un os du carpe
S62.10	fracture fermée du poignet
S62.00	fracture fermée de l'os scaphoïde du poignet
S62.00	fracture fermée du scaphoïde carpien
S62.10	fracture fermée de l'os semi-lunaire du poignet
S62.10	fracture fermée de l'os semi-lunaire du carpe
S62.10	fracture fermée de l'os pyramidal du poignet
S62.10	fracture fermée de l'os pyramidal du carpe
S62.10	fracture fermée de l'os pisiforme du poignet
S62.10	fracture fermée de l'os trapèze du poignet
S62.10	fracture fermée du grand multiangulaire du carpe
S62.10	fracture fermée de l'os trapézoïde du poignet
S62.10	fracture fermée du petit multiangulaire du carpe
S62.10	fracture fermée du grand os du poignet
S62.10	fracture fermée du grand os du carpe
S62.10	fracture fermée de l'os crochu du poignet
S62.10	fracture fermée de l'os crochu du carpe
S62.11	fracture ouverte d'un os du carpe
S62.11	fracture ouverte du carpe
S62.01	fracture ouverte de l'os scaphoïde du poignet
S62.01	fracture ouverte du scaphoïde carpien
S62.11	fracture ouverte de l'os semi-lunaire du poignet
S62.11	fracture ouverte de l'os semi-lunaire du carpe
S62.11	fracture ouverte de l'os pyramidal du poignet
S62.11	fracture ouverte de l'os pyramidal du carpe
S62.11	fracture ouverte de l'os pisiforme du poignet
S62.11	fracture ouverte de l'os trapèze du poignet
S62.11	fracture ouverte du grand multiangulaire du carpe
S62.11	fracture ouverte de l'os trapézoïde du poignet
S62.11	fracture ouverte du petit multiangulaire du carpe
S62.11	fracture ouverte du grand os du poignet
S62.11	fracture ouverte du grand os du carpe
S62.11	fracture ouverte de l'os crochu du poignet
S62.11	fracture ouverte de l'os crochu du carpe
S62.3	fracture d'un métacarpien
S62.3	fracture de la main à l'exclusion des doigts
S62.2	fracture de la base du premier métacarpien
S62.2	fracture de Bennett
S62.3	fracture de la base d'un autre métacarpien
S62.3	fracture du corps d'un métacarpien
S62.3	fracture de la tête d'un métacarpien
S62.3	fracture des boxeurs
S62.8	fracture de la main
S62.8	fracture d'un os de la main
S62.4	fractures multiples du métacarpe
S62.30	fracture fermée d'un métacarpien
S62.20	fracture fermée de la base du premier métacarpien
S62.20	fracture de Bennett fermée
S62.30	fracture fermée de la base d'un autre métacarpien
S62.30	fracture fermée du corps d'un métacarpien
S62.30	fracture fermée de la tête d'un métacarpien
S62.40	fractures multiples fermées du métacarpe
S62.31	fracture ouverte d'un métacarpien
S62.21	fracture ouverte de la base du premier métacarpien
S62.21	fracture de Bennett ouverte
S62.31	fracture ouverte de la base d'un autre métacarpien
S62.31	fracture ouverte du corps d'un métacarpien
S62.31	fracture ouverte de la tête d'un métacarpien
S62.41	fractures multiples ouvertes du métacarpe
S62.6	fracture d'une phalange d'un doigt
S62.6	fracture d'un doigt
S62.6	fracture de la phalange moyenne ou proximale d'un doigt
S62.6	fracture de la phalange distale d'un doigt
S62.7	fractures multiples des phalanges de la main
S62.60	fracture fermée d'une phalange d'un doigt
S62.60	fracture fermée d'un doigt
S62.60	fracture fermée de la phalange moyenne ou proximale d'un doigt
S62.60	fracture fermée de la phalange distale d'un doigt
S62.70	fractures multiples fermées des phalanges de la main
S62.61	fracture ouverte d'une phalange d'un doigt
S62.61	fracture ouverte d'un doigt
S62.61	fracture ouverte de la phalange moyenne ou proximale d'un doigt
S62.61	fracture ouverte de la phalange distale d'un doigt
S62.71	fractures multiples ouvertes des phalanges de la main
S62.7 S62.4	fractures multiples des os de la main
S62.70 S62.40	fractures multiples fermées des os de la main
S62.71 S62.41	fractures multiples ouvertes des os de la main
S72.9	fracture du fémur
S72.9	fracture de la cuisse
S72.90	fracture fermée du fémur
S72.90	fracture fermée de la cuisse
S72.91	fracture ouverte du fémur
S72.91	fracture ouverte de la cuisse
S72.0	fracture du col du fémur
S72.0	fracture du col fémoral
S72.0	fracture de la hanche
S72.00	fracture transcervicale fermée du fémur
S72.00	fracture fermée de la partie intracapsulaire du col du fémur
S72.00	fracture épiphysaire fermée du fémur
S72.00	fracture transépiphysaire fermée du fémur
S72.00	fracture médiocervicale fermée du fémur
S72.00	fracture fermée de la base du col du fémur
S72.00	fracture cervico-trochantérienne fermée du fémur
S72.00	fracture fermée de la tête du fémur
S72.00	fracture sous-capitale fermée du fémur
S72.01	fracture transcervicale ouverte du fémur
S72.01	fracture ouverte de la partie intracapsulaire du col du fémur
S72.01	fracture épiphysaire ouverte du fémur
S72.01	fracture transépiphysaire ouverte du fémur
S72.01	fracture médiocervicale ouverte du fémur
S72.01	fracture ouverte de la base du col du fémur
S72.01	fracture cervico-trochantérienne ouverte du fémur
S72.01	fracture ouverte de la tête du fémur
S72.01	fracture sous-capitale ouverte du fémur
S72.10	fracture pertrochantérienne fermée
S72.10	fracture fermée du grand trochanter du fémur
S72.10	fracture fermée du petit trochanter du fémur
S72.10	fracture intertrochantérienne fermée
S72.20	fracture sous-trochantérienne fermée
S72.11	fracture pertrochantérienne ouverte
S72.11	fracture ouverte du grand trochanter du fémur
S72.11	fracture ouverte du petit trochanter du fémur
S72.11	fracture intertrochantérienne ouverte
S72.21	fracture sous-trochantérienne ouverte
S72.00	fracture fermée du col du fémur
S72.00	fracture fermée de la hanche
S72.01	fracture ouverte du col du fémur
S72.01	fracture ouverte de la hanche
S72.3	fracture de la diaphyse du fémur
S72.30	fracture fermée de la diaphyse du fémur
S72.31	fracture ouverte de la diaphyse du fémur
S72.40	fracture fermée de l'extrémité inférieure du fémur
S72.40	fracture fermée de l'extrémité distale du fémur
S72.40	fracture fermée du condyle du fémur
S72.4	fracture du condyle interne du fémur
S72.40	fracture fermée de l'épiphyse inférieure du fémur
S72.40	fracture suscondylienne fermée du fémur
S72.70	fractures multiples fermées de l'extrémité inférieure du fémur
S72.41	fracture ouverte de l'extrémité inférieure du fémur
S72.41	fracture ouverte de l'extrémité distale du fémur
S72.41	fracture ouverte du condyle fémoral
S72.41	fracture ouverte de l'épiphyse inférieure du fémur
S72.41	fracture suscondylienne ouverte du fémur
S72.71	fractures multiples ouvertes de l'extrémité inférieure du fémur
S82.0	fracture de la rotule
S82.00	fracture fermée de la rotule
S82.01	fracture ouverte de la rotule
S82.9	fracture de la jambe
S82.9	fracture du tibia et du péroné
S82.90	fracture fermée de la jambe
S82.90	fracture fermée du tibia et du péroné
S82.91	fracture ouverte de la jambe
S82.91	fracture ouverte du tibia et du péroné
S82.4	fracture du péroné
S82.8	fracture du tibia
S82.1	fracture de l'extrémité supérieure de la jambe
S82.1	fracture de l'extrémité supérieure du tibia et du péroné
S82.10	fracture fermée de l'extrémité supérieure de la jambe
S82.10	fracture fermée de l'extrémité supérieure du tibia et du péroné
S82.11	fracture ouverte de l'extrémité supérieure de la jambe
S82.11	fracture ouverte de l'extrémité supérieure du tibia et du péroné
S82.40	fracture fermée de la tête du péroné
S82.10	fracture condylienne fermée du tibia
S82.10	fracture fermée de la tubérosité antérieure du tibia
S82.1	fracture de l'extrémité supérieure du tibia
S82.4	fracture de l'extrémité supérieure du péroné
S82.10	fracture fermée de l'extrémité supérieure du tibia
S82.40	fracture fermée de l'extrémité supérieure du péroné
S82.11	fracture ouverte de l'extrémité supérieure du tibia
S82.41	fracture ouverte de l'extrémité supérieure du péroné
S82.2	fracture de la diaphyse du tibia
S82.4	fracture de la diaphyse du péroné
S82.20	fracture fermée de la diaphyse du tibia
S82.40	fracture fermée de la diaphyse du péroné
S82.21	fracture ouverte de la diaphyse du tibia
S82.41	fracture ouverte de la diaphyse du péroné
S82.8	fracture de la cheville
S82.80	fracture fermée de la cheville
S82.81	fracture ouverte de la cheville
S82.3	fracture hélicoïdale de Gosselin
S82.3	fracture spiroïde de Gerdy
S82.50	fracture fermée de la malléole interne
S82.5	fracture de Wagstaffe
S82.51	fracture ouverte de la malléole interne
S82.60	fracture fermée de la malléole externe
S82.61	fracture ouverte de la malléole externe
S82.80	fracture bimalléolaire fermée
S82.8	fracture bimalléolaire
S82.5	fracture de Pott
S82.6	fracture de Dupuytren du péroné
S82.81	fracture bimalléolaire ouverte
S82.80	fracture trimalléolaire fermée
S82.8	fracture trimalléolaire
S82.81	fracture trimalléolaire ouverte
S92.9	fracture du pied
S92.90	fracture fermée du pied
S92.90	fracture fermée d'un os non précisé du pied, à l'exclusion des orteils
S92.91	fracture ouverte du pied
S92.91	fracture ouverte d'un os non précisé du pied, à l'exclusion des orteils
S92.00	fracture fermée du calcanéum
S92.01	fracture ouverte du calcanéum
S92.1	fracture de Shepherd
S92.10	fracture fermée de l'astragale
S92.20	fracture fermée de l'os naviculaire du pied
S92.20	fracture fermée du scaphoïde tarsien
S92.20	fracture fermée du cuboïde du pied
S92.20	fracture fermée d'un os cunéiforme du pied
S92.20	fracture fermée de l'os cunéiforme externe du pied
S92.20	fracture fermée de l'os cunéiforme intermédiaire du pied
S92.20	fracture fermée de l'os cunéiforme interne du pied
S92.30	fracture fermée d'un métatarsien
S92.30	fracture fermée du premier métatarsien
S92.30	fracture fermée du deuxième métatarsien
S92.30	fracture fermée du troisième métatarsien
S92.30	fracture fermée du quatrième métatarsien
S92.30	fracture fermée du cinquième métatarsien
S92.70	fractures multiples fermées du tarse et du métatarse
S92.11	fracture ouverte de l'astragale
S92.21	fracture ouverte de l'os naviculaire du pied
S92.21	fracture ouverte du scaphoïde tarsien
S92.21	fracture ouverte du cuboïde du pied
S92.21	fracture ouverte d'un os cunéiforme du pied
S92.21	fracture ouverte de l'os cunéiforme externe du pied
S92.21	fracture ouverte de l'os cunéiforme intermédiaire du pied
S92.21	fracture ouverte de l'os cunéiforme interne du pied
S92.31	fracture ouverte d'un métatarsien
S92.31	fracture ouverte du premier métatarsien
S92.31	fracture ouverte du deuxième métatarsien
S92.31	fracture ouverte du troisième métatarsien
S92.31	fracture ouverte du quatrième métatarsien
S92.31	fracture ouverte du cinquième métatarsien
S92.71	fractures ouvertes multiples du tarse et du métatarse
S92.5	fracture d'une phalange du pied
S92.5	fracture d'un orteil
S92.50	fracture fermée d'une phalange du pied
S92.50	fracture fermée d'un orteil
S92.51	fracture ouverte d'une phalange du pied
S92.51	fracture ouverte d'un orteil
S03.0	luxation de la mâchoire
S03.0	luxation de la mandibule
S03.0	luxation du maxillaire inférieur
S03.0	luxation de l'articulation temporo-mandibulaire
S03.0	luxation temporo-mandibulaire
S03.0	subluxation de l'articulation temporo-mandibulaire
S03.0	luxation fermée de la mâchoire
S03.0	dislocation fermée de la mandibule
S03.0	luxation fermée du maxillaire inférieur
S03.0	luxation fermée de l'articulation temporo-mandibulaire
S03.0	luxation ouverte de la mâchoire
S03.0	dislocation ouverte de la mandibule
S03.0	luxation ouverte du maxillaire inférieur
S03.0	luxation ouverte de l'articulation temporo-mandibulaire
S13.1	luxation d'une vertèbre cervicale
S13.1	luxation fermée d'une vertèbre cervicale
S13.1	luxation fermée de la première vertèbre cervicale
S13.1	luxation de Bell-Dally
S13.1	luxation fermée de la deuxième vertèbre cervicale
S13.1	luxation fermée de la troisième vertèbre cervicale
S13.1	luxation fermée de la quatrième vertèbre cervicale
S13.1	luxation fermée de la cinquième vertèbre cervicale
S13.1	luxation fermée de la sixième vertèbre cervicale
S13.1	luxation fermée de la septième vertèbre cervicale
S13.1	luxations fermées de plusieurs vertèbres cervicales
S13.1	luxation ouverte d'une vertèbre cervicale
S13.1	luxation ouverte de la première vertèbre cervicale
S13.1	luxation ouverte de la deuxième vertèbre cervicale
S13.1	luxation ouverte de la troisième vertèbre cervicale
S13.1	luxation ouverte de la quatrième vertèbre cervicale
S13.1	luxation ouverte de la cinquième vertèbre cervicale
S13.1	luxation ouverte de la sixième vertèbre cervicale
S13.1	luxation ouverte de la septième vertèbre cervicale
S13.1	luxations ouvertes de plusieurs vertèbres cervicales
S23.1	luxation fermée d'une vertèbre thoracique
S23.1	luxation fermée d'une vertèbre dorsale
S23.1	luxation fermée d'une vertèbre lombaire
S23.1	luxation ouverte d'une vertèbre thoracique
S23.1	luxation ouverte d'une vertèbre dorsale
S23.1	luxation ouverte d'une vertèbre lombaire
S33.2	luxation fermée du sacrum
S33.2	luxation fermée de l'articulation sacro-iliaque
S33.2	luxation ouverte du sacrum
S33.2	luxation ouverte de l'articulation sacro-iliaque
S33.2	luxation fermée du coccyx
S33.2	luxation ouverte du coccyx
S23.2	luxation fermée du sternum
S43.2	luxation fermée de l'articulation sterno-claviculaire
S23.2	luxation ouverte du sternum
S43.2	luxation ouverte de l'articulation sterno-claviculaire
S33.3	luxation fermée du bassin
S33.3	luxation ouverte du bassin
S43.0	luxation fermée de l'épaule
S43.0	luxation fermée de l'humérus
S43.0	luxation antérieure fermée de l'humérus
S43.0	luxation postérieure fermée de l'humérus
S43.0	luxation inférieure fermée de l'humérus
S43.1	luxation fermée de l'articulation acromio-claviculaire
S43.1	luxation fermée de la clavicule
S43.0	luxation fermée de l'omoplate
S43.0	luxation ouverte de l'épaule
S43.0	luxation ouverte de l'humérus
S43.0	luxation antérieure ouverte de l'humérus
S43.0	luxation postérieure ouverte de l'humérus
S43.0	luxation inférieure ouverte de l'humérus
S43.1	luxation ouverte de l'articulation acromio-claviculaire
S43.1	luxation ouverte de la clavicule
S43.0	luxation ouverte de l'omoplate
S53.1	luxation fermée du coude
S53.1	luxation antérieure fermée du coude
S53.1	luxation postérieure fermée du coude
S53.1	luxation interne fermée du coude
S53.1	luxation externe fermée du coude
S53.1	subluxation incomplète du coude
S53.1	luxation ouverte du coude
S53.1	luxation antérieure ouverte du coude
S53.1	luxation postérieure ouverte du coude
S53.1	luxation interne ouverte du coude
S53.1	luxation externe ouverte du coude
S63.0	luxation fermée du poignet
S63.0	luxation fermée de l'articulation radio-ulnaire distale du poignet
S63.0	luxation fermée de l'articulation radio-carpienne du poignet
S63.0	luxation fermée de l'articulation médio-carpienne du poignet
S63.0	luxation fermée de l'articulation carpo-métacarpienne du poignet
S63.0	luxation fermée de l'extrémité proximale d'un métacarpien
S63.0	luxation fermée de l'extrémité distale du cubitus
S63.0	luxation isolée du semi-lunaire
S63.0	luxation isolée de l'os semi-lunaire
S63.0	luxation de l'os semi-lunaire
S63.0	luxation ouverte du poignet
S63.0	luxation ouverte de l'articulation radio-ulnaire distale du poignet
S63.0	luxation ouverte de l'articulation radio-carpienne du poignet
S63.0	luxation ouverte de l'articulation médio-carpienne du poignet
S63.0	luxation ouverte de l'articulation carpo-métacarpienne du poignet
S63.0	luxation ouverte de l'extrémité proximale d'un métacarpien
S63.0	luxation ouverte de l'extrémité distale du cubitus
S63.1	luxation fermée d'un doigt
S63.1	luxation fermée d'une phalange de la main
S63.1	luxation fermée de l'articulation métacarpo-phalangienne d'un doigt
S63.1	luxation fermée d'une articulation interphalangienne de la main
S63.1	luxation fermée du pouce
S63.1	luxation fermée de l'articulation métacarpo-phalangienne du pouce
S63.1	luxation fermée d'une articulation interphalangienne du pouce
S63.1	luxation ouverte d'un doigt
S63.1	luxation ouverte d'une phalange de la main
S63.1	luxation ouverte de l'articulation métacarpo-phalangienne d'un doigt
S63.1	luxation ouverte d'une articulation interphalangienne de la main
S63.1	luxation ouverte du pouce
S63.1	luxation ouverte de l'articulation métacarpo-phalangienne du pouce
S63.1	luxation ouverte d'une articulation interphalangienne du pouce
S73.0	luxation fermée de la hanche
S73.0	luxation postérieure fermée de la hanche
S73.0	luxation obturatrice fermée de la hanche
S73.0	luxation de Monteggia
S73.0	autre luxation antérieure fermée de la hanche
S73.0	luxation ouverte de la hanche
S73.0	luxation postérieure ouverte de la hanche
S73.0	luxation obturatrice ouverte de la hanche
S73.0	autre luxation antérieure ouverte de la hanche
S83.1	luxation du genou
S83.2	déchirure récente d'un cartilage semilunaire
S83.2	déchirure d'un ménisque du genou
S83.2	déchirure récente d'un ménisque du genou
S83.2	déchirure récente du ménisque interne du genou
S83.2	déchirure du ménisque interne du genou
S83.2	déchirure récente du ménisque externe du genou
S83.2	déchirure du ménisque latéral du genou
S83.0	luxation fermée de la rotule
S83.0	luxation ouverte de la rotule
S83.1	luxation fermée du genou
S83.1	luxation antérieure fermée de l'extrémité proximale du tibia
S83.1	luxation postérieure fermée de l'extrémité distale du fémur
S83.1	luxation postérieure fermée de l'extrémité proximale du tibia
S83.1	luxation antérieure fermée de l'extrémité distale du fémur
S83.1	luxation interne fermée de l'extrémité proximale du tibia
S83.1	luxation externe fermée de l'extrémité proximale du tibia
S83.1	luxation ouverte du genou
S83.1	luxation antérieure ouverte de l'extrémité proximale du tibia
S83.1	luxation postérieure ouverte de l'extrémité distale du fémur
S83.1	luxation postérieure ouverte de l'extrémité proximale du tibia
S83.1	luxation antérieure ouverte de l'extrémité distale du fémur
S83.1	luxation interne ouverte de l'extrémité proximale du tibia
S83.1	luxation externe ouverte de l'extrémité proximale du tibia
S93.0	luxation fermée de la cheville
S93.0	luxation fermée de l'astragale
S93.0	luxation fermée de l'extrémité distale du péroné
S93.3	luxation fermée de l'os naviculaire du pied
S93.3	luxation fermée du scaphoïde tarsien
S93.3	luxation de Smith
S93.0	luxation fermée de l'extrémité distale du tibia
S93.0	luxation de Nélaton
S93.0	luxation ouverte de la cheville
S93.0	luxation ouverte de l'astragale
S93.0	luxation ouverte de l'extrémité distale du péroné
S93.3	luxation ouverte de l'os naviculaire du pied
S93.3	luxation ouverte du scaphoïde tarsien
S93.0	luxation ouverte de l'extrémité distale du tibia
S93.3	luxation fermée du pied
S93.3	luxation fermée d'une articulation tarsienne
S93.3	luxation fermée de l'articulation médio-tarsienne
S93.3	luxation fermée de l'articulation tarso-métatarsienne
S93.3	luxation de l'interligne de Lisfranc
S93.3	luxation fermée d'une articulation métatarsienne
S93.1	luxation fermée d'une articulation métatarso-phalangienne
S93.1	luxation fermée d'une phalange du pied
S93.1	luxation fermée d'un orteil
S93.1	luxation fermée d'une articulation interphalangienne du pied
S93.3	luxation ouverte du pied
S93.3	luxation ouverte d'une articulation tarsienne
S93.3	luxation ouverte de l'articulation médio-tarsienne
S93.3	luxation ouverte de l'articulation tarso-métatarsienne
S93.3	luxation ouverte d'une articulation métatarsienne
S93.1	luxation ouverte d'une articulation métatarso-phalangienne
S93.1	luxation ouverte d'une phalange du pied
S93.1	luxation ouverte d'un orteil
S93.1	luxation ouverte d'une articulation interphalangienne du pied
S43.4	entorse de l'épaule
S43.5	entorse acromio-claviculaire
S43.5	entorse d'un ligament coraco-claviculaire
S43.4	entorse du ligament coraco-huméral
S43.7	entorse du tendon ou du muscle sous-épineux
S43.4	entorse de la capsule articulaire de la coiffe des rotateurs
S43.7	entorse du muscle subscapulaire
S43.7	entorse du tendon ou du muscle sus-épineux
S43.7	entorse d'une autre localisation de l'épaule et du bras
S43.4	entorse du bras
S53.4	entorse du coude
S53.4	entorse du ligament latéral externe du coude
S53.4	entorse du ligament latéral interne du coude
S53.4	entorse de l'articulation huméro-radiale
S53.4	entorse de l'articulation huméro-cubitale
S53.4	entorse d'une autre localisation précisée du coude et de l'avant-bras
S63.5	entorse du poignet
S63.5	entorse d'une articulation carpienne
S63.5	entorse radio-carpienne
S63.5	entorse de l'articulation radio-cubitale distale
S63.7	entorse de la main
S63.7	entorse de l'articulation carpo-métacarpienne
S63.6	entorse d'une articulation métacarpo-phalangienne
S63.6	entorse d'une articulation interphalangienne du doigt
S63.5	entorse de l'articulation médio-carpienne
S73.1	entorse de la hanche
S73.1	entorse du ligament ilio-fémoral de Bertin
S73.1	entorse du ligament ischio-fémoral
S73.1	entorse d'une localisation précisée de la hanche et de la cuisse
S73.1	entorse de la cuisse
S83.6	entorse du genou
S83.4	entorse du ligament latéral externe du genou
S83.4	entorse du ligament latéral interne du genou
S83.5	entorse d'un ligament croisé du genou
S83.6	entorse péronéo-tibiale supérieure
S83.6	entorse d'une autre localisation précisée du genou et de la jambe
S83.6	entorse de la jambe
S93.4	entorse de la cheville
S93.4	entorse du ligament deltoïde de l'articulation tibio-tarsienne
S93.4	entorse du ligament latéral interne de l'articulation tibio-tarsienne
S93.4	entorse du ligament calcanéo-péronier
S93.4	entorse du ligament tibio-péronier distal
S86.0	entorse du tendon d'Achille
S99.8	lésion traumatique par supination-rotation interne de la cheville
S99.8	lésion traumatique par supination-adduction de la cheville
S99.8	lésion traumatique par supination-adduction de la cheville, stade 1
S99.8	lésion traumatique par supination-adduction de la cheville, stade 2
S99.8	lésion traumatique par supination-éversion de la cheville
S99.8	lésion traumatique par supination-éversion de la cheville, stade 1
S99.8	lésion traumatique par supination-éversion de la cheville, stade 2
S99.8	lésion traumatique par supination-éversion de la cheville, stade 3
S99.8	lésion traumatique par supination-éversion de la cheville, stade 4
S93.6	entorse du pied
S93.6	entorse tarso-métatarsienne
S93.5	entorse d'une articulation métatarso-phalangienne
S93.5	entorse d'une articulation interphalangienne de l'orteil
S13.6	entorse du cou
S13.4	coup de lapin
S13.4	entorse cervicale aiguë
S13.4	entorse de l'articulation atlanto-axiale
S13.4	entorse de l'articulation atlanto-occipitale
S23.3	entorse du dos
S23.3	entorse de la région thoracique
S33.5	entorse de la région lombaire
S33.6	entorse du sacrum
S33.7	entorse d'un ligament sacro-coccygien
S33.7	entorse du coccyx
S33.7	entorse ou foulure de la région sacro-iliaque
S33.6	entorse lombo-sacrée
S33.7	entorse d'un ligament sacro-iliaque
S33.7	entorse du petit ligament sacro-sciatique
S33.7	entorse du grand ligament sacro-sciatique
S33.7	entorse d'une localisation précisée de la région sacro-iliaque
S03.5	entorse du cartilage de la cloison nasale
S03.4	entorse de la mâchoire
S03.4	entorse temporo-mandibulaire
S13.5	entorse crico-aryténoïdienne
S13.5	entorse crico-thyroïdienne
S13.5	entorse du cartilage thyroïde
S23.4	entorse d'une articulation chondro-costale sans lésion traumatique du sternum
S23.4	entorse d'un cartilage costal sans lésion traumatique du sternum
S23.4	entorse du sternum
S43.5	entorse sterno-claviculaire
S23.4	entorse d'une articulation chondro-sternale
S23.5	entorse de l'appendice xiphoïde
S33.7	entorse de la symphyse pubienne
S06.8	lésion intracrânienne traumatique, sans fracture du crâne
S06.8	lésion traumatique de la tête, sans fracture du crâne
S06.0	traumatisme cérébral, sans fracture du crâne
S06.0	commotion cérébrale
S06.00	traumatisme cérébral sans plaie intracrânienne ouverte
S06.00	traumatisme cérébral sans plaie intracrânienne ouverte, avec état de conscience non précisé
S06.00	traumatisme cérébral sans plaie intracrânienne ouverte ni perte de conscience
S06.00	traumatisme cérébral sans plaie intracrânienne ouverte, avec perte de conscience brève (moins d'une heure)
S06.70	traumatisme cérébral sans plaie intracrânienne ouverte, avec perte de conscience modérée (1-24 heures)
S06.70	traumatisme cérébral sans plaie intracrânienne ouverte, avec perte de conscience prolongée (plus de 24 heures) et retour du niveau de conscience pré-existant
S06.70	traumatisme cérébral sans plaie intracrânienne ouverte, avec perte de conscience prolongée (plus de 24 heures), sans retour du niveau de conscience pré-existant
S06.70	traumatisme cérébral sans plaie intracrânienne ouverte, avec perte de conscience de durée non précisée
S06.00	traumatisme cérébral sans plaie intracrânienne ouverte, avec commotion non précisée
S06.01	traumatisme cérébral avec plaie intracrânienne ouverte
S06.01	traumatisme cérébral avec plaie intracrânienne ouverte et état de conscience non précisé
S06.01	traumatisme cérébral avec plaie intracrânienne ouverte, sans perte de conscience
S06.01	traumatisme cérébral avec plaie intracrânienne ouverte et perte de conscience brève (moins d'une heure)
S06.71	traumatisme cérébral avec plaie intracrânienne ouverte et perte de conscience modérée
S06.71	traumatisme cérébral avec plaie intracrânienne ouverte, perte de conscience prolongée (plus de 24 heures) et retour du niveau de conscience pré-existant
S06.71	traumatisme cérébral avec plaie intracrânienne ouverte et perte de conscience prolongée (plus de 24 heures), sans retour du niveau de conscience pré-existant
S06.71	traumatisme cérébral avec plaie intracrânienne ouverte et perte de conscience de durée non précisée
S06.01	traumatisme cérébral avec plaie intracrânienne ouverte et commotion non précisée
S06.0	commotion sans perte de conscience
S06.0	commotion avec confusion mentale ou désorientation, sans perte de conscience
S06.0	commotion avec perte de conscience brève
S06.0	commotion avec perte de conscience pendant moins d'une heure
S06.7	commotion avec perte de conscience modérée
S06.7	commotion avec perte de conscience pendant 1 à 24 heures
S06.7	commotion avec perte de conscience prolongée et retour du niveau de conscience pré-existant
S06.7	commotion avec perte de conscience pendant plus de 24 heures avec rétablissement complet
S06.7	commotion avec perte de conscience prolongée sans retour du niveau de conscience pré-existant
S06.7	commotion avec perte de conscience de durée non précisée
S06.2	contusion du cerveau
S06.2	contusion cérébrale
S06.2	lacération du cerveau
S06.2	lacération cérébrale
S06.20	contusion cérébrale sans plaie intracrânienne ouverte
S06.20	lacération cérébrale sans plaie intracrânienne ouverte
S06.21	contusion cérébrale avec plaie intracrânienne ouverte
S06.21	lacération cérébrale avec plaie intracrânienne ouverte
S06.2	contusion du cortex cérébral
S06.20	contusion du cortex cérébral sans plaie intracrânienne ouverte
S06.20	contusion du cortex cérébral sans plaie intracrânienne ouverte, avec état de conscience non précisé
S06.20	contusion du cortex cérébral sans plaie intracrânienne ouverte ni perte de conscience
S06.00	contusion du cortex cérébral sans plaie intracrânienne ouverte avec perte de conscience brève (moins d'une heure)
S06.70	contusion du cortex cérébral sans plaie intracrânienne ouverte, avec perte de conscience modérée (1-24 heures)
