G72.8	myopathie éosinophile
G40.3	crises épileptiques myocloniques
G40.3	crises épileptiques atoniques
G40.8	épilepsie localisée
G40.1	épilepsie focale motrice
G40.1	épilepsie jacksonienne
G40.1	épilepsie corticale
G40.8	épilepsie focale
G40.0	épilepsie focale bénigne de l'enfance
G40.5	épilepsie partielle continue progressive chronique
G40.2	crise temporale
G40.2	épilepsie psychomotrice
G40.2	crise psychomotrice
G40.0	épilepsie extratemporale
G40.3	épilepsie généralisée
G40.3	épilepsie généralisée idiopathique
G40.3	convulsions néonatales bénignes
G40.3	épilepsie avec absences de l'enfance
G40.3	pyknolepsie
G40.3	épilepsie myoclonique juvénile
G40.3	petit mal impulsif
G40.3	épilepsie généralisée symptomatique
G40.4	syndrome de West
G40.4	encéphalopathie myoclonique infantile avec hypsarythmie
G40.4	spasmes infantiles
G40.4	syndrome des spasmes en flexion
G40.4	tic de salaam
G40.4	encéphalopathie myoclonique précoce symptomatique
G40.4	syndrome de Lennox-Gastaut
G40.4	variante du petit mal
G40.4	épilepsie myokinétique grave de la première enfance avec pointes-ondes lentes
G40.4	encéphalopathie épileptique de l'enfant avec pointes-ondes lentes diffuses
G40.3	myoclonie épileptique progressive familiale
G40.3	maladie de Lafora
G40.3	syndrome d'Unverricht-Lundborg
G40.3	maladie de Unverricht-Lundborg
G40.4	épilepsie rolandique bénigne
G40.8	épilepsie réflexe
G40.5	épilepsie photogène
G40.5	épilepsie photo-induite
G40.5	épilepsie photique
G43.9	migraine
G43.1	migraine avec aura
G43.1	migraine classique
G43.1	migraine confusionnelle aiguë
G43.0	migraine sans aura
G43.0	migraine commune
G44.0	céphalée vasculaire de Horton
G44.0	syndrome de vasodilatation hémicéphalique
G44.0	névralgisme facial
G44.0	céphalée histaminique
G44.0	syndrome de Bing-Horton
G44.0	céphalée par hyperhémie
G44.0	érythromélalgie céphalique
G44.0	syndrome de Bing
G44.0	hémicrânie paroxystique chronique
G43.8	migraine abdominale
G43.8	migraine décapitée
G43.1	migraine de l'étage inférieur
G43.1	migraine basilaire
G43.1	migraine de Bickerstaff
G43.8	migraine rétinienne
G43.8	migraine ophtalmique
G43.1	migraine hémiplégique
G43.1	migraine hémiplégique familiale
G43.8	maladie de Moebius
G43.1	migraine hémiplégique-ophtalmoplégique
G43.8	migraine ophtalmoplégique
G44.8	céphalée mixte chronique
G44.8	céphalée due à une toux
G44.8	céphalée due à une hernie du rhombencéphale
G44.8	céphalée en coup de tonnerre
G44.8	céphalée due à une maladie intracrânienne
G44.8	syndrome de sevrage à l'ergotamine
G64	affection du système nerveux périphérique
G64	neuropathie
G64	neuropathie périphérique
G64	affection nerveuse périphérique
G62.9	neuropathie sensitive
G62.9	neuropathie périphérique sensitive
G62.9	neuropathie motrice
G62.9	neuropathie périphérique motrice
G62.9	névrite périphérique motrice
G63.8	neuropathie périphérique liée à une maladie
G62.8	neuropathie périphérique ischémique
G62.9	polyneuropathie
G62.9	polyneuropathie acquise
G62.9	polynévrite
G52.9	affection des nerfs crâniens
G52.9	névralgie crânienne
G52.9	compression d'un nerf crânien
G52.9	névrite crânienne
G52.7	syndrome du carrefour pétro-sphénoïdal
G52.7	syndrome de Jacod
G50.9	affection du nerf trijumeau
G50.9	affection du cinquième nerf crânien
G50.8	syndrome du trou déchiré antérieur
G50.8	syndrome de P. et Y. Bonnet
G50.0	névralgie essentielle du trijumeau
G50.0	maladie de Fothergill
G50.0	tics douloureux de la face
G50.0	névralgie faciale
G50.8	syndrome paratrigéminal
G50.8	syndrome de Raeder
G50.8	syndrome sympathique paratrigéminé
G50.1	névralgie faciale atypique
G50.8	syndrome de l'auriculo-temporal
G50.8	syndrome de Lucie Frey
G50.8	éphidrose parotidienne
G50.8	névralgie du nerf nasociliaire de Charlin
G50.8	syndrome du nerf nasal
G50.8	syndrome de Charlin
G50.8	névralgie supra-orbitaire
G51.8	syndrome du nerf vidien
G51.8	syndrome de Vail
G50.8	syndrome du nerf nasal interne
G51.9	affection du nerf facial
G51.9	affection du septième nerf crânien
G51.8	névralgie sphéno-palatine
G51.8	névralgie de Sluder
G51.8	névralgie du ganglion sphénopalatin
G51.8	syndrome de Sluder
G51.0	paralysie faciale
G52.7	syndrome d'Alajouanine
G51.1	atteinte du ganglion géniculé
G51.4	myokymie faciale
G51.8	paralysie faciale pseudo-bulbaire
G51.8	paralysie nucléaire du nerf facial
G51.0	paralysie de Bell
G51.0	paralysie du septième nerf crânien
G51.0	paralysie complète du nerf facial
G51.8	trouble moteur du nerf facial
G51.8	trouble sensitif du nerf facial
G51.8	paresthésie faciale
G51.8	parésie faciale
G51.8	paralysie légère faciale
G51.8	parésie faciale unilatérale
G51.8	paralysie légère faciale unilatérale
G50.1	algie faciale
G50.1	douleur de la face
G52.0	affection du nerf olfactif
G52.0	affection du premier nerf crânien
G52.1	affection du nerf glossopharyngien
G52.1	affection du neuvième nerf crânien
G52.1	névralgie glossopharyngée
G52.1	névralgie du glosso-pharyngien
G52.1	névralgie du plexus tympanique
G52.1	syndrome de Reichert
G52.1	tic douloureux du nerf de Jacobson
G52.2	affection du nerf pneumogastrique
G52.2	affection du nerf vague
G52.2	affection du dixième nerf crânien
G52.2	toux réflexe de la névralgie d'Arnold
G52.2	paralysie laryngée du nerf vague
G52.2	paralysie vélopalatine du nerf vague
G52.2	névralgie laryngée supérieure
G52.2	raucité vagale
G52.2	raucité neurologique
G52.2	bradycardie vagale
G52.8	affection du nerf spinal
G52.8	affection du onzième nerf crânien
G52.8	affection du nerf accessoire de Willis
G52.3	affection du nerf grand hypoglosse
G52.3	affection du douxième nerf crânien
G12.2	hémiplégie alterne de l'hypoglosse
G12.2	syndrome de Reynold-Révillod et Déjerine
G12.2	syndrome bulbaire antérieur
G12.2	syndrome interolivaire de Déjerine
G52.7	paralysie de plusieurs nerfs crâniens
G52.7	syndrome de Collet-Sicard
G52.7	syndrome de l'espace sous-parotidien postérieur
G52.7	syndrome de Villaret
G52.7	polynévrite crânienne
G52.7	syndrome du trou déchiré postérieur
G52.7	syndrome de Vernet
G52.7	syndrome de A. Schmidt
G57.2	paralysie de Jackson
G57.2	paralysie des nerfs vague, spinal et grand hypoglosse
G57.3	syndrome de Tapia
G51.8	névralgie du nerf intermédiaire
G52.7	syndrome paralytique unilatéral global des nerfs crâniens
G52.7	syndrome de Garcin
G54.9	affection des racines nerveuses
G54.9	radiculopathie
G54.9	affection d'un plexus nerveux
G54.0	lésion du plexus brachial
G54.0	neuropathie du plexus brachial
G54.0	syndrome costoclaviculaire
G54.0	syndrome de compression costoclaviculaire
G54.0	syndrome de Falconer-Weddell
G54.0	syndrome de traversée thoraco-cervico-brachiale
G54.0	syndrome d'hyperabduction
G54.0	neuropathie du plexus brachial supérieur
G54.0	neuropathie du plexus brachial moyen
G54.0	neuropathie du plexus brachial inférieur
G54.1	lésion du plexus lombo-sacré
G54.4	lésion radiculaire lombo-sacrée
G54.4	radiculopathie lombaire
G54.4	radiculopathie lombo-sacrée
G54.8	kyste du périnèvre
G54.8	kyste de Tarlov
G54.8	kyste radiculaire nerveux
G54.2	lésion radiculaire cervicale
G54.2	compression radiculaire nerveuse cervicale
G54.2	compression radiculaire cervicale
G54.3	lésion radiculaire thoracique
G54.5	syndrome de la ceinture scapulaire
G54.5	névralgie amyotrophiante de l'épaule
G54.5	syndrome de Parsonage et Turner
G54.6	syndrome douloureux du membre fantôme
G54.6	algo-hallucinose
G54.6	membre fantôme
G54.6	illusions des amputés
G54.2	paralysie de Duchenne-Erb
G54.2	syndrome radiculaire supérieur du plexus brachial
G54.2	syndrome de Duchenne-Erb
G54.0	syndrome de Déjerine-Klumpke
G54.0	paralysie de Klumpke
G54.0	paralysie du sac à dos
G54.0	paralysie des béquillards
G54.8	hypoesthésie alterne de la face et du tronc
G58.9	mononévrite
G54.8	névralgie périphérique
G56.4	causalgie
G58.8	syndrome canalaire
G58.8	syndrome tunnelaire
G58.7	mononévrite multiple
G56.9	mononévrite du membre supérieur
G56.9	paresthésie d'un membre supérieur
G56.0	syndrome du tunnel carpien
G56.0	syndrome du canal carpien
G56.8	arophie partielle de l'éminence thénar
G56.1	lésion du nerf médian
G56.1	névrite du nerf médian
G56.2	lésion du nerf cubital
G56.2	syndrome du tunnel cubital
G56.2	neuropraxie cubitale
G56.2	névrite cubitale
G56.2	paralysie lente du nerf cubital
G56.3	lésion du nerf radial
G56.3	paralysie radiale aiguë
G57.9	mononévrite du membre inférieur
G57.0	lésion du nerf sciatique
G57.2	lésion du nerf fémoral
G57.1	méralgie paresthésique
G57.1	paresthésie de Bernhardt
G57.1	maladie de Bernhardt
G57.1	compression du nerf fémoro-cutané latéral
G57.1	syndrome du nerf fémoro-cutané externe de la cuisse
G57.3	lésion du nerf sciatique poplité externe
G57.3	lésion du nerf péronier commun
G57.4	lésion du nerf sciatique poplité interne
G57.5	syndrome du canal tarsien
G57.5	syndrome du tunnel tarsien
G57.6	lésion du nerf plantaire
G57.6	métatarsalgie de Morton
G57.6	névralgie de Morton
G57.6	pied de Morton
G57.6	maladie de Morton
G60.9	neuropathie périphérique héréditaire
G60.9	neuropathie périphérique idiopathique
G60.0	maladie de Déjerine-Sottas
G60.0	névrite hypertrophique familiale
G60.0	névrite interstitielle hypertrophique progressive
G60.0	neuropathie héréditaire sensitivo-motrice de type III
G60.0	amyotrophie péronière
G60.0	neuropathie héréditaire sensitivo-motrice
G60.0	syndrome de Charcot-Marie-Tooth
G60.0	amyotrophie de Charcot-Marie-Tooth
G60.0	maladie de Charcot-Marie-Tooth de type I
G60.0	amyotrophie de Charcot-Marie-Tooth, forme hypertrophique
G60.0	neuropathie héréditaire sensitivo-motrice de type I
G60.0	NHSM de type I
G60.0	maladie de Charcot-Marie-Tooth de type IA
G60.0	maladie de Charcot-Marie-Tooth de type IB
G60.0	maladie de Charcot-Marie-Tooth de type IC
G60.0	maladie de Charcot-Marie-Tooth de type II
G60.0	amyotrophie de Charcot-Marie-Tooth, forme neuronale
G60.0	neuropathie héréditaire sensitivo-motrice de type II
G60.0	neuropathie héréditaire sensitivo-motrice de type V
G60.0	neuropathie sensitivo-motrice hypertrophique avec paraplégie spasmodique, type V
G60.0	neuropathie sensitive héréditaire
G60.0	neuropathie radiculaire sensitive postérieure
G60.8	neuropathie sensitive héréditaire dominante de type I
G60.8	neuropathie acrodystrophique
G60.8	neuropathie sensitive héréditaire à transmission dominante de type II
G60.8	maladie du panaris analgésique
G60.8	neuropathie sensitive héréditaire récessive de type IV
G60.8	analgésie congénitale pure avec anhidrose type Swanson
G60.0	neuropathie interstitielle hypertrophique
G60.3	polynévrite idiopathique progressive
G12.2	paralysie supranucléaire
G62.8	neuropathie axonale
G62.8	neuropathie démyélinisante
G62.8	polyneuropathie démyélinisante
G62.8	neuropathie périphérique secondaire
G63.3*	polynévrite porphyrique
G63.8*	neuropathie hépatique
G63.4*	neuropathie due à une carence vitaminique
G63.4*	neuropathie ataxique nutritionnelle
G63.4*	neuropathie dégénérative nigérienne
G63.4*	neuropathie jamaïcaine
G63.4*	myéloneuropathie tropicale
G63.4*	syndrome jamaïcain
G63.4*	neuropathie due à une carence alimentaire en vitamine B12
G63.4*	neuropathie pellagreuse
G63.4*	neuropathie due à une carence en niacine
G63.4*	neuropathie due à une carence en niacinamide
G63.4*	neuropathie due à une carence en nicotinamide
G63.4*	neuropathie du Béribéri
G63.4*	neuropathie due à une carence en thiamine
G63.4*	neuropathie due à une carence en vitamine B1
G62.8	neuropathie allergique
G13.0*	neuropathie paranéoplasique
G13.0*	neuropathie périphérique carcinomateuse
G62.8	neuropathie inflammatoire
G62.2	neuropathie toxique
G62.2	polynévrite due à d'autres agents toxiques
G62.1	polynévrite alcoolique
G62.0	polynévrite médicamenteuse
G90.9	affection du système nerveux autonome
G90.9	dysautonomie
G90.9	affection du système nerveux autonome périphérique
G90.9	affection du système neurovégétatif
G90.9	affection du système nerveux sympathique
G90.9	affection du système parasympathique
G90.0	neuropathie périphérique idiopathique du système nerveux autonome
G90.0	syncope par hyperexcitabilité du sinus carotidien
G90.0	syndrome du sinus carotidien
G90.8	céphalée sympathofaciale
G90.8	carotidodynie
G90.2	syndrome oculo-sympathique
G90.2	syndrome de Claude Bernard-Horner
G90.2	syndrome de Claude Bernard
G90.2	syndrome de Horner
G90.2	syndrome oculo-sympathique paralytique
G90.2	paralysie du sympathique cervical
G90.8	syndrome du plexus solaire
G90.8	syndrome du plexus coeliaque
G70.9	affection neuro-musculaire
G70.9	maladie neuro-musculaire
G70.9	neuromyopathie
G70.0	myasthénie grave
G70.0	myasthénie grave pseudo-paralytique
G70.0	paralysie bulbaire asthénique
G70.0	syndrome d'Erb-Goldflam
G70.0	myasthénie grave, forme juvénile
G70.0	myasthénie grave, forme adulte
G70.0	crise myasthénique
G70.8	crise cholinergique
G73.1*	syndrome de Lambert-Eaton
G73.1*	syndrome pseudo-myasthénique paranéoplasique de Lambert-Eaton
G70.1	affection neuro-musculaire toxique
G70.0	myasthénie médicamenteuse
G70.0	blocage neuro-musculaire dû à un antibiotique
G70.8	amyotrophie de dénervation
G70.8	atrophie d'un groupe de fibres musculaires
G70.8	atrophie musculaire neurogène
G72.9	myopathie
G72.9	syndrome myopathique
G71.0	dystrophie musculaire
G71.0	syndrome de dystrophie musculaire et de surdi-mutité
G71.0	syndrome d'Almaric
G71.2	dystrophie musculaire héréditaire
G71.2	myopathie congénitale bénigne
G71.2	dystrophie musculaire progressive héréditaire
G71.0	myopathie type Gowers
G71.0	myopathie distale de Gowers
G71.0	myopathie pseudo-hypertrophique type Duchenne
G71.0	paralysie musculaire pseudo-hypertrophique
G71.0	paralysie pseudo-hypertrophique type Duchenne
G71.0	myopathie pseudo-hypertrophique de Becker
G71.0	myopathie pseudo-hypertrophique de Duchenne, variété bénigne
G71.0	myopathie scapulo-humérale d'Erb
G71.0	dystrophie musculaire facio-scapulo-humérale
G71.0	maladie de Landouzy-Déjerine
G71.0	myopathie primitive progressive de Leyden-Moebius
G71.0	myopathie type Leyden-Möbius
G71.0	dystrophie musculaire scapulo-péronière
G71.0	dystrophie musculaire d'Emery-Dreifuss
G71.0	dystrophie musculaire oculaire
G71.0	syndrome de Kiloh-Nevin
G71.0	myopathie oculaire
G71.0	dystrophie musculaire oculo-pharyngée
G71.0	dystrophie oculo-pharyngée
G71.1	paramyotonie congénitale
G71.1	maladie d'Eulenburg
G71.1	myotonie congénitale
G71.1	maladie de Thomsen
G71.1	myotonie congénitale, forme autosomique dominante
G71.1	myotonie congénitale, forme autosomique récessive
G70.2	amyotonie congénitale
G70.2	amyotonie d'Oppenheim
G70.2	maladie d'Oppenheim
G70.2	myatonie congénitale
G71.0	syndrome de Debré-Sémélaigne
G71.1	syndrome d'Isaacs
G71.1	myotonie par atteinte du canal chlore
G71.2	myopathie congénitale
G71.2	myopathie à lésions minimes
G71.2	myopathie à axe central
G71.2	myopathie à axes multiples
G71.2	myopathie multi-core
G71.2	myopathie congénitale avec disproportion des types de fibres
G71.2	myopathie myotubulaire
G71.2	myopathie centronucléaire
G71.2	myopathie myotubulaire avec atrophie des fibres musculaires de type I
G71.2	myopathie centrolobulaire sévère liée au chromosome X
G71.2	myopathie némaline
G71.2	myopathie à bâtonnets
G71.2	myopathie némaline précoce
G71.2	myopathie némaline tardive
G71.3	myopathie mégaconiale
G71.3	myopathie pléoconiale
G71.2	myopathie congénitale mixte
G71.2	myopathie congénitale avec organites intracytoplasmiques anormaux
G71.2	myopathie à empreintes digitales
G71.2	myopathie sarcotubulaire
G71.2	myopathie à corps zébré
G71.2	myopathie à corps réducteurs
G71.2	syndrome du bébé mou
G71.3	myopathie mitochondriale
G71.3	myopathie à fibres rouges en lambeaux
G72.8	myopathie juvénile avec acidose lactique
G72.8	encéphalopathie infantile avec acidose lactique
G71.3	myopathie juvénile, encéphalopathie, acidose lactique et accident vasculaire cérébral
G71.3	syndrome MELAS
G72.8	dégénérescence cérébelleuse juvénile avec myoclonie
G40.3	syndrome de Fukuhara
G40.3	épilepsie myoclonique avec myopathie à fibres rouges en lambeaux
G40.3	syndrome MERRF
G71.0	syndrome oculo-cranio-somatique
G71.0	dystrophie oculo-cranio-somatique
G71.0	syndrome OCS
G71.3	maladie de Luft
G73.6*	myopathie par surcharge mitochondriale en glycogène et lipides
G72.2	myopathie toxique
G72.2	myopathie aux cailles de Lesbos
G72.2	myopathie toxique de Lesbos
G72.2	myopathie aux cailles nourries à la ciguë
G73.6*	myopathie métabolique
G72.1	myopathie alcoolique
G72.1	myopathie due à l'alcool
G72.1	syndrome myopathique alcoolique
G73.5*	myopathie thyréotoxique
G73.5*	myopathie hypothyroïdienne
G73.5*	myopathie endocrinienne
G73.5*	myopathie liée à une maladie endocrinienne
G73.5*	myopathie de la maladie d'Addison
G73.5*	myopathie du syndrome de Cushing
G73.5*	myopathie de l'hypopituitarisme
G72.8	myopathie secondaire
G73.2*	myopathie paranéoplasique
G73.5*	myopathie induite par les stéroïdes
G73.5*	myopathie stéroïdienne
G45.3	amaurose fugace
G45.3	cécité temporaire
G25.6	mouvements faciaux paradoxaux
G71.9	myopathie des muscles extrinsèques de l'oeil
G93.8	syndrome de la paroi externe du sinus caverneux
G93.8	syndrome de la fente sphénoïdale
G93.8	syndrome de Rochon-Duvigneaud
G93.8	syndrome de l'apex orbitaire
G93.8	syndrome de Foix
G93.8	syndrome de Rollet
G46.3*	syndrome de Claude
G46.3*	syndrome inférieur du noyau rouge
G46.3*	syndrome de Parinaud
G46.3*	syndrome supérieur de Foville
G46.3*	syndrome de Millard-Gubler
G46.3*	syndrome pédonculaire de Foville
G46.3*	syndrome moyen de Foville
G46.3*	syndrome protubérantiel inférieur de Foville
G46.3*	syndrome de Foville-Wilson
G46.3*	syndrome de Benedikt
G46.3*	syndrome de Weber-Gubler
G96.0	otorrhée de liquide céphalorachidien
G93.4	leucoaraïose
G25.9	atteinte extrapyramidale
G21.8	syndrome parkinsonien avec hypotension orthostatique symptomatique
G12.2	syndrome de la corne antérieure
G71.2	myopathie myotubulaire sévère liée au chromosome X
G71.0	myopathie oculaire avec anomalies mitochondriales
G71.3	myopathie hypermétabolique de Luft
G99.0*	polyneuropathie sensorielle
G99.0*	polyneuropathie sensitivo-motrice mixte
G99.0*	polyneuropathie motrice
G51.8	hémiatrophie faciale progressive
G51.8	trophonévrose de la face
G51.8	maladie de Romberg
G99.0*	maladie fonctionnelle du SNC avec trouble neuro-endocrinien
G97.8	anoxie cérébrale pendant ou après une intervention
G97.8	hypoxie cérébrale pendant ou après une intervention
G00.9	méningite bactérienne
G00.1	méningite pneumococcique
G00.3	méningite staphylococcique
G93.3	syndrome de fatigue post-virale
G03.2	méningite endothélio-leucocytaire multirécurrente bénigne
G03.2	maladie de Mollaret
G03.2	méningite de Mollaret
G03.1	méningite lymphocytaire chronique bénigne
G61.0	syndrome de Fisher
G61.0	syndrome de Miller-Fisher
G61.0	syndrome d'ophtalmoplégie, ataxie et aréflexie
G93.3	maladie d'Islande
G93.3	syndrome de fatigue chronique
G93.3	neuromyasthénie épidémique
G93.3	encéphalopathie myalgique bénigne
G93.3	maladie d'Akureyri
G61.0	polyradiculonévrite infectieuse aiguë
G61.0	syndrome de Guillain-Barré
G61.0	paralysie ascendante de Landry
G61.0	polyradiculonévrite démyélinisante inflammatoire aiguë
