B81.0	granulome éosinophile gastro-intestinal
B48.2	infection à Petriellidium boydii
B48.2	infection à Monosporium apiospermum
B48.8	adiaspiromycose
B48.8	adiaspirose
B48.8	adiaspiromycose à Emmonsia crescens
B48.8	adiaspiromycose pulmonaire
B46.9	zygomycose
B46.9	phycomycose
B46.5	mucormycose
B46.8	infection à Absidia
B46.8	infection à Basidiobolus
B46.8	infection à Conidiobolus
B46.8	infection à Entomophthora
B46.5	infection à Cunninghamella
B46.8	infection à Mucor
B46.8	infection à Rhizopus
B46.8	infection à Saksenaea
B46.1	rhinophycomycose à Entomophthora coronata
B46.3	phycomycose sous-cutanée à Basidiobolus
B43.8	phaeohyphomycose
B43.8	dématiomycétose
B43.8	cladosporiose
B43.8	infection à Cladosporium trichoides
B43.8	infection à Drechlera hawaiiensis
B43.8	infection à Phialophora gougerotii
B43.8	infection à Phialophora jeanselmei
B48.1	rhinosporidiose
B48.1	infection à Rhinosporidium seeberi
B42.9	sporotrichose
B42.9	maladie de Beurmann-Gougerot
B42.9	infection à Sporothrix schenkii
B42.7	sporotrichose sous-cutanée gommeuse à foyers multiples
B42.7	sporotrichose disséminée
B42.1	sporotrichose cutanée
B42.1	chancre sporotrichotique
B42.1	chancre sporotrichosique
B42.1	sporotrichose lymphangitique gommeuse systématisée
B42.1	sporotrichose lympho-cutanée
B42.8	gomme sporotrichotique
B42.0+	sporotrichose pulmonaire
B42.8	sporotrichose osseuse
B36.8	acladiose
B36.8	dermatomycose à Acladium castellani
B35.9	dermatophytose
B35.9	teigne
B36.9	mycose superficielle
B35.9	teigne microsporidique
B35.9	dermatomycose
B35.8	dermatophytose granulomateuse
B35.8	dermatophytose disséminée
B35.9	trichophytose
B35.0	dermatophytose de la barbe
B35.0	teigne de la barbe
B35.0	folliculite de la barbe
B35.0	sycosis trichophytique
B35.0	trichophytie de la barbe
B35.0	teigne de la barbe à Microsporum
B35.0	teigne de la barbe à Microsporum canis
B35.0	teigne de la barbe à Microsporum gypseum
B35.0	teigne de la barbe à Trichophyton
B35.0	teigne de la barbe à Trichophyton mentagrophytes
B35.0	teigne de la barbe à Trichophyton verrucosum
B35.0	teigne de la barbe à Trochophyton violaceum
B35.0	teigne du cuir chevelu
B35.0	teigne tondante
B35.0	teigne tondante à Microsporum
B35.0	teigne tondante à Trichophyton
B35.0	teigne tondante à Trichophyton tonsurans
B35.0	teigne kérion
B35.0	kérion
B35.0	kérion de Celse
B35.0	kérion à Microsporum
B35.0	kérion à Trichophyton
B35.4	teigne de la peau glabre
B35.4	teigne des parties découvertes du corps
B35.4	tinea circinata
B35.4	herpès circiné
B35.4	teigne de la peau glabre à Microsporum
B35.4	teigne de la peau glabre à Trichophyton
B35.8	teigne profonde
B35.8	granulome trichophytique
B35.8	dermatophytose profonde
B35.8	trichophytie à Trichophyton rubrum
B35.5	teigne imbriquée
B35.5	tokélau
B35.5	teigne à Trichophyton concentricum
B35.6	teigne crurale
B35.6	eczéma marginé de Hebra
B35.6	teigne inguinale
B35.6	teigne de l'aine
B35.6	teigne de la région périanale
B35.6	teigne crurale à Trichophyton rubrum
B35.6	teigne crurale à Epidermophyton floccosum
B35.9	teigne favique
B35.9	favus urcéolaire
B35.9	favus
B35.9	favus dû à Trichophyton schoenleinii
B36.1	tinea nigra
B36.1	tinea à Cladosporium werneckii
B36.1	microsporosis nigra
B36.1	pityriasis nigra
B36.1	tinea palmaris nigra
B36.1	keratomycosis nigricans palmaris
B36.3	piedra noire
B36.3	piedra à Piedraia hortae
B36.2	piedra blanche
B36.2	teigne blanche
B36.2	piedra à Trichosporon cutaneum
B35.3	teigne du pied
B35.3	tinea pedis
B35.3	pied d'athlète
B35.3	teigne du pied à Trichophyton
B35.3	teigne du pied à Epidermophyton
B35.3	teigne du pied à Epidermophyton floccosum
B35.2	teigne de la main
B35.2	tinea manuum
B35.1	teigne unguéale
B35.1	onychomycose
B35.1	teigne de l'ongle
B35.1	mycose de l'ongle
B35.1	onyxis dermatophytique
B35.1	onychomycose à Trichophyton rubrum
B35.1	onychomycose à Trichophyton mentagrophytes
B35.1	onychomycose à Epidermophyton floccosum
B36.0	pityriasis versicolor
B36.0	tinea flava
B36.0	tinea versicolor
B36.0	pityriasis versicolor à Pityrosporum furfur
B36.0	pityriasis versicolor à Malassezia furfur
B35.8	mycose verruqueuse
B35.8	infection à Cercospora apii
B48.8	fusariose
B48.8	infection à Fusarium
B48.7+	maladie de Kashin-Beck
B48.7+	ostéoarthrite déformante
B48.7+	ostéoarthrose déformante
B48.7+	polyarthrite endémique
B48.7+	ostéoarthrite déformante endémique
B48.7+	maladie de l'Ourov
B48.7+	infection à Fusarium sporotrichiella
B48.7+	otite externe à Fusarium
B48.7+	kératite à Fusarium
B48.7+	kératite à Fusarium oxysporum
B48.7+	kératite à Fusarium solani
B48.8	branchiomycose
B89	parasitose
B89	maladie infectieuse parasitaire
B89	infection parasitaire
B89	infestation parasitaire
B89	parasitisme
B89	infestation
B82.9	parasitose intestinale
B88.9	infestation parasitaire cutanée
B88.9	maladie ectoparasitaire
B88.9	dermatite parasitaire
B88.9	parasitose cutanée
B88.9	dermite parasitaire
B89+	conjonctivite parasitaire
B89+	infestation parasitaire de l'orbite
B89+	péricardite parasitaire
B60.8+	myocardite à protozoaires
B58.9	infection à Toxoplasma gondii
B58.9	toxoplasmose
B58.8	toxoplasmose généralisée
B58.8	lymphadénopathie toxoplasmique aiguë
B58.0+	chorio-rétinite focale due à la toxoplasmose acquise
B58.1+	hépatite due à la toxoplasmose acquise
B58.2+	méningo-encéphalite due à la toxoplasmose acquise
B58.2+	méningo-encéphalite toxoplasmique acquise
B58.8+	myocardite due à la toxoplasmose acquise
B58.3+	pneumonite due à la toxoplasmose acquise
B58.0+	conjonctivite toxoplasmique acquise
B58.8	toxoplasmose de localisation précisée
B60.1	infection à Acanthamoeba
B60.2+	méningo-encéphalite amibienne primitive
B60.1	acanthamoebiose
B60.1	infection à Acanthamoeba castellani
B60.2	infection à Naegleria
B60.2	infection à Naegleria gruberi
B60.2+	méningo-encéphalite à Naegleria
B54	paludisme
B54	malaria
B50.9	paludisme à Plasmodium falciparum
B50.9	fièvre tierce maligne
B54	paludisme algide
B50.0	paludisme cérébral
B54	hépatite palustre
B50.8	hématurie palustre
B50.8	hémoglobinurie paludéenne
B50.8	fièvre hémoglobinurique
B50.8	hémoglobinurie palustre
B50.8	fièvre bilieuse hémoglobinurique
B54	dépôts de pigments malariens
B54	présence de pigments paludéens
B51.9	paludisme à Plasmodium vivax
B51.9	fièvre tierce bénigne
B52.9	paludisme à Plasmodium malariae
B52.9	fièvre quarte
B52.0+	néphrose palustre
B53.0	paludisme à Plasmodium ovale
B53.8	autres formes étiologiques de paludisme
B53.1	paludisme simien
B53.1	paludisme à plasmodies simiennes
B53.8	paludisme, forme mixte
B53.8	paludisme à plusieurs hématozoaires
B53.8	paludisme provoqué
B53.8	paludisme post-thérapeutique
B53.8	malariathérapie
B60.0	babésiose humaine
B60.0	babésiellose
B60.0	babésiose
B60.0	piroplasmose
B60.0	infection à Babesia
B60.0	infection à Babesia bovis
B60.0	infection à Babesia microti
B60.0	infection à Babesia divergens
B60.8	parasitose intra-érythrocytaire à Nuttallia
B60.8	parasitose intra-érythrocytaire à Entopolypoides
B56.9	trypanosomiase
B56.9	chancre trypanosomique
B56.9+	trypanosomiase avec encéphalite
B56.9+	trypanosomiase avec méningite
B57.2	infection à Trypanosoma cruzi
B57.2	maladie de Chagas
B57.2	thyroïdite parasitaire
B57.2	fièvre barbeiro
B57.2	trypanosomiase américaine
B57.2	trypanosomose américaine
B57.2	trypanosomiase sud-américaine
B57.1	maladie de Chagas sans mention d'atteinte d'un organe
B57.2+	maladie de Chagas avec atteinte cardiaque
B57.5	maladie de Chagas avec atteinte d'un organe précisé
B56.9	trypanosomiase africaine
B56.9	léthargie d'Afrique
B56.9	toxinose du sommeil
B56.9	hypnopathie
B56.9	maladie du sommeil
B56.0	infection à Trypanosoma gambiense
B56.0	trypanosomiase gambienne
B56.0	maladie du sommeil à Trypanosoma gambiense
B56.1	infection à Trypanosoma rhodesiense
B56.1	trypanosomiase rhodésienne
B56.1	maladie du sommeil à Trypanosoma rhodesiense
B55.9	leishmaniose
B55.0	infection à Leishmania donovani
B55.0	fièvre épidémique d'Assam
B55.0	maladie de Sahib
B55.0	leishmaniose viscérale
B55.0	kala-azar
B55.0	fièvre dum-dum
B55.0	kala-azar méditerranéen
B55.0	kala-azar indien
B55.0	infection à Leishmania infantum
B55.0	leishmaniose dermique après kala-azar
B55.1	infection à Leishmania tropica minor
B55.1	leishmaniose cutanée
B55.1	bouton d'Orient
B55.1	leishmaniose orientale
B55.1	bouton d'Alep
B55.1	bouton de Bagdad
B55.1	bouton de Delhi
B55.1	leishmaniose cutanée, forme sèche
B55.1	leishmaniose cutanée tardive
B55.1	leishmaniose cutanée récurrente
B55.1	leishmaniose cutanée ulcéro-végétante
B55.1	infection à Leischmania tropica major
B55.1	leishmaniose cutanée du désert asiatique
B55.1	leishmaniose disséminée anergique
B55.1	leishmaniose cutanée aiguë nécrosante
B55.1	leishmaniose cutanée rurale
B55.1	leishmaniose cutanée humide
B55.1	leishmaniose cutanée zoonotique
B55.1	infection à Leishmania aethiopica
B55.1	leishmaniose cutanée de l'Ancien Monde
B55.1	leishmaniose cutanée diffuse
B55.1	leishmaniose cutanée lépromateuse
B55.1	infection à Leishmania mexicana
B55.1	leishmaniose tégumentaire diffuse
B55.1	leishmaniose cutanée américaine
B55.1	ulcère des gommiers
B55.2	infection à Leishmania braziliensis
B55.2	leishmaniose cutanéo-muqueuse américaine
B55.2	uta
B55.2	espundia
B55.2	leishmaniose cutanéo-muqueuse
B55.2	leishmaniose cutanéo-muqueuse disséminée
B60.8	infection à Nosema
B60.8	nosématose
B60.8	infection à Nosema connori
B60.8	infection à Encephalitozoon
B60.8	infection à Encephalitozoon cuniculi
B60.8	infection à Diplodinium
B60.8	infection à Ophryoscolex
B60.8	infection à Buxtonella
B60.8	infection à Entodinium
B60.8	infection à Ichthyophthirius
B60.8	infection à Myxobolus
B60.8	infection à Henneguya
B60.8	infection à Lentospora
B59	pneumocystose
B59	infection à Pneumocystis carinii
B59	infection à Pneumocystis jiroveci
B59	pneumocystose pulmonaire
B59	pneumonie à Pneumocystis carinii
B60.8	infection à Microspora
B60.8	infection à Cnidospora
B60.8	infection à Rudimicrosporea
B60.8	infection à Microsporea
B60.8	infection à Microsporida
B60.8	infection à Microsporidia
B60.8	infection à Cnidosporidia
B60.8	microsporidiose
B83.9	infection à vers
B83.9	helminthiase
B83.9	infection à cestodes
B83.9	infestation à vers plats
B82.0	helminthiase intestinale
B81.4	helminthiase intestinale mixte
B82.0	infection à nématode
B82.0	infection à vers ronds
B82.0	nématodiase
B82.0	infection intestinale à nématodes
B83.9+	infestation pulmonaire à nématodes
B66.9	infection à trématodes
B66.9	infection à douves
B66.9	distomiase
B66.9	distomatose
B65.9	infection à schistosomes
B65.9	distomatose sanguine
B65.9	schistosomiase
B65.9	bilharziose
B65.0	infection à Schistosoma hematobium
B65.0	schistosomiase vésicale
B65.0	schistosomiase urinaire
B65.1	infection à Schistosoma mansonii
B65.1	schistosomiase intestinale
B65.2	infection à Schistosoma japonicum
B65.2	maladie de Katayama
B65.2	bilharziose artério-veineuse
B65.2	schistosomiase artério-veineuse
B65.2	schistosomiase sino-japonaise
B65.2+	schistosomiase cardio-pulmonaire
B65.2+	schistosomiase pulmonaire
B65.1+	schistosomiase hépatique
B65.1+	schistosomiase du foie
B65.3	infection aux cercaires de schistosomes
B65.3	dermatite des nageurs
B65.3	gale des nageurs
B65.3	dermite cercarienne
B65.3	dermite des nageurs
B65.3	dermatite à schistosomes
B65.3	dermatite cercarienne
B65.3	schistosomiase cutanée
B65.9	dépôts de pigments bilharziens
B65.9	présence de pigments bilharziens
B65.3	dermatite cercarienne de type aviaire d'eau douce
B65.3	dermatite cercarienne de type aviaire d'eau salée
B65.3	dermatite cercarienne de type mammifère d'eau douce
B65.8	schistosomiase de type précisé
B65.8	infection à Schistosoma bovis
B65.8	infection à Schistosoma intercalatum
B65.8	infection à Schistosoma mattheii
B65.8	infection à Schistosoma spindale
B65.8	infection à Schistosoma chestermani
B66.3	infection à fasciola
B66.3	fasciolase
B66.3	infection à la douve du foie
B66.3	infection à Fasciola gigantica
B66.3	infection à Fasciola hepatica
B66.3	infection à la douve du foie des moutons
B66.5	infection à Fasciolopsis buski
B66.5	fasciolopsiase
B66.5	infection à la grande douve de l'intestin
B66.5	distomatose intestinale
B66.8	échinostomose
B66.8	infection à Echinostoma ilocanum
B66.8	infection à Echinostoma lindoense
B66.8	infection à Echinochasmus
B66.8	infection à Echinochasmus perfoliatus
B66.8	gastrodiscoïdose
B66.8	infection à Gastrodiscoides hominis
B66.8	dicrocoeliose
B66.8	infection à Dicrocoelium dentriticum
B66.4	infection à Paragonimus
B66.4	infection à la douve pulmonaire orientale
B66.4	paragonimiase
B66.4	distomatose pulmonaire
B66.4	infection à Paragonimus westermanii
B66.0	opisthorchiase
B66.0	infection à la douve du foie du chat
B66.0	infection à Opisthorchis felineus
B66.0	infection à Opisthorchis tenuicollis
B66.0	infection à Opisthorchis viverrini
B66.1	clonorchiase
B66.1	maladie chinoise de la douve du foie
B66.1	maladie orientale de la douve du foie
B66.1	distomatose hépatique à Clonorchis sinensis
B66.1	clonorchiase avec cirrhose biliaire
B66.8	infection à Heterophyes
B66.8	hétérophyase
B66.8	infection à Stellantchasmus falcatus
B66.8	distomatose intestinale à Metagonimus yokogawai
B66.8	métagonimiase
B70.0	infection à Diphyllobothrium
B70.0	infection intestinale à bothriocéphale
B70.0	diphyllobothriase
B70.0	infection à Diphyllobothrium latum
B70.0	infection à Diphyllobothrium pacificum
B71.8	infection à Digramma
B71.8	infection à Ligula
B71.8	infection à Braunia
B71.8	infection à Diplogonoporus grandis
B71.1	infection à Dipylidium caninum
B71.1	dipylidiase
B71.1	infection par cestodes du chien
B71.0	hyménolépiase
B71.0	infection à Hymenolepis diminuta
B71.0	infection par cestodes du rat
B71.0	infection à Hymenolepis nana
B71.0	parasitose à Hymenolepis nana
B67.9	échinococcose
B67.9	infection à ténia échinocoque
B67.9	hydatidose
B67.8	échinococcose du foie
B67.0	infection à Echinococcus granulosus
B67.0	kyste hydatique uniloculaire
B67.3	infection hépatique à Echinococcus granulosus
B67.1	infection pulmonaire à Echinococcus granulosus
B67.3	infection thyroïdienne à Echinococcus granulosus
B67.3	autres infections à Echinococcus granulosus
B67.7	infection à Echinococcus multilocularis
B67.7	échinococcose alvéolaire
B67.5	infection hépatique à Echinococcus multilocularis
B67.6	infection à Echinococcus multilocularis de localisation précisée
B67.9	infection à Echinococcus oligarthrus
B67.9	infection à Echinococcus vogeli
B68.9	infection à ténia
B68.9	taeniase
B68.1	infection à Taenia saginata
B68.1	ver solitaire du boeuf
B68.1	infection à ténia du boeuf
B68.0	infection intestinale à Taenia solium
B68.0	infection à ténia du porc
B68.0	infection à Taenia solium
B68.9	infection à multiceps
B70.1	infection à la larve de Spirometra
B70.1	sparganose
B70.1	diphyllobothriase larvaire
B70.1	spirométrose
B70.1	infection à Sparganum proliferum
B70.1	infection à Sparganum mansoni
B76.9	ankylostomiase
B76.9	ankylostomose
B76.9	ankylostomasie
B76.9	anémie des mineurs
B76.9	anémie des briquetiers
B76.9	infection à ankylostomes
B76.0	ankylostomiase à Ancylostoma duodenale
B76.0	ankylostomiase à Ancylostoma braziliense
B76.0	ankylostomiase à Ancylostoma ceylonicum
B76.1	nécatorose
B76.1	infection à Necator americanus
B76.9	uncinariose
B76.9	larva migrans cutanée
B76.9	dermite à larves d'ankylostome
B76.9	myiase rampante cutanée
B76.9	dermatite à larves d'ankylostome
B76.9	ankylostomiase cutanée
B76.9	larva migrans cutanée à Ancylostoma braziliense
B76.9	larva migrans cutanée à Ancylostoma caninum
B83.8	infection à Angiostrongylus
B83.8	angiostrongyloïdose
B83.8	angiostrongylose
B83.2	infection à Angiostrongylus cantonensis
B83.2	méningo-encéphalite à éosinophiles
B77.9	ascaridiase
B77.9	infection à Ascaris lumbricoïdes
B83.0	toxocarose
B83.0	infection à Toxocara canis
B83.0	infection à Toxocara cati
B83.0	larva migrans viscérale
B83.9	infection à Lagochilascaris
B83.9	infection à Toxascaris
B81.0	infection aux larves d'Anisakis
B81.0	granulome éosinophilique du tube digestif
B81.0	granulome éosinophilique de l'estomac
B81.0	anisakiase
B81.0	anisakiase à Anisakis marina
B81.0	anisakiase à Anisakis simplex
B81.8	infection à Contracaecum
B81.8	infection à Pseudoterranova
B81.8	infection à Physaloptera
B81.8	physaloptériase
B81.8	infection à Physaloptera mordens
B81.8	infection à Physaloptera caucasica
B83.1	infection à Gnathostoma
B83.1	gnathostomose
B83.1	gnathostomiase
B83.1	infection à Gnathostoma dolorosi
B83.1	infection à Gnathostoma nipponicum
B83.1	infection à Gnathostoma spinigerum
B81.1	infection à Capillaria
B81.1	capillariose
B83.8	infection à Capillaria hepatica
B81.1	infection à Capillaria philippinensis
B79	trichocéphalose
B79	infection à Trichuris trichiura
B79	infection à Trichocephalus trichiura
B81.8	infection à Anatrichosoma
B75	infection aux larves de Trichinella spiralis
B75	trichinose
B75	trichinellose
B83.8	infection rénale à Dioctophyma
B80	infection à Enterobius vermicularis
B80	oxyurase
B80	entérobiase
B80	oxyurose
B80	oxyuriasis
B80	infection à oxyures
B80	infection à Oxyuris vermicularis
B83.8	infection à Syphacia
B81.8	oesophagostomose
B81.8	infection à Oesophagostomum apiostomum
B81.8	infection à Oesophagostomum stephanostomum
B81.8	infection à Ternidens diminutus
B74.9	filariose
B74.4	infection à Dipetalonema
B74.4	dipétalonémiase
B74.4	infection à Dipetalonema perstans
B74.4	acanthocheilonémiase
B74.4	infection à Acanthocheilonema perstans
B74.4	infection à Dipetalonema streptocerca
B74.4	streptocercose
B74.4	infection à Acanthocheilonema streptocerca
B74.0	infection à Wuchereria bancrofti
B74.0	filariose bancroftienne
B74.0	infection bancroftienne
B74.0	éléphantiasis bancroftien
B74.0	chylurie à Wuchereria bancrofti
B74.0	lymphadénite à Wuchereria bancrofti
B74.0	lymphangite à Wuchereria bancrofti
B74.1	infection à Brugia malayi
B74.1	filariose à Brugia malayi
B74.1	éléphantiasis filarien à Brugia malayi
B74.1	chylurie à Brugia malayi
B74.1	lymphadénite à Brugia malayi
B74.1	lymphangite à Brugia malayi
B74.4	infection à Filaria ozzardi
B74.4	infection à Mansonella ozzardi
B74.4	filariose ozzardi
B73	infection à Onchocerca volvulus
B73	volvulose
B73	maladie de Robles
B73	cécité des rivières
B73	onchocercose
B74.8	infection à Dirofilaria
B74.8	dirofilariose
B74.8	dirofilariose pulmonaire
B74.8	dirofilariose sous-cutanée
B74.8	infection à Dirofilaria conjunctivae
B74.8	infection à Dirofilaria immitis
B74.3	filariose à loa
B74.3	infection à loa
B74.3	loase
B74.3	oedème de Calabar
B74.3	loasis
B74.8	infection à Meningonema
B74.8	méningonémiase
B74.8	infection à Meningonema peruzzi
B72	infection à Dracunculus medinensis
B72	dracunculose
B72	dracontiase
B72	infection au ver de Guinée
B81.2	trichostrongylose
B81.2	infection à Trichostrongylus orientalis
B81.2	infection à Trichostrongylus colubriformis
B78.9	infection à strongyloïdes
B78.9	strongyloïdose
B78.9	anguillulose
B78.9	infection à Strongyloides stercoralis
B78.9	syndrome de larva currens
B83.8	infection à Stephanurus
B83.8	stéphanuriase
B88.2	affection due aux arthropodes
B88.2	infestation par les arthropodes
B88.2	infestation par les insectes
B88.2	infestation par les cafards
B88.2	infestation par les coléoptères
B88.2	infestation par les scarabées
B88.2	infestation par les punaises
B88.2	infestation à Cimex lectularius
B85.2	infestation à Anoplura
B85.2	infestation par les poux
B85.2	anoplurose
B85.2	infestation à Haematopinus
B85.2	haematopinose
B85.2	infestation à Linognathus
B85.2	linognathose
B85.2	infestation à Pediculus
B85.2	pédiculose
B85.0	pédiculose de la tête
B85.1	pédiculose du corps
B85.4	pédiculose mixte
B85.3	infestation à Phtirius
B85.3	phtiriase
B85.3	infestation à Phtirius pubis
B85.3	infestation par les morpions
B85.3	pédiculose du pubis
B85.2	infestation à Solenopotes
B85.2	infestation à Mallophaga
B85.2	mallophagose
B85.2	infestation par les poux de volailles
B88.8	infestation à Siphonaptera
B88.8	infestation par les puces
B88.1	infestation à Tunga penetrans
B88.1	sarcopsyllose
B88.1	infestation par la puce-chique
B88.1	infestation par la chique
B88.1	infestation par la puce des sables
B88.1	tungose
B88.8	infestation à Pulex
B88.8	infestation à Pulex irritans
B88.8	infestation par la puce humaine
B88.8	infestation à Xenopsylla
B88.8	infestation à Ceratophyllus
B88.8	infestation à Ctenocephalides
B88.8	infestation à Diptera
B87.9	infestation par les larves de mouches
B87.9	myiase
B87.9	myase
B87.0	myiase cutanée
B87.0	myiase rampante
B87.0	infestation par les larves des planchers du Congo
B87.2	myiase oculaire
B87.2	ophtalmomyase
B87.8	myiase génito-urinaire
B87.8	myiase intestinale
B87.8	myiase rectale
B87.9	infestation par les mouches à viande
B87.9	infestation à Gasterophilus intestinalis
B87.2	infestation à Oestrus ovis
B87.0	infestation à Dermatobia
B87.0	infestation à Dermatobia hominis
B88.0	infestation par les acariens
B88.0	acariase
B88.0	acariose
B88.8	morsure de tique
B88.0	infestation à Ixodidae
B88.0	infestation à Ixodes
B88.0	infestation à Demodex folliculorum
B88.0	trombidiose
B88.2	infestation à Pyemotes
B88.2	infestation à Pyemotes ventricosus
B88.2	infestation par les acares de grain
B88.2	gale des meuniers
B86	infestation à Sarcoptes
B86	gale à Sarcoptes scabiei
B86	gale sarcoptique
B86	gale norvégienne
B88.8	affection à Pentastomida
B88.8	linguatulose
B88.8	maladie à Linguatula
B88.8	maladie à Linguatula serrata
B88.8	linguatulose nasopharyngée
B88.8	affection à Pentastoma
B88.8	infection à Pentastoma denticulatum
B88.8	infection à Pentastoma najae
B88.8	affection à Armillifer
B88.8	infection à Armillifer armillatus
B88.8	infection à Porocephalus armillatus
B88.8	infection à Armillifer grandi
B88.8	porocéphalose
B88.8	infection à Porocephalus moniliformis
B88.8	infection à Porocephalus crotali
B88.3	affections à annélides
B88.3	infestation par les sangsues
B88.3	hirudinase
B88.3	infestation à Hirudo medicinalis
B99	infection due aux algues
B99	protothécose
B99	infection à Prototheca segbwema
B99	infection à Prototheca wickerhamii
B99	infection à Prototheca zopfi
B99	ichthyoparasitisme
B99	infestation à Candiru
B99	ichthyoparasitisme à Vandella cirrhosa
B99	maladie infectieuse d'étiologie indéterminée
B33.0	myalgie cervicale épidémique
B99	hakuri
B99	maladie de Sakamoto
B99	pseudo-choléra infantile
B99	fièvre d'Izumi
B99	syndrome de vomissements épidémiques
B99	maladie des vomissements hivernaux
B99	myosphérulose
B99	maladie infectieuse mal définie
B99	maladie d'origine présumée infectieuse
B99	maladie épidémique
