M06.3	nodules rhumatoïdes sous-cutanés
M72.84	fibrome digital récurrent de l'enfant
M72.2	fibromatose de l'aponévrose plantaire
M72.2	aponévrosite plantaire
M72.2	maladie de Ledderhose
M72.2	rétraction de l'aponévrose plantaire
M72.2	fasciite plantaire traumatique
M72.2	aponévrosite plantaire traumatique
M72.14	hélodermie
M72.14	coussinet des phalanges
M72.39	fasciite nodulaire
M72.49	fasciite infiltrante
M72.49	fibromatose pseudo-sarcomateuse
M72.49	fasciite pseudosarcomateuse
M72.49	fasciite proliférante
M60.8	myosite proliférative
M60.19	myosite interstitielle
M60.19	myosite fibreuse
M60.29	granulome à corps étranger d'un muscle
M60.29	talcome d'un muscle
M62.19	déchirure non traumatique d'un muscle
M62.09	diastasis d'un muscle
M62.08	diastasis du grand droit
M79.09	rhumatisme
M79.09	fibrosite
M79.09	fibrosite primaire
M79.09	fibrosite secondaire
M60.99	myosite
M79.09	fibromyosite
M79.09	syndrome polyalgique idiopathique diffus
M79.09	fibromyalgie
M79.09	syndrome de fibromyalgie primaire
M62.49	contracture musculaire
M79.4	hypertrophie du coussinet graisseux rotulien
M79.4	hypertrophie du coussinet graisseux du genou
M72.59	aponévrosite
M35.4	fasciite diffuse à éosinophiles
M35.4	pseudo-sclérodermie à éosinophiles
M35.4	fasciite à éosinophiles
M35.4	syndrome de Shulman
M79.69	mélalgie
M79.69	douleur au niveau d'un membre
M79.59	corps étranger résiduel dans les tissus mous
M79.89	tuméfaction d'un membre
M76.86	syndrome de la loge tibiale antérieure
M62.48	spasmes musculaires de la tête et du cou
M24.58	raideur musculaire aiguë du cou
M24.58	limitation anormale chronique des mouvements du cou
M79.18	myalgie intercostale
M89.99	maladie osseuse
M89.99	ostéopathie
M90.89*	ostéodystrophie hépatique
M89.89	ostéodystrophie par inactivité
M81.89	syndrome de déminéralisation osseuse des astronautes
M48.1	hyperostose diffuse idiopathique
M86.99	ostéite
M86.99	inflammation des os
M86.91	ostéite de la région de la clavicule et de l'omoplate
M86.92	ostéite de l'humérus
M86.93	ostéite du cubitus et du radius
M86.94	ostéite des os du carpe, du métacarpe et des doigts
M86.95	ostéite des os du bassin
M86.95	ostéite des os du pubis
M86.95	ostéite du fémur
M86.96	ostéite du péroné et du tibia
M86.97	ostéite des os du tarse, du métatarse et des orteils
M86.98	ostéite d'une localisation précisée
M86.90	ostéite de localisations multiples
M86.99	ostéomyélite
M86.99	inflammation pyogène d'un os
M86.91	ostéomyélite de la clavicule et de l'omoplate
M86.92	ostéomyélite de l'humérus
M86.93	ostéomyélite du cubitus et du radius
M86.94	ostéomyélite des os du carpe, du métacarpe et des doigts
M86.95	ostéomyélite des os du bassin
M86.95	ostéomyélite du fémur
M86.96	ostéomyélite du péroné et du tibia
M86.97	ostéomyélite des os du tarse, du métatarse et des orteils
M86.98	ostéomyélite d'une localisation précisée
M86.90	ostéomyélite de localisations multiples
M86.98	ostéomyélite du crâne
M86.98	ostéomyélite crânienne
M86.19	ostéomyélite aiguë
M86.19	ostéomyélite aiguë avec ou sans périostite
M86.11	ostéomyélite aiguë de la clavicule et de l'omoplate
M86.12	ostéomyélite aiguë de l'humérus
M86.13	ostéomyélite aiguë du cubitus et du radius
M86.14	ostéomyélite aiguë des os du carpe, du métacarpe et des doigts
M86.15	ostéomyélite aiguë des os du bassin
M86.15	ostéomyélite aiguë du fémur
M86.16	ostéomyélite aiguë du péroné et du tibia
M86.17	ostéomyélite aiguë des os du tarse, du métatarse et des orteils
M86.18	ostéomyélite aiguë d'une localisation précisée
M86.10	ostéomyélite aiguë de localisations multiples
M86.18	ostéomyélite aiguë du crâne
M86.18	ostéomyélite crânienne aiguë
M86.69	ostéomyélite chronique
M86.69	ostéomyélite chronique avec ou sans périostite
M86.61	ostéomyélite chronique de la clavicule et de l'omoplate
M86.62	ostéomyélite chronique de l'humérus
M86.63	ostéomyélite chronique du cubitus et du radius
M86.64	ostéomyélite chronique des os du carpe, du métacarpe et des doigts
M86.65	ostéomyélite chronique des os du bassin
M86.65	ostéomyélite chronique du fémur
M86.66	ostéomyélite chronique du péroné et du tibia
M86.67	ostéomyélite chronique des os du tarse, du métatarse et des orteils
M86.68	ostéomyélite chronique d'une localisation précisée
M86.60	ostéomyélite chronique de localisations multiples
M86.68	ostéomyélite chronique du crâne
M86.68	ostéomyélite crânienne chronique
M86.29	ostéomyélite subaiguë avec ou sans périostite
M86.89	abcès de Brodie
M89.89	lésion radique d'un os
M89.89	os radique
M87.89	nécrose osseuse aiguë
M87.89	ostéonécrose aiguë
M86.89	ostéomyélite de Garré
M86.89	ostéomyélite sclérosante non suppurée
M86.89	maladie de Garré
M86.89	ostéite de Garré
M86.89	ostéite chronique condensante
M85.39	ostéite condensante diffuse
M86.99	périostite
M86.99	périostite sans mention d'ostéomyélite
M86.91	périostite aiguë de la clavicule et de l'omoplate
M86.92	périostite aiguë de l'humérus
M86.93	périostite aiguë du cubitus et du radius
M86.94	périostite aiguë des os du carpe, du métacarpe et des doigts
M86.95	périostite aiguë des os du bassin
M86.95	périostite aiguë du fémur
M86.96	périostite aiguë du péroné et du tibia
M86.97	périostite aiguë des os du tarse, du métatarse et des orteils
M86.98	périostite aiguë d'une localisation précisée
M86.90	périostite de localisations multiples
M86.89	abcès périostique sans mention d'ostéomyélite
M86.99	abcès de l'os, à l'exclusion des os des sinus de la face, de la machoire ou de la mastoïde
M89.89	périostose sans mention d'ostéomyélite
M89.69	ostéopathie due à une poliomyélite
M90.8*	infections osseuses au cours d'autres maladies
M86.99	infection osseuse
M86.98	ostéomyélite des os de la face
M86.98	ostéomyélite de l'os frontal
M86.98	ostéomyélite de l'os malaire
M86.98	ostéomyélite de l'os sphénoïde
M86.98	ostéomyélite de l'os temporal
M86.98	ostéomyélite du complexe orbito-nasal
M86.18	ostéomyélite aiguë des os de la face
M86.18	ostéomyélite aiguë de l'os frontal
M86.18	ostéomyélite aiguë de l'os malaire
M86.18	ostéomyélite aiguë de l'os sphénoïde
M86.18	ostéomyélite aiguë de l'os temporal
M86.18	ostéomyélite aiguë du complexe orbito-nasal
M86.68	ostéomyélite chronique des os de la face
M86.68	ostéomyélite chronique de l'os frontal
M86.68	ostéomyélite chronique de l'os malaire
M86.68	ostéomyélite chronique de l'os sphénoïde
M86.68	ostéomyélite chronique de l'os temporal
M86.68	ostéomyélite chronique du complexe orbito-nasal
M86.88	ostéomyélite de Garré des os de la face
M86.88	ostéomyélite de Garré de l'os frontal
M86.88	ostéomyélite de Garré de l'os malaire
M86.88	ostéomyélite de Garré de l'os sphénoïde
M86.88	ostéomyélite de Garré de l'os temporal
M86.88	ostéomyélite de Garré du complexe orbito-nasal
M86.88	abcès d'un os de la face
M86.88	abcès de l'os frontal
M86.88	abcès de l'os malaire
M86.88	abcès de l'os sphénoïde
M86.88	abcès de l'os temporal
M86.88	abcès du complexe orbito-nasal
M87.89	ostéoradionécrose
M87.89	nécrose par irradiation d'un os
M87.88	ostéoradionécrose des os de la face
M87.88	ostéoradionécrose de l'os frontal
M87.88	ostéoradionécrose de l'os malaire
M87.88	ostéoradionécrose de l'os sphénoïde
M87.88	ostéoradionécrose de l'os temporal
M87.88	ostéoradionécrose du complexe orbito-nasal
M87.88	séquestre des os de la face
M87.88	séquestre de l'os frontal
M87.88	séquestre de l'os malaire
M87.88	séquestre de l'os sphénoïde
M87.88	séquestre de l'os temporal
M87.88	séquestre du complexe orbito-nasal
M88.99	ostéite déformante
M88.99	ostéite déformante sans mention de tumeur osseuse
M88.99	maladie osseuse de Paget
M88.99	ostéite déformante au cours d'une affection classée ailleurs
M89.49	ostéoarthropathie hypertrophiante pneumique
M89.49	ostéite engainante des diaphyses
M89.49	périostose engainante acromégalique
M89.49	maladie de Pierre Marie-Bamberger
M89.49	acropachie
M92.2	ostéoarthropathie familiale des doigts
M92.2	maladie de Thiemann
M89.89	hyperostose corticale infantile
M89.89	maladie de Caffey-Smyth
M93.9	ostéochondropathie
M93.9	maladie ostéo-cartilagineuse
M42.09	épiphysite vertébrale douloureuse juvénile
M42.09	cyphose des adolescents
M42.09	épiphysite vertébrale
M42.09	maladie de Scheuermann
M42.09	ostéochondrite vertébrale juvénile
M42.09	cyphose de Scheuermann
M42.09	cyphose douloureuse des adolescents
M91.9	ostéochondrite juvénile de la hanche
M91.1	épiphysite fémorale supérieure
M91.3	pseudocoxalgie
M91.2	coxa plana
M91.1	ostéochondrite juvénile de la tête du fémur
M91.1	maladie de Legg-Perthes-Calvé
M91.0	ostéochondrite juvénile du bassin
M91.0	ostéochondrite ischio-pubienne de Van Neck Odelberg
M91.0	ostéochondrite juvénile de la crête iliaque
M91.0	ostéochondrite juvénile de Buchanan
M91.0	ostéochondrite juvénile de l'acétabulum
M91.0	ostéochondrite juvénile de la symphyse pubienne
M91.0	maladie de Pierson
M93.0	glissement de l'épiphyse supérieure du fémur
M93.0	épiphysiolyse de la tête fémorale
M93.0	coxa vara retrosa
M93.0	glissement non traumatique de l'épiphyse supérieure du fémur
M92.3	ostéochondrite juvénile du membre supérieur
M92.0	ostéochondrite du condyle huméral
M92.0	ostéochondrite juvénile du condyle huméral
M92.0	maladie de Haas
M92.0	maladie de Panner
M92.2	ostéochondrite du semi-lunaire
M92.2	maladie de Kienböck
M92.2	atrophie de Kienböck
M92.2	ostéochondrite juvénile de la main
M92.2	ostéochondrite juvénile des têtes métacarpiennes
M92.2	maladie de Mauclaire
M92.1	ostéochondrite juvénile de l'épiphyse inférieure du cubitus
M92.1	maladie de Burns
M92.1	ostéochondrite juvénile de la tête radiale
M92.1	maladie de Brailsford
M92.8	ostéochondrite juvénile du membre inférieur
M92.8	ostéochondrite juvénile du membre inférieur, à l'exclusion du pied
M92.5	tibia vara
M92.5	ostéochondrite déformante du tibia
M92.5	nécrose aseptique de la tubérosité interne du tibia
M92.5	ostéochondrite juvénile de l'épiphyse supérieure du tibia
M92.5	maladie de Blount
M92.4	ostéochondrite juvénile du centre d'ossification primaire de la rotule
M92.4	ostéochondrite juvénile du centre d'ossification secondaire de la rotule
M92.5	ostéochondrite juvénile du tubercule tibial
M92.5	maladie d'Osgood-Schlatter
M92.4	patellite des adolescents
M92.4	maladie de Sinding Larsen-Johansson
M92.8	ostéochondrite juvénile du pied
M92.6	apophysite postérieure du calcanéum
M92.6	maladie de Sever
M92.6	épiphysite du calcanéum
M92.6	ostéochondrite juvénile du calcanéum
M92.6	ostéochondrite juvénile de l'astragale
M92.7	ostéochondrite juvénile du deuxième métatarsien
M92.7	maladie de Freiberg
M92.7	ostéochondrite juvénile du cinquième métatarsien
M92.5	ostéochondrite juvénile du tibia
M92.6	ostéochondrite juvénile du scaphoïde tarsien
M92.6	scaphoïdite tarsienne de Köhler
M92.6	maladie de Müller-Weiss
M92.6	scaphoïdite tarsienne de l'adulte
M92.9	apophysite juvénile
M92.9	épiphysite juvénile
M92.9	ostéochondrite juvénile
M92.9	ostéochondrose juvénile
M93.2	ostéochondrite disséquante
M93.8	ostéochondrite vertébrale de l'adulte
M93.8	forme précisée d'ostéochondropathie
M93.9	apophysite
M93.9	sclérose apophysaire
M93.9	épiphysite
M93.9	dysplasie de la plaque épiphyséale
M93.9	ostéochondrite
M93.9	maladie de Martin du Pan et Rutishauser
M93.9	ostéochondrite laminaire
M93.9	ostéochondrose
M93.9	nécrose ischémique épiphysaire
M93.9	nécrose ischémique de l'épiphyse
M93.9	chondro-épiphysose
M81.99	ostéoporose
M81.89	anomalie ostéoporotique de la moelle osseuse
M48.5	tassement vertébral
M81.89	ostéoporose sénile
M81.09	ostéoporose ménopausique
M81.09	ostéoporose post-ménopausique
M81.59	ostéoporose idiopathique
M81.29	ostéoporose d'inactivité
M89.09	algodystrophie sympathique
M89.09	algodystrophie sympathique réflexe
M89.09	ostéoporose algique post-traumatique
M89.09	atrophie de Sudeck
M89.09	atrophie osseuse post-traumatique
M83.88	craniotabès
M89.59	ostéolyse migratoire
M89.59	maladie de Gorham
M89.59	angiomatose osseuse
M89.59	ostéolyse massive idiopathique
M81.49	ostéoporose médicamenteuse
M81.89	syndrome de Riley-Shwachman
M89.99	autre affection des os et des cartilages
M48.5	affaissement d'une vertèbre
M48.5	affaissement vertébral
M48.5	spondylomalacie
M85.09	dysplasie fibreuse des os
M85.09	fibroblastose médullaire
M85.09	dysplasie fibreuse monostotique
M85.09	ostéite fibreuse localisée
M85.09	dysplasie fibreuse localisée
M85.2	hyperostose du crâne
M85.2	épaississement du crâne
M85.2	hyperostose frontale interne
M85.2	craniopathie métabolique
M85.2	syndrome de Morgagni-Morel
M85.2	ostéose hypertrophiante diffuse bilatérale
M85.2	leontiasis ossea
M85.2	faciès léonin
M87.99	nécrose aseptique d'un os, localisation non précisée
M87.92	nécrose aseptique de la tête de l'humérus
M87.95	nécrose aseptique de la tête et du col du fémur
M87.95	nécrose aseptique du condyle fémoral interne
M87.97	nécrose aseptique du talon
M87.98	nécrose aseptique de localisation précisée
M85.39	ostéite condensante
M85.35	sclérose piriforme de l'os iliaque
M94.08	syndrome de Tietze
M94.08	rhumatisme intercostal
M94.08	périchondrite péristernale
M94.08	syndrome des articulations costo-chondrales
M89.09	algoneurodystrophie
M89.09	atrophie par inactivité
M89.59	ostéoclasie
M89.29	arrêt du développement d'un os
M89.19	arrêt épiphysaire
M94.29	chondromalacie
M94.29	chondromalacie localisée
M94.29	chondromalacie systématisée
M94.26	chondromalacie du plateau tibial
M86.89	diaphysite
M94.89	chondrite
M94.88	chondrite costale
M94.88	costochondrite
M94.89	périchondrite
M94.19	polychondrite récidivante
M94.89	polychondrite chronique
M94.19	syndrome de von Meyenburg
M89.89	hémorragie sous-périostée
M24.88	syndrome de Cyriax
M24.88	syndrome des côtes glissantes
M95.9	déformation musculo-squelettique acquise
M21.4	pied plat acquis
M21.4	pied bot plat acquis
M21.4	platypodie acquise
M20.6	déformation acquise d'un orteil
M20.1	hallux valgus acquis
M20.1	hallux valgus
M20.1	hallux valgus avec oignon
M20.3	hallux varus acquis
M20.2	hallux rigidus acquis
M20.4	hallux malleus acquis
M20.4	hallux flexus acquis
M20.4	orteil en marteau
M20.4	orteil en col de cygne
M20.4	orteil en marteau acquis, autre que le gros orteil
M21.5	gampsodactylie
M21.5	pied en griffe acquis
M20.5	déformation précisée acquise d'un orteil
M21.93	déformation acquise de l'avant-bras, à l'exclusion des doigts
M21.82	déformation acquise du coude
M21.83	déformation acquise de l'avant-bras
M21.83	déformation acquise du poignet
M21.83	signe de la corde des radiaux
M21.83	déformation de la main en dos de fourchette
M21.94	déformation acquise de la main
M21.84	main bêche
M21.84	main en battoir
M21.84	main acromégalique
M21.84	main du myxoedème
M21.03	cubitus valgus acquis
M21.13	cubitus varus acquis
M21.13	déformation en canon de fusil
M21.03	déformation en valgus acquise du poignet
M21.13	déformation en varus acquise du poignet
M21.54	main en griffe acquise
M21.54	griffe cubitale
M21.54	main en griffe
M21.84	main de prédicateur
M21.84	main de bénisseur
M21.54	main bote acquise
M21.84	main de singe acquise
M20.0	déformation acquise d'un doigt
M20.0	doigt en maillet
M20.0	doigt en marteau
M20.0	déformation en boutonnière des doigts
M20.0	déformation en col de cygne des doigts
M77.97	exostose sous-unguéale
M20.0	déformation acquise précisée d'un doigt
M21.95	déformation acquise de la hanche
M21.05	coxa valga acquise
M21.15	coxa vara acquise
M21.85	déformation acquise précisée de la hanche
M21.96	déformation acquise du genou
M21.06	genu valgum acquis
M21.06	genou cagneux acquis
M21.16	genu varum acquis
M21.16	jambe arquée acquise
M21.86	genu recurvatum acquis
M21.86	déformation acquise précisée du genou
M21.86	tibia en fourreau de sabre
M21.86	tibia en lame de sabre
M21.6	déformation acquise de la cheville et du pied
M21.57	pied bot varus équin acquis
M21.57	pied varus équin acquis
M21.57	pied bot équin acquis
M21.6	pied creux acquis
M21.57	gampsodactylie acquise du pied
M21.6	pied creux varus acquis
M21.4	pied plat flexible acquis
M21.4	pied plat flasque acquis
M21.4	pied plat non rigide acquis
M21.4	pied plat spasmodique acquis
M21.4	pied plat rigide acquis
M20.5	hippocratisme des orteils
M21.6	déformation acquise précisée du calcanéum
M21.57	pied bot acquis
M21.99	déformation acquise d'un membre, localisation non précisée
M21.99	déformation acquise d'un membre
M21.76	inégalité de longueur des membres inférieurs acquise
M21.92	déformation acquise du membre supérieur
M21.96	déformation acquise du membre inférieur
M21.91	déformation acquise de l'épaule
M43.99	anomalie acquise de la courbure de la colonne vertébrale
M40.09	cyphose posturale de l'adolescent
M40.19	cyphose acquise
M40.19	gibbosité acquise
M40.09	cyphose posturale acquise
M96.2	cyphose après irradiation
M96.3	cyphose après laminectomie
M40.29	autre cyphose acquise
M40.49	lordose acquise
M40.49	lordose posturale acquise
M96.4	lordose après laminectomie
M96.4	lordose après chirurgie
M41.29	scoliose idiopathique et cyphoscoliose
M41.09	scoliose idiopathique infantile résolutive
M41.09	scoliose idiopathique infantile évolutive
M96.5	scoliose après irradiation
M41.39	scoliose thoracogénique
M41.89	scoliose acquise
M43.99	incurvation vertébrale
M40.29	cyphose
M40.29	gibbosité
M41.99	cyphoscoliose
M40.59	lordose
M40.59	hyperlordose lombaire
M40.59	hyperlordose
M40.59	ensellure lombaire
M43.89	lordoscoliose
M41.99	scoliose
M43.89	courbure précisée de la colonne vertébrale
M95.0	déformation du nez
M95.0	anomalie acquise du nez
M95.0	nez en lorgnette
M95.0	nez en pied de marmite
M95.0	hypertrophie des os du nez
M95.2	déformation acquise de la tête
M95.3	déformation acquise du cou
M95.3	cou anormalement court
M95.3	cou court
M95.4	thorax en tonneau
M95.4	déformation acquise du thorax
M95.4	thorax en carène acquis
M95.4	thorax en carène
M95.4	thorax en bréchet
M95.4	thorax aplati
M95.4	thorax plat
M95.4	pectus excavatum acquis
M95.4	cuvette sternale
M95.4	thorax en entonnoir
M95.4	déformation acquise d'une côte
M43.9	déformation acquise de la colonne vertébrale
M43.19	spondylolisthésis
M43.19	spondylolisthésis acquis
M43.09	spondylolyse acquise
M43.19	spondylolisthésis, grade 1
M43.19	spondylolisthésis, grade 2
M43.19	spondylolisthésis, grade 3
M43.19	spondylolisthésis, grade 4
M43.19	spondylolisthésis dégénératif
M95.5	déformation acquise du bassin
M95.5	bassin coxalgique
M24.75	coxarhtrolisthésis
M95.5	bassin cypho-rachitique
M95.5	bassin cypho-scoliotique rachitique
M95.5	bassin cypho-scoliotique
M95.5	bassin cyphotique
M43.18	pelvis obtecta
M43.18	bassin couvert
M95.5	obliquité du bassin
M95.5	bassin lordotique
M95.5	bassin en éteignoir
M95.5	bassin ilio-fémoral double
M83.95	bassin ostéomalacique
M95.5	bassin pseudo-ostéomalacique
M95.5	bassin scoliotique
M95.5	bassin épineux
M95.5	acanthopelvis
M43.18	spondylolisthésis pelvien
M95.1	oreille en chou-fleur
M95.4	déformation acquise de la clavicule
M95.8	déformation acquise de l'abdomen
M95.8	ventre en bateau
M95.8	déformation acquise du tronc
M95.8	raccourcissement du tronc
M95.8	tronc raccourci
M95.8	tronc court
M99.9	lésion biomécanique
M99.0	dysfonctionnement segmentaire
M99.0	dysfonctionnement somatique
M99.90	lésion biomécanique de la région céphalique
M99.91	lésion biomécanique de la région occipito-cervicale
M99.91	lésion biomécanique de la région cervicale
M99.91	lésion biomécanique de la région cervico-thoracique
M99.82	lésion biomécanique de la région thoracique
M99.93	lésion biomécanique de la région thoraco-lombaire
M99.93	lésion biomécanique de la région lombaire
M99.93	lésion biomécanique de la région sacro-lombaire
M99.94	lésion biomécanique de la région sacrée
M99.94	lésion biomécanique de la région sacro-coccygienne
M99.94	lésion biomécanique de la région sacro-iliaque
M99.95	lésion biomécanique de la région pelvienne
M99.95	lésion biomécanique de la région de la hanche
M99.95	lésion biomécanique de la région pubienne
M99.96	lésion biomécanique des membres inférieurs
M99.97	lésion biomécanique des membres supérieurs
M99.97	lésion biomécanique de la région acromio-claviculaire
M99.97	lésion biomécanique de la région sterno-claviculaire
M99.98	lésion biomécanique de la cage thoracique
M99.98	lésion biomécanique de la région costo-chondrale
M99.98	lésion biomécanique de la région costo-vertébrale
M99.98	lésion biomécanique de la région sterno-chondrale
M99.99	lésion biomécanique de l'abdomen
M25.41	hydarthrose douloureuse de l'épaule
M25.42	hydarthrose douloureuse du coude
M25.43	hydarthrose douloureuse du poignet
M25.44	hydarthrose douloureuse de la main
M25.45	hydarthrose douloureuse sacro-iliaque
M25.45	hydarthrose douloureuse de la hanche
M25.46	hydarthrose douloureuse du genou
M25.47	hydarthrose duloureuse de la cheville et du pied
M25.48	hydarthrose douloureuse d'une localisation précisée
M25.40	hydarthrose douloureuse de localisations multiples
M45.9	cyphose hérédotraumatique
M47.89	syndrome synovite-acné-pustulose-hyperostose-ostéomyélite
M79.09	syndrome de fibromyalgie primitive
M91.9	osteochondrite juvénile de la hanche et du bassin
M92.4	ostéochondrite juvénile du noyau d'ossification primaire de la rotule
M92.4	ostéochondrite juvénile du noyau d'ossification secondaire de la rotule
M89.49	maladie de Hagner
M30.0	polyangéite
M31.9	vasculite nécrosante
M31.9	vascularite nécrosante
M30.0	périartérite
M30.0	polyartérite noueuse
M30.0	maladie de Kussmaul-Maïer
M30.0	angéite nécrosante
M30.0	panartérite noueuse
M30.0	périartérite noueuse
M30.0	polyartérite
M31.6	artérite à cellules géantes
M31.6	péri-artérite segmentaire superficielle
M31.6	maladie de Horton
M31.6	artérite temporale
M31.6	artérite giganto-cellulaire
M31.5	artérite rhumatoïde
M30.3	syndrome adéno-cutanéo-muqueux
M30.3	fièvre cutanéo-muqueuse et ganglionnaire
M30.3	syndrome de Kawasaki
M30.1	angéite allergique
M30.1	angéite leucocytoclasique
M30.1	vascularite allergique
M30.1	vasculite allergique
M30.1	angéite granulomateuse allergique
M30.1	syndrome de Churg et Strauss
M31.2	granulome malin de la face
M31.2	granulome malin centro-facial
M31.3	granulomatose de Wegener
M31.3	granulome rhinogène
M31.3	syndrome de Wegener
M31.3	granulomatose de Wegener, forme limitée
M31.3	granulomatose lymphoïde pulmonaire
M31.3	granulomatose lymphoïde du poumon
M31.4	maladie de Takayasu
M31.4	artérite de Takayasu
M31.4	syndrome de la crosse aortique
M31.4	maladie sans pouls
M31.4	syndrome d'oblitération des troncs supra-aortiques
M31.4	maladie des femmes sans pouls
M31.4	syndrome de Martorell et Fabré-Tersol
M31.4	syndrome de l'arc aortique
M31.4	syndrome de Takayasu
M31.4	thromboaortopathie occlusive
M31.4	aorto-artérite non spécifique
M89.4	syndrome de pachydermopériostose
M89.4	maladie hypertrophique singulière
M89.4	syndrome ostéodermopathique
M89.4	syndrome d'Uelinger
M89.4	pachydermie plicaturée avec pachypériostose de la face et des extrémités
M89.4	hyperostose généralisée avec pachydermie
M89.4	syndrome de Touraine, Solente et Golé
M89.4	ostéophytose familiale généralisée de Friedrich-Erb-Arnold
M89.4	syndrome de Roy-Jutras
M89.4	syndrome de Friedrich-Erb-Arnold
M13.88	arthrite infectieuse de l'articulation temporo-mandibulaire
M13.88	infection de l'articulation temporo-mandibulaire
M13.88	arthrite infectieuse de l'articulation temporo-mandibulaire due à une prothèse articulaire interne
M13.88	infection de l'articulation temporo-mandibulaire due à une prothèse articulaire interne
M13.88	arthrite dégénérative de l'articulation temporo-mandibulaire
M13.88	arthrite traumatique de l'articulation temporo-mandibulaire
M86.88	ostéomyélite de Garré de la mâchoire
M86.88	ostéomyélite de Garré du maxillaire supérieur
M86.88	ostéite chronique condensante du maxillaire supérieur
M86.88	ostéite de Garré du maxillaire supérieur
M86.88	ostéomyélite de Garré de la mandibule
M86.88	ostéite chronique condensante de la mandibule
M86.88	ostéite de Garré de la mandibule
M11.2	chondrocalcinose articulaire
M11.2	chondrocalcinose articulaire idiopathique
M11.2	chondrocalcinose articulaire due aux cristaux de pyrophosphate
M11.2	chondrocalcinose articulaire diffuse
M11.0	chondrocalcinose articulaire due aux cristaux d'hydroxyapatite
M11.0	arthropathie à l'hydroxyapatite
M10.9	goutte
M10.9	goutte articulaire
M10.9	rhumatisme goutteux
M10.9	arthropathie goutteuse aiguë
M10.9	rhumatisme goutteux aigu
M10.9	goutte d'intervalle
M10.9	goutte intercritique
M10.9	arthropathie goutteuse chronique
M10.9	goutte tophacée chronique
M10.9+	tophus goutteux de l'oreille
M10.0+	tophus goutteux du coeur
M10.9+	iritis goutteuse
M10.0+	névrite goutteuse
M10.0	goutte primitive
M10.3	goutte juvénile familiale
M10.3	néphropathie goutteuse familiale
M10.9	goutte avec autres manifestations
M35.8	maladie métabolique du collagène
M35.8	syndrome du déficit en collagène
M31.0	syndrome de Goodpasture
M63.8*	syndrome de dystrophie musculaire climatérique
M63.8*	dystrophie musculaire tardive
M79.2	névrite
M79.2	névrite périphérique
M79.2	névralgie
M79.2	névralgie paroxystique
M54.1	radiculite
M62.8	myotonie acquise
M62.8	myotonie sporadique
M62.8	maladie de Talma
M60.98	myosite de l'orbite
M54.10	polyradiculopathie adbominale
M-54.19	polyradiculopathie
M81.89	ostéopénie sénile
M81.89	ostéopénie des personnes âgées
M83.59	ostéomalacie provoquée par un médicament anticonvulsivant
M81.4	ostéopénie provoquée par les stéroïdes
M31.1	purpura thrombopénique thrombotique
M31.1	PTT
M31.1	syndrome de Moschowitz
M31.1	microangiopathie thrombotique
M00.99	arthrite bactérienne
M00.99	arthrite septique
M00.99	arthrite bactérienne aiguë
M00.19	arthrite pneumococcique
M00.09	arthrite staphylococcique
M35.9+	fasciite nécrosante
M35.9+	érysipèle nécrotique
M35.9+	myosite nécrosante
M60.09	pyomyosite tropicale
M60.09	pyomyosite
M35.2	syndrome de Behçet
M35.2	maladie de Behçet
M35.2	grande aphtose
M35.2	syndrome de Behçet, de type complet
M35.2	syndrome de Behçet, de type incomplet
M35.2	syndrome de Behçet, de type vasculaire
M35.2	syndrome de Behçet, de type intestinal
M35.2	syndrome de Behçet, de type neurologique
M02;39	syndrome de Reiter
M02;39	syndrome oculo-urétro-synovial
M02;39	syndrome de Fiessinger-Leroy-Reiter
