S58.922D	amputation traumatique partielle de l'avant-bras gauche, niveau non spécifié, contact subséquent
S71.029A	lacération avec un corps étranger, hanche non spécifiée, contact initial
S71.029D	lacération avec un corps étranger, hanche non spécifiée, contact subséquent
S71.029S	lacération avec un corps étranger, hanche non spécifiée, séquelle
S71.031A	plaie punctiforme sans corps étranger (pénétrant) de la hanche droite, contact initial
S71.031D	plaie punctiforme sans corps étranger (pénétrant) de la hanche droite, contact subséquent
S71.031S	plaie punctiforme sans corps étranger (pénétrant) de la hanche droite, séquelle
S71.032A	plaie punctiforme sans corps étranger (pénétrant) de la hanche gauche, contact initial
S71.032D	plaie punctiforme sans corps étranger (pénétrant) de la hanche gauche, contact subséquent
S71.032S	plaie punctiforme sans corps étranger (pénétrant) de la hanche gauche, séquelle
S71.039A	plaie punctiforme sans corps étranger (pénétrant) d'une hanche non spécifiée, contact initial
S71.039D	plaie punctiforme sans corps étranger (pénétrant) d'une hanche non spécifiée, contact subséquent
S71.039S	plaie punctiforme sans corps étranger (pénétrant) d'une hanche non spécifiée, séquelle
S71.041A	plaie punctiforme avec un corps étranger (pénétrant) de la hanche droite, contact initial
S71.041D	plaie punctiforme avec un corps étranger (pénétrant) de la hanche droite, contact subséquent
S71.041S	plaie punctiforme avec un corps étranger (pénétrant) de la hanche droite, séquelle
S71.042A	plaie punctiforme avec un corps étranger (pénétrant) de la hanche gauche, contact initial
S71.042D	plaie punctiforme avec un corps étranger (pénétrant) de la hanche gauche, contact subséquent
S71.042S	plaie punctiforme avec un corps étranger (pénétrant) de la hanche gauche, séquelle
S71.049A	plaie punctiforme avec un corps étranger (pénétrant) d'une hanche non spécifiée, contact initial
S71.049D	plaie punctiforme avec un corps étranger (pénétrant) d'une hanche non spécifiée, contact subséquent
S71.049S	plaie punctiforme avec un corps étranger (pénétrant) d'une hanche non spécifiée, séquelle
S71.051A	morsure ouverte de la hanche droite, contact initial
S71.051D	morsure ouverte de la hanche droite, contact subséquent
S71.051S	morsure ouverte de la hanche droite, séquelle
S71.052A	morsure ouverte de la hanche gauche, contact initial
S71.052D	morsure ouverte de la hanche gauche, contact subséquent
S71.052S	morsure ouverte de la hanche gauche, séquelle
S71.059A	morsure ouverte d'une hanche non spécifiée, contact initial
S71.059D	morsure ouverte d'une hanche non spécifiée, contact subséquent
S71.059S	morsure ouverte d'une hanche non spécifiée, séquelle
S71.101A	plaie ouverte non spécifiée de la cuisse droite, contact initial
S71.101D	plaie ouverte non spécifiée de la cuisse droite, contact subséquent
S71.101S	plaie ouverte non spécifiée de la cuisse droite, séquelle
S71.102A	plaie ouverte non spécifiée de la cuisse gauche, contact initial
S71.102D	plaie ouverte non spécifiée de la cuisse gauche, contact subséquent
S71.102S	plaie ouverte non spécifiée de la cuisse gauche, séquelle
S71.109A	plaie ouverte non spécifiée d'une cuisse non spécifiée, contact initial
S71.109D	plaie ouverte non spécifiée d'une cuisse non spécifiée, contact subséquent
S71.109S	plaie ouverte non spécifiée d'une cuisse non spécifiée, séquelle
S71.111A	lacération sans corps étranger de la cuisse droite, contact initial
S71.111D	lacération sans corps étranger de la cuisse droite, contact subséquent
S71.111S	lacération sans corps étranger de la cuisse droite, séquelle
S71.112A	lacération sans corps étranger de la cuisse gauche, contact initial
S71.112D	lacération sans corps étranger de la cuisse gauche, contact subséquent
S71.112S	lacération sans corps étranger de la cuisse gauche, séquelle
S71.119A	lacération sans corps étranger d'une cuisse non spécifiée, contact initial
S71.119D	lacération sans corps étranger d'une cuisse non spécifiée, contact subséquent
S71.119S	lacération sans corps étranger d'une cuisse non spécifiée, séquelle
S71.121A	lacération avec un corps étranger de la cuisse droite, contact initial
S71.121D	lacération avec un corps étranger de la cuisse droite, contact subséquent
S71.121S	lacération avec un corps étranger de la cuisse droite, séquelle
S71.122A	lacération avec un corps étranger de la cuisse gauche, contact initial
S71.122D	lacération avec un corps étranger de la cuisse gauche, contact subséquent
S71.122S	lacération avec un corps étranger de la cuisse gauche, séquelle
S71.129A	lacération avec un corps étranger d'une cuisse non spécifiée, contact initial
S71.129D	lacération avec un corps étranger d'une cuisse non spécifiée, contact subséquent
S71.129S	lacération avec un corps étranger d'une cuisse non spécifiée, séquelle
S71.131A	plaie punctiforme sans corps étranger (pénétrant) de la cuisse droite, contact initial
S71.131D	plaie punctiforme sans corps étranger (pénétrant) de la cuisse droite, contact subséquent
S71.131S	plaie punctiforme sans corps étranger (pénétrant) de la cuisse droite, séquelle
S71.132A	plaie punctiforme sans corps étranger (pénétrant) de la cuisse gauche, contact initial
S71.132D	plaie punctiforme sans corps étranger (pénétrant) de la cuisse gauche, contact subséquent
S71.132S	plaie punctiforme sans corps étranger (pénétrant) de la cuisse gauche, séquelle
S71.139A	plaie punctiforme sans corps étranger (pénétrant) d'une cuisse non spécifiée, contact initial
S71.139D	plaie punctiforme sans corps étranger (pénétrant) d'une cuisse non spécifiée, contact subséquent
S71.139S	plaie punctiforme sans corps étranger (pénétrant) d'une cuisse non spécifiée, séquelle
S71.141A	plaie punctiforme avec un corps étranger (pénétrant) de la cuisse droite, contact initial
S71.141D	plaie punctiforme avec un corps étranger (pénétrant) de la cuisse droite, contact subséquent
S71.141S	plaie punctiforme avec un corps étranger (pénétrant) de la cuisse droite, séquelle
S71.142A	plaie punctiforme avec un corps étranger (pénétrant) de la cuisse gauche, contact initial
S71.142D	plaie punctiforme avec un corps étranger (pénétrant) de la cuisse gauche, contact subséquent
S71.142S	plaie punctiforme avec un corps étranger (pénétrant) de la cuisse gauche, séquelle
S71.149A	plaie punctiforme avec un corps étranger (pénétrant) d'une cuisse non spécifiée, contact initial
S71.149D	plaie punctiforme avec un corps étranger (pénétrant) d'une cuisse non spécifiée, contact subséquent
S71.149S	plaie punctiforme avec un corps étranger (pénétrant) d'une cuisse non spécifiée, séquelle
S71.151A	morsure ouverte de la cuisse droite, contact initial
S71.151D	morsure ouverte de la cuisse droite, contact subséquent
S71.151S	morsure ouverte de la cuisse droite, séquelle
S71.152A	morsure ouverte de la cuisse gauche, contact initial
S71.152D	morsure ouverte de la cuisse gauche, contact subséquent
S71.152S	morsure ouverte de la cuisse gauche, séquelle
S71.159A	morsure ouverte d'une cuisse non spécifiée, contact initial
S71.159D	morsure ouverte d'une cuisse non spécifiée, contact subséquent
S71.159S	morsure ouverte d'une cuisse non spécifiée, séquelle
S72.001F	fracture d'une partie non spécifiée du col du fémur droit, contact subséquent pour une fracture ouverte type IIIA, IIIB, ou IIIC avec une consolidation normale
S72.001G	fracture d'une partie non spécifiée du col du fémur droit, contact subséquent pour une fracture fermée avec une consolidation retardée
S72.001H	fracture d'une partie non spécifiée du col du fémur droit, contact subséquent pour une fracture ouverte type I ou II avec une consolidation retardée
S72.001J	fracture d'une partie non spécifiée du col du fémur droit, contact subséquent pour une fracture ouverte type IIIA, IIIB, ou IIIC avec une consolidation retardée
S72.001K	fracture d'une partie non spécifiée du col du fémur droit, contact subséquent pour une fracture fermée avec pseudarthrose
S72.001M	fracture d'une partie non spécifiée du col du fémur droit, contact subséquent pour une fracture ouverte type I ou II avec pseudarthrose
S72.001N	fracture d'une partie non spécifiée du col du fémur droit, contact subséquent pour une fracture ouverte type IIIA, IIIB, ou IIIC avec pseudarthrose
S72.001P	fracture d'une partie non spécifiée du col du fémur droit, contact subséquent pour une fracture fermée avec cal vicieux
S72.001Q	fracture d'une partie non spécifiée du col du fémur droit, contact subséquent pour une fracture ouverte type I ou II avec cal vicieux
S72.001R	fracture d'une partie non spécifiée du col du fémur droit, contact subséquent pour une fracture ouverte type IIIA, IIIB, ou IIIC avec cal vicieux
S72.001S	fracture d'une partie non spécifiée du col du fémur droit, séquelle
S72.002A	fracture d'une partie non spécifiée du col du fémur gauche, contact initial pour une fracture fermée
S72.002B	fracture d'une partie non spécifiée du col du fémur gauche, contact initial pour une fracture ouverte type I ou II
S72.002C	fracture d'une partie non spécifiée du col du fémur gauche, contact initial pour une fracture ouverte type IIIA, IIIB, ou IIIC
S72.002D	fracture d'une partie non spécifiée du col du fémur gauche, contact subséquent pour une fracture fermée avec une consolidation normale
S72.002E	fracture d'une partie non spécifiée du col du fémur gauche, contact subséquent pour une fracture ouverte type I ou II avec une consolidation normale
S72.002F	fracture d'une partie non spécifiée du col du fémur gauche, contact subséquent pour une fracture ouverte type IIIA, IIIB, ou IIIC avec une consolidation normale
S72.002G	fracture d'une partie non spécifiée du col du fémur gauche, contact subséquent pour une fracture fermée avec une consolidation retardée
S72.002H	fracture d'une partie non spécifiée du col du fémur gauche, contact subséquent pour une fracture ouverte type I ou II avec une consolidation retardée
S72.002J	fracture d'une partie non spécifiée du col du fémur gauche, contact subséquent pour une fracture ouverte type IIIA, IIIB, ou IIIC avec une consolidation retardée
S72.002K	fracture d'une partie non spécifiée du col du fémur gauche, contact subséquent pour une fracture fermée avec pseudarthrose
S72.002M	fracture d'une partie non spécifiée du col du fémur gauche, contact subséquent pour une fracture ouverte type I ou II avec pseudarthrose
S72.002N	fracture d'une partie non spécifiée du col du fémur gauche, contact subséquent pour une fracture ouverte type IIIA, IIIB, ou IIIC avec pseudarthrose
S72.002P	fracture d'une partie non spécifiée du col du fémur gauche, contact subséquent pour une fracture fermée avec cal vicieux
S72.002Q	fracture d'une partie non spécifiée du col du fémur gauche, contact subséquent pour une fracture ouverte type I ou II avec cal vicieux
S72.002R	fracture d'une partie non spécifiée du col du fémur gauche, contact subséquent pour une fracture ouverte type IIIA, IIIB, ou IIIC avec cal vicieux
S72.002S	fracture d'une partie non spécifiée du col du fémur gauche, séquelle
S72.009A	fracture d'une partie non spécifiée du col d'un fémur non spécifié, contact initial pour une fracture fermée
S72.009B	fracture d'une partie non spécifiée du col d'un fémur non spécifié, contact initial pour une fracture ouverte type I ou II
S72.009C	fracture d'une partie non spécifiée du col d'un fémur non spécifié, contact initial pour une fracture ouverte type IIIA, IIIB, ou IIIC
S72.009D	fracture d'une partie non spécifiée du col d'un fémur non spécifié, contact subséquent pour une fracture fermée avec une consolidation normale
S72.009E	fracture d'une partie non spécifiée du col d'un fémur non spécifié, contact subséquent pour une fracture ouverte type I ou II avec une consolidation normale
S72.009F	fracture d'une partie non spécifiée du col d'un fémur non spécifié, contact subséquent pour une fracture ouverte type IIIA, IIIB, ou IIIC avec une consolidation normale
S72.009G	fracture d'une partie non spécifiée du col d'un fémur non spécifié, contact subséquent pour une fracture fermée avec une consolidation retardée
S72.009H	fracture d'une partie non spécifiée du col d'un fémur non spécifié, contact subséquent pour une fracture ouverte type I ou II avec une consolidation retardée
S72.009J	fracture d'une partie non spécifiée du col d'un fémur non spécifié, contact subséquent pour une fracture ouverte type IIIA, IIIB, ou IIIC avec une consolidation retardée
S72.009K	fracture d'une partie non spécifiée du col d'un fémur non spécifié, contact subséquent pour une fracture fermée avec pseudarthrose
S72.009M	fracture d'une partie non spécifiée du col d'un fémur non spécifié, contact subséquent pour une fracture ouverte type I ou II avec pseudarthrose
S72.009N	fracture d'une partie non spécifiée du col d'un fémur non spécifié, contact subséquent pour une fracture ouverte type IIIA, IIIB, ou IIIC avec pseudarthrose
S72.009P	fracture d'une partie non spécifiée du col d'un fémur non spécifié, contact subséquent pour une fracture fermée avec cal vicieux
S72.009Q	fracture d'une partie non spécifiée du col d'un fémur non spécifié, contact subséquent pour une fracture ouverte type I ou II avec cal vicieux
S72.009R	fracture d'une partie non spécifiée du col d'un fémur non spécifié, contact subséquent pour une fracture ouverte type IIIA, IIIB, ou IIIC avec cal vicieux
S72.009S	fracture d'une partie non spécifiée du col d'un fémur non spécifié, séquelle
S72.011A	fracture intracapsulaire non spécifiée du fémur droit, contact initial pour une fracture fermée
S72.011B	fracture intracapsulaire non spécifiée du fémur droit, contact initial pour une fracture ouverte type I ou II
S72.011C	fracture intracapsulaire non spécifiée du fémur droit, contact initial pour une fracture ouverte type IIIA, IIIB, ou IIIC
S72.011D	fracture intracapsulaire non spécifiée du fémur droit, contact subséquent pour une fracture fermée avec une cicatrisation normale
S72.011E	fracture intracapsulaire non spécifiée du fémur droit, contact subséquent pour une fracture ouverte type I ou II avec une cicatrisation normale
S72.011F	fracture intracapsulaire non spécifiée du fémur droit, contact subséquent pour une fracture ouverte type IIIA, IIIB, ou IIIC avec une cicatrisation normale
S72.011G	fracture intracapsulaire non spécifiée du fémur droit, contact subséquent pour une fracture fermée avec une cicatrisation retardée
S72.011H	fracture intracapsulaire non spécifiée du fémur droit, contact subséquent pour une fracture ouverte type I ou II avec une cicatrisation retardée
S72.011J	fracture intracapsulaire non spécifiée du fémur droit, contact subséquent pour une fracture ouverte type IIIA, IIIB, ou IIIC avec une cicatrisation retardée
S72.011K	fracture intracapsulaire non spécifiée du fémur droit, contact subséquent pour une fracture fermée avec pseudarthrose
S72.011M	fracture intracapsulaire non spécifiée du fémur droit, contact subséquent pour une fracture ouverte type I ou II avec pseudarthrose
S72.011N	fracture intracapsulaire non spécifiée du fémur droit, contact subséquent pour une fracture ouverte type IIIA, IIIB, ou IIIC avec pseudarthrose
S72.012B	fracture intracapsulaire non spécifiée du fémur gauche, contact initial pour une fracture ouverte type I ou II
S72.012C	fracture intracapsulaire non spécifiée du fémur gauche, contact initial pour une fracture ouverte type IIIA, IIIB, ou IIIC
S72.012D	fracture intracapsulaire non spécifiée du fémur gauche, contact subséquent pour une fracture fermée avec une cicatrisation normale
S72.012E	fracture intracapsulaire non spécifiée du fémur gauche, contact subséquent pour une fracture ouverte type I ou II avec une cicatrisation normale
S72.012F	fracture intracapsulaire non spécifiée du fémur gauche, contact subséquent pour une fracture ouverte type IIIA, IIIB, ou IIIC avec une cicatrisation normale
S72.012G	fracture intracapsulaire non spécifiée du fémur gauche, contact subséquent pour une fracture fermée avec une cicatrisation retardée
S72.012H	fracture intracapsulaire non spécifiée du fémur gauche, contact subséquent pour une fracture ouverte type I ou II avec une cicatrisation retardée
S72.012J	fracture intracapsulaire non spécifiée du fémur gauche, contact subséquent pour une fracture ouverte type IIIA, IIIB, ou IIIC avec une cicatrisation retardée
S72.012K	fracture intracapsulaire non spécifiée du fémur gauche, contact subséquent pour une fracture fermée avec pseudarthrose
S72.012M	fracture intracapsulaire non spécifiée du fémur gauche, contact subséquent pour une fracture ouverte type I ou II avec pseudarthrose
S72.012N	fracture intracapsulaire non spécifiée du fémur gauche, contact subséquent pour une fracture ouverte type IIIA, IIIB, ou IIIC avec pseudarthrose
S72.012P	fracture intracapsulaire non spécifiée du fémur gauche, contact subséquent pour une fracture fermée avec cal vicieux
S72.012Q	fracture intracapsulaire non spécifiée du fémur gauche, contact subséquent pour une fracture ouverte type I ou II avec cal vicieux
S72.012R	fracture intracapsulaire non spécifiée du fémur gauche, contact subséquent pour une fracture ouverte type IIIA, IIIB, ou IIIC avec cal vicieux
S72.012S	fracture intracapsulaire non spécifiée du fémur gauche, séquelle
S72.019A	fracture intracapsulaire non spécifiée d'un fémur non spécifié, contact initial pour une fracture fermée
S72.019B	fracture intracapsulaire non spécifiée d'un fémur non spécifié, contact initial pour une fracture ouverte type I ou II
S72.019C	fracture intracapsulaire non spécifiée d'un fémur non spécifié, contact initial pour une fracture ouverte type IIIA, IIIB, ou IIIC
S72.019D	fracture intracapsulaire non spécifiée d'un fémur non spécifié, contact subséquent pour une fracture fermée avec une cicatrisation normale
S72.019E	fracture intracapsulaire non spécifiée d'un fémur non spécifié, contact subséquent pour une fracture ouverte type I ou II avec une cicatrisation normale
S72.019F	fracture intracapsulaire non spécifiée d'un fémur non spécifié, contact subséquent pour une fracture ouverte type IIIA, IIIB, ou IIIC avec une cicatrisation normale
S72.019G	fracture intracapsulaire non spécifiée d'un fémur non spécifié, contact subséquent pour une fracture fermée avec une cicatrisation retardée
S72.019H	fracture intracapsulaire non spécifiée d'un fémur non spécifié, contact subséquent pour une fracture ouverte type I ou II avec une cicatrisation retardée
S72.019J	fracture intracapsulaire non spécifiée d'un fémur non spécifié, contact subséquent pour une fracture ouverte type IIIA, IIIB, ou IIIC avec une cicatrisation retardée
S72.019K	fracture intracapsulaire non spécifiée d'un fémur non spécifié, contact subséquent pour une fracture fermée avec pseudarthrose
S72.019M	fracture intracapsulaire non spécifiée d'un fémur non spécifié, contact subséquent pour une fracture ouverte type I ou II avec pseudarthrose
S72.019N	fracture intracapsulaire non spécifiée d'un fémur non spécifié, contact subséquent pour une fracture ouverte type IIIA, IIIB, ou IIIC avec pseudarthrose
S72.019P	fracture intracapsulaire non spécifiée d'un fémur non spécifié, contact subséquent pour une fracture fermée avec cal vicieux
S72.019Q	fracture intracapsulaire non spécifiée d'un fémur non spécifié, contact subséquent pour une fracture ouverte type I ou II avec cal vicieux
S72.019R	fracture intracapsulaire non spécifiée d'un fémur non spécifié, contact subséquent pour une fracture ouverte type IIIA, IIIB, ou IIIC avec cal vicieux
S72.019S	fracture intracapsulaire non spécifiée d'un fémur non spécifié, séquelle
S72.021A	fracture de l'épiphyse (séparation) supérieure du fémur droit avec un déplacement, contact initial pour une fracture fermée
S72.021B	fracture de l'épiphyse (séparation) supérieure du fémur droit avec un déplacement, contact initial pour une fracture ouverte type I ou II
S72.021C	fracture de l'épiphyse (séparation) supérieure du fémur droit avec un déplacement, contact initial pour une fracture ouverte type IIIA, IIIB, ou IIIC
S72.021D	fracture de l'épiphyse (séparation) supérieure du fémur droit avec un déplacement, contact subséquent pour une fracture fermée avec une consolidation normale
S72.021E	fracture de l'épiphyse (séparation) supérieure du fémur droit avec un déplacement, contact subséquent pour une fracture ouverte type I ou II avec une consolidation normale
S72.021F	fracture de l'épiphyse (séparation) supérieure du fémur droit avec un déplacement, contact subséquent pour une fracture ouverte type IIIA, IIIB, ou IIIC avec une consolidation normale
S72.021G	fracture de l'épiphyse (séparation) supérieure du fémur droit avec un déplacement, contact subséquent pour une fracture fermée avec une consolidation retardée
S72.021H	fracture de l'épiphyse (séparation) supérieure du fémur droit avec un déplacement, contact subséquent pour une fracture ouverte type I ou II avec une consolidation retardée
S72.021J	fracture de l'épiphyse (séparation) supérieure du fémur droit avec un déplacement, contact subséquent pour une fracture ouverte type IIIA, IIIB, ou IIIC avec une consolidation retardée
S72.021K	fracture de l'épiphyse (séparation) supérieure du fémur droit avec un déplacement, contact subséquent pour une fracture fermée avec pseudarthrose
S72.021M	fracture de l'épiphyse (séparation) supérieure du fémur droit avec un déplacement, contact subséquent pour une fracture ouverte type I ou II avec pseudarthrose
S72.021N	fracture de l'épiphyse (séparation) supérieure du fémur droit avec un déplacement, contact subséquent pour une fracture ouverte type IIIA, IIIB, ou IIIC avec pseudarthrose
S72.021P	fracture de l'épiphyse (séparation) supérieure du fémur droit avec un déplacement, contact subséquent pour une fracture fermée avec cal vicieux
S72.021Q	fracture de l'épiphyse (séparation) supérieure du fémur droit avec un déplacement, contact subséquent pour une fracture ouverte type I ou II avec cal vicieux
S72.021R	fracture de l'épiphyse (séparation) supérieure du fémur droit avec un déplacement, contact subséquent pour une fracture ouverte type IIIA, IIIB, ou IIIC avec cal vicieux
S72.021S	fracture de l'épiphyse (séparation) supérieure du fémur droit avec un déplacement, séquelle
S72.022A	fracture de l'épiphyse (séparation) supérieure du fémur gauche avec un déplacement, contact initial pour une fracture fermée
S72.022B	fracture de l'épiphyse (séparation) supérieure du fémur gauche avec un déplacement, contact initial pour une fracture ouverte type I ou II
S72.022C	fracture de l'épiphyse (séparation) supérieure du fémur gauche avec un déplacement, contact initial pour une fracture ouverte type IIIA, IIIB, ou IIIC
S72.022D	fracture de l'épiphyse (séparation) supérieure du fémur gauche avec un déplacement, contact subséquent pour une fracture fermée avec une consolidation normale
S72.022E	fracture de l'épiphyse (séparation) supérieure du fémur gauche avec un déplacement, contact subséquent pour une fracture ouverte type I ou II avec une consolidation normale
S72.022F	fracture de l'épiphyse (séparation) supérieure du fémur gauche avec un déplacement, contact subséquent pour une fracture ouverte type IIIA, IIIB, ou IIIC avec une consolidation normale
S72.022G	fracture de l'épiphyse (séparation) supérieure du fémur gauche avec un déplacement, contact subséquent pour une fracture fermée avec une consolidation retardée
S72.022H	fracture de l'épiphyse (séparation) supérieure du fémur gauche avec un déplacement, contact subséquent pour une fracture ouverte type I ou II avec une consolidation retardée
S72.022J	fracture de l'épiphyse (séparation) supérieure du fémur gauche avec un déplacement, contact subséquent pour une fracture ouverte type IIIA, IIIB, ou IIIC avec une consolidation retardée
S72.022K	fracture de l'épiphyse (séparation) supérieure du fémur gauche avec un déplacement, contact subséquent pour une fracture fermée avec pseudarthrose
S72.022M	fracture de l'épiphyse (séparation) supérieure du fémur gauche avec un déplacement, contact subséquent pour une fracture ouverte type I ou II avec pseudarthrose
S72.022N	fracture de l'épiphyse (séparation) supérieure du fémur gauche avec un déplacement, contact subséquent pour une fracture ouverte type IIIA, IIIB, ou IIIC avec pseudarthrose
S72.022P	fracture de l'épiphyse (séparation) supérieure du fémur gauche avec un déplacement, contact subséquent pour une fracture fermée avec cal vicieux
S72.022Q	fracture de l'épiphyse (séparation) supérieure du fémur gauche avec un déplacement, contact subséquent pour une fracture ouverte type I ou II avec cal vicieux
S72.022R	fracture de l'épiphyse (séparation) supérieure du fémur gauche avec un déplacement, contact subséquent pour une fracture ouverte type IIIA, IIIB, ou IIIC avec cal vicieux
S72.022S	fracture de l'épiphyse (séparation) supérieure du fémur gauche avec un déplacement, séquelle
S72.023A	fracture de l'épiphyse (séparation) supérieure d'un fémur non spécifié avec un déplacement, contact initial pour une fracture fermée
S72.023B	fracture de l'épiphyse (séparation) supérieure d'un fémur non spécifié avec un déplacement, contact initial pour une fracture ouverte type I ou II
S72.023C	fracture de l'épiphyse (séparation) supérieure d'un fémur non spécifié avec un déplacement, contact initial pour une fracture ouverte type IIIA, IIIB, ou IIIC
S72.023D	fracture de l'épiphyse (séparation) supérieure d'un fémur non spécifié avec un déplacement, contact subséquent pour une fracture fermée avec une consolidation normale
S72.023E	fracture de l'épiphyse (séparation) supérieure d'un fémur non spécifié avec un déplacement, contact subséquent pour une fracture ouverte type I ou II avec une consolidation normale
S72.023F	fracture de l'épiphyse (séparation) supérieure d'un fémur non spécifié avec un déplacement, contact subséquent pour une fracture ouverte type IIIA, IIIB, ou IIIC avec une consolidation normale
S72.023G	fracture de l'épiphyse (séparation) supérieure d'un fémur non spécifié avec un déplacement, contact subséquent pour une fracture fermée avec une consolidation retardée
S72.023H	fracture de l'épiphyse (séparation) supérieure d'un fémur non spécifié avec un déplacement, contact subséquent pour une fracture ouverte type I ou II avec une consolidation retardée
S72.023J	fracture de l'épiphyse (séparation) supérieure d'un fémur non spécifié avec un déplacement, contact subséquent pour une fracture ouverte type IIIA, IIIB, ou IIIC avec une consolidation retardée
S72.023K	fracture de l'épiphyse (séparation) supérieure d'un fémur non spécifié avec un déplacement, contact subséquent pour une fracture fermée avec pseudarthrose
S72.023M	fracture de l'épiphyse (séparation) supérieure d'un fémur non spécifié avec un déplacement, contact subséquent pour une fracture ouverte type I ou II avec pseudarthrose
S72.023N	fracture de l'épiphyse (séparation) supérieure d'un fémur non spécifié avec un déplacement, contact subséquent pour une fracture ouverte type IIIA, IIIB, ou IIIC avec pseudarthrose
S72.023P	fracture de l'épiphyse (séparation) supérieure d'un fémur non spécifié avec un déplacement, contact subséquent pour une fracture fermée avec cal vicieux
S72.023Q	fracture de l'épiphyse (séparation) supérieure d'un fémur non spécifié avec un déplacement, contact subséquent pour une fracture ouverte type I ou II avec cal vicieux
S72.023R	fracture de l'épiphyse (séparation) supérieure d'un fémur non spécifié avec un déplacement, contact subséquent pour une fracture ouverte type IIIA, IIIB, ou IIIC avec cal vicieux
S72.023S	fracture de l'épiphyse (séparation) supérieure d'un fémur non spécifié avec un déplacement, séquelle
S72.024A	fracture de l'épiphyse (séparation) supérieure du fémur droit sans déplacement, contact initial pour une fracture fermée
S72.024B	fracture de l'épiphyse (séparation) supérieure du fémur droit sans déplacement, contact initial pour une fracture ouverte type I ou II
S72.024C	fracture de l'épiphyse (séparation) supérieure du fémur droit sans déplacement, contact initial pour une fracture ouverte type IIIA, IIIB, ou IIIC
S72.024D	fracture de l'épiphyse (séparation) supérieure du fémur droit sans déplacement, contact subséquent pour une fracture fermée avec une consolidation normale
S72.024E	fracture de l'épiphyse (séparation) supérieure du fémur droit sans déplacement, contact subséquent pour une fracture ouverte type I ou II avec une consolidation normale
S72.024F	fracture de l'épiphyse (séparation) supérieure du fémur droit sans déplacement, contact subséquent pour une fracture ouverte type IIIA, IIIB, ou IIIC avec une consolidation normale
S72.024G	fracture de l'épiphyse (séparation) supérieure du fémur droit sans déplacement, contact subséquent pour une fracture fermée avec une consolidation retardée
S72.024H	fracture de l'épiphyse (séparation) supérieure du fémur droit sans déplacement, contact subséquent pour une fracture ouverte type I ou II avec une consolidation retardée
S72.024J	fracture de l'épiphyse (séparation) supérieure du fémur droit sans déplacement, contact subséquent pour une fracture ouverte type IIIA, IIIB, ou IIIC avec une consolidation retardée
S72.024K	fracture de l'épiphyse (séparation) supérieure du fémur droit sans déplacement, contact subséquent pour une fracture fermée avec pseudarthrose
S72.024M	fracture de l'épiphyse (séparation) supérieure du fémur droit sans déplacement, contact subséquent pour une fracture ouverte type I ou II avec pseudarthrose
S72.024N	fracture de l'épiphyse (séparation) supérieure du fémur droit sans déplacement, contact subséquent pour une fracture ouverte type IIIA, IIIB, ou IIIC avec pseudarthrose
S72.024P	fracture de l'épiphyse (séparation) supérieure du fémur droit sans déplacement, contact subséquent pour une fracture fermée avec cal vicieux
S72.024Q	fracture de l'épiphyse (séparation) supérieure du fémur droit sans déplacement, contact subséquent pour une fracture ouverte type I ou II avec cal vicieux
S72.024R	fracture de l'épiphyse (séparation) supérieure du fémur droit sans déplacement, contact subséquent pour une fracture ouverte type IIIA, IIIB, ou IIIC avec cal vicieux
S72.024S	fracture de l'épiphyse (séparation) supérieure du fémur droit sans déplacement, séquelle
S72.025A	fracture de l'épiphyse (séparation) supérieure du fémur gauche sans déplacement, contact initial pour une fracture fermée
S72.025B	fracture de l'épiphyse (séparation) supérieure du fémur gauche sans déplacement, contact initial pour une fracture ouverte type I ou II
S72.025C	fracture de l'épiphyse (séparation) supérieure du fémur gauche sans déplacement, contact initial pour une fracture ouverte type IIIA, IIIB, ou IIIC
S72.025D	fracture de l'épiphyse (séparation) supérieure du fémur gauche sans déplacement, contact subséquent pour une fracture fermée avec une consolidation normale
S72.025E	fracture de l'épiphyse (séparation) supérieure du fémur gauche sans déplacement, contact subséquent pour une fracture ouverte type I ou II avec une consolidation normale
S72.025F	fracture de l'épiphyse (séparation) supérieure du fémur gauche sans déplacement, contact subséquent pour une fracture ouverte type IIIA, IIIB, ou IIIC avec une consolidation normale
S72.025G	fracture de l'épiphyse (séparation) supérieure du fémur gauche sans déplacement, contact subséquent pour une fracture fermée avec une consolidation retardée
S72.025H	fracture de l'épiphyse (séparation) supérieure du fémur gauche sans déplacement, contact subséquent pour une fracture ouverte type I ou II avec une consolidation retardée
S72.025J	fracture de l'épiphyse (séparation) supérieure du fémur gauche sans déplacement, contact subséquent pour une fracture ouverte type IIIA, IIIB, ou IIIC avec une consolidation retardée
S72.025K	fracture de l'épiphyse (séparation) supérieure du fémur gauche sans déplacement, contact subséquent pour une fracture fermée avec pseudarthrose
S72.025M	fracture de l'épiphyse (séparation) supérieure du fémur gauche sans déplacement, contact subséquent pour une fracture ouverte type I ou II avec pseudarthrose
S72.025N	fracture de l'épiphyse (séparation) supérieure du fémur gauche sans déplacement, contact subséquent pour une fracture ouverte type IIIA, IIIB, ou IIIC avec pseudarthrose
S72.025P	fracture de l'épiphyse (séparation) supérieure du fémur gauche sans déplacement, contact subséquent pour une fracture fermée avec cal vicieux
S72.025Q	fracture de l'épiphyse (séparation) supérieure du fémur gauche sans déplacement, contact subséquent pour une fracture ouverte type I ou II avec cal vicieux
