Q17.2	microtie
Q72.50	sous-développement longitudinal d'un tibia non spécifié
Q72.51	sous-développement longitudinal du tibia droit
Q72.52	sous-développement longitudinal du tibia gauche
Q72.53	sous-développement longitudinal du tibia, bilatéral
Q72.60	sous-développement longitudinal d'un péroné non spécifié
Q72.61	sous-développement longitudinal du péroné droit
Q72.62	sous-développement longitudinal du péroné gauche
Q72.63	sous-développement longitudinal du péroné, bilatéral
Q72.70	pied bifide, membre inférieur non spécifié
Q72.71	pied bifide, membre inférieur droit
Q72.72	pied bifide, membre inférieur gauche
Q72.73	pied bifide, bilatéral
Q72.811	raccourcissement congénital du membre inférieur droit
Q72.812	raccourcissement congénital du membre inférieur gauche
Q72.813	raccourcissement congénital du membre inférieur, bilatéral
Q72.819	raccourcissement congénital d'un membre inférieur non spécifié
Q72.891	autre sous-développement du membre inférieur droit
Q72.892	autre sous-développement du membre inférieur gauche
Q72.893	autre sous-développement du membre inférieur, bilatéral
Q72.899	autre sous-développement d'un membre inférieur non spécifié
Q72.90	sous-développement non spécifié d'un membre inférieur non spécifié
Q72.91	sous-développement non spécifié du membre inférieur droit
Q72.92	sous-développement non spécifié du membre inférieur gauche
Q72.93	sous-développement non spécifié du membre inférieur, bilatéral
Q73.0	absence congénitale de membres non spécifiés
Q73.1	phocomélie, membres non spécifiés
Q73.8	d'autres sous-développements de membres non spécifiés
Q74.0	d'autres malformations congénitales de membres supérieurs, en ce compris la ceinture scapulaire
Q74.1	malformation congénitale du genou
Q74.2	d'autres malformations congénitales de membres inférieurs, en ce compris la ceinture pelvienne
Q74.3	arthrogrypose congénitale multiple
Q74.8	d'autres malformations congénitales spécifiées de membres
Q74.9	malformation congénitale de membres, non spécifiée
Q75.0	craniosynostose
Q75.1	dysostose cranio-faciale
Q75.2	hypertélorisme
Q75.3	macrocéphalie
Q75.4	dysostose mandibulo-faciale
Q75.5	dysostose oculo-mandibulaire
Q75.8	d'autres malformations congénitales spécifiées des os du crâne et de la face
Q75.9	malformation congénitale des os du crâne et de la face, non spécifiée
Q76.0	spina bifida occulta
Q76.1	syndrome de Klippel-Feil
Q76.2	spondylolisthésis congénital
Q76.3	scoliose congénitale due à une malformation osseuse congénitale
Q76.411	cyphose congénitale, région occipito-atloïdo-axoïdienne
Q76.412	cyphose congénitale, région cervicale
Q76.413	cyphose congénitale, région cervico-thoracique
Q76.414	cyphose congénitale, région thoracique
Q76.415	cyphose congénitale, région thoraco-lombaire
Q76.419	cyphose congénitale, région non spécifiée
Q76.425	lordose congénitale, région thoraco-lombaire
Q76.426	lordose congénitale, région lombaire
Q76.427	lordose congénitale, région lombo-sacrée
Q76.428	lordose congénitale, région sacrée et sacro-coccygienne
Q76.429	lordose congénitale, région non spécifiée
Q76.49	d'autres malformations congénitales de la colonne vertébrale, non associée à scoliose
Q76.5	côte cervicale
Q76.6	d'autres malformations congénitales des côtes
Q76.7	malformations congénitales du sternum
Q78.5	dysplasie métaphysaire
Q78.6	exostoses multiples congénitales
Q78.8	d'autres ostéochondrodysplasies spécifiées
Q78.9	ostéochondrodysplasie, non spécifiée
Q79.0	hernie diaphragmatique congénitale
Q79.1	d'autres malformations congénitales du diaphragme
Q79.2	exomphale
Q79.3	gastroschisis
Q79.4	syndrome du ventre en forme d'une prune
Q79.4	prune belly syndrome
Q79.51	hernie congénitale de la vessie
Q79.59	d'autres malformations congénitales de la paroi abdominale
Q79.6	syndrome d'Ehlers-Danlos
Q79.8	d'autres malformations congénitales du système musculosquelettique
Q79.9	malformation congénitale du système musculosquelettique, non spécifiée
Q80.0	ichthyosis vulgaris
Q80.1	ichtyose liée au chromosome X
Q80.2	ichtyose lamellaire
Q80.3	érythrodermie ichtyosiforme bulleuse congénitale
Q80.4	foetus Arlequin
Q80.8	d'autres ichtyoses congénitales
Q80.9	ichtyose congénitale, non spécifiée
Q81.0	épidermolyse bulleuse simple
Q81.1	épidermolyse bulleuse létale
Q81.2	épidermolyse bulleuse dystrophique
Q81.8	d'autres épidermolyses bulleuses
Q81.9	épidermolyse bulleuse, non spécifiée
Q82.0	lymphoedème héréditaire
Q82.1	xeroderma pigmentosum
Q82.2	mastocytose
Q82.3	incontinentia pigmenti
Q82.4	dysplasie ectodermique
Q82.4	dysplasie ectodermique anhidrotique
Q82.5	naevus congénital non néoplasique
Q82.8	d'autres malformations congénitales spécifiées de la peau
Q82.9	malformation congénitale de la peau, non spécifiée
Q83.0	absence congénitale du sein avec l'absence du mamelon
Q83.1	sein surnuméraire
Q83.2	absence du mamelon
Q83.3	mamelon surnuméraire
Q83.8	d'autres malformations congénitales du sein
Q83.9	malformation congénitale du sein, non spécifiée
Q84.0	alopécie congénitale
Q84.1	troubles congénitaux de la morphologie des cheveux, non classés ailleurs
Q84.2	d'autres malformations congénitales des cheveux
Q84.3	anonychie
Q84.4	leuconychie congénitale
Q84.5	ongles élargis et hypertrophiques
Q84.6	d'autres malformations congénitales des ongles
Q84.8	d'autres malformations congénitales spécifiées du tégument
Q84.9	malformation congénitale spécifiée du tégument, non spécifié
Q85.0	neurofibromatose, non spécifiée
Q85.1	neurofibromatose, type 1
Q85.2	neurofibromatose, type 2
Q85.3	schwannomatose
Q85.9	autre neurofibromatose
Q85.1	sclérose tubéreuse
Q85.8	d'autres phacomatoses, non classées ailleurs
Q85.9	phacomatose, non spécifiée
Q86.0	syndrome d'alcoolisme foetal
Q86.0	syndrome d'alcoolisme foetal dysmorphique
Q86.1	syndrome foetal dû à l'hydantoïne
Q86.2	dysmorphisme dû à la warfarine
Q86.8	d'autres syndromes congénitaux malformatifs dus à des causes exogènes connues
Q87.0	syndromes congénitaux malformatifs affectant principalement l'apparence faciale
Q87.1	syndromes congénitaux malformatifs associés principalement à une petite taille
Q87.2	syndromes congénitaux malformatifs impliquant principalement les membres
Q87.3	syndromes congénitaux malformatifs impliquant un gigantisme néonatal
Q87.40	syndrome de Marfan, non spécifié
Q87.410	syndrome de Marfan avec une dilatation aortique
Q87.418	syndrome de Marfan avec d'autres manifestations cardiovasculaires
Q87.42	syndrome de Marfan avec des manifestations oculaires
Q87.43	syndrome de Marfan avec des manifestations squelettiques
Q87.5	d'autres syndromes congénitaux malformatifs avec d'autres modifications de la squelette
Q87.81	syndrome d'Alport
Q87.89	d'autres syndromes congénitaux malformatifs spécifiés, non classés ailleurs
Q89.1	asplénie congénitale
Q89.1	asplénie
Q89.9	malformations congénitales de la rate
Q89.1	malformations congénitales de la glande surrénale
Q89.2	malformations congénitales d'autres glandes endocrines
Q89.3	situs inversus
Q89.4	jumeaux siamois
Q89.7	malformations congénitales multiples, non classées ailleurs
Q89.8	d'autres malformations congénitales spécifiées
Q89.9	malformation congénitale, non spécifiée
Q90.0	trisomie 21, non-disjonction méiotique
Q90.1	trisomie 21, mosaïque chromosomique (non-disjonction mitotique)
Q90.2	trisomie 21, translocation
Q90.0	syndrome de Down, non-disjonction méiotique
Q90.1	syndrome de Down, mosaïque chromosomique
Q90.1	syndrome de Down, non-disjonction mitotique
Q90.2	syndrome de Down, translocation
Q90.9	syndrome de Down, non spécifié
Q91.0	trisomie 18, non-disjonction méiotique
Q91.1	trisomie 18, mosaïque chromosomique
Q91.1	trisomie 18, non-disjonction mitotique
Q91.2	trisomie 18, translocation
Q91.0	syndrome d'Edwards, non-disjonction méiotique
Q91.1	syndrome d'Edwards, mosaïque chromosomique
Q91.1	syndrome d'Edwards, non-disjonction mitotique
Q91.2	syndrome d'Edwards, translocation
Q91.3	syndrome d'Edwards, non spécifié
Q91.4	trisomie 13, non-disjonction méiotique
Q91.5	trisomie 13, mosaïque chromosomique
Q91.5	trisomie 13, non-disjonction mitotique
Q91.6	trisomie 13, translocation
Q91.4	syndrome de Patau, non-disjonction méiotique
Q91.5	syndrome de Patau, mosaïque chromosomique
Q91.5	syndrome de Patau, non-disjonction mitotique
Q91.6	syndrome de Patau, translocation
Q91.7	syndrome de Patau, non spécifié
Q92.0	trisomie d'un chromosome entier, non-disjonction méiotique
Q92.1	trisomie d'un chromosome entier, mosaïque chromosomique
Q92.1	trisomie d'un chromosome entier, non-disjonction mitotique
Q92.2	trisomie partielle
Q92.5	duplications avec d'autres réarrangements complexes
Q92.61	chromosomes marqueurs chez un individu normal
Q92.62	chromosomes marqueurs chez un individu anormal
Q92.7	triploïdie et polyploïdie
Q92.8	d'autres trisomies et trisomies partielles spécifiées d'autosomes
Q92.9	trisomie et trisomie partielle d'autosomes, non spécifiées
Q93.0	monosomie d'un chromosome entier, non-disjonction méiotique
Q93.1	monosomie d'un chromosome entier, mosaïque chromosomique 
Q93.1	monosomie d'un chromosome entier, non-disjonction mitotique
Q93.2	chromosome remplacé par un chromosome annulaire, dicentrique ou isochromosome
Q93.3	délétion du bras court du chromosome 4
Q93.4	délétion du bras court du chromosome 5
Q93.5	d'autres délétions partielles d'un chromosome
Q93.7	délétions avec d'autres réarrangements complexes
Q93.81	syndrome vélo-cardio-facial
Q93.88	d'autres micro-délétions
Q93.89	d'autres délétions d'autosomes
Q93.9	délétion d'autosomes, non spécifiée
Q95.0	translocation et insertion équilibrée chez un individu normal
Q95.1	inversion chromosomique chez un individu normal
Q95.2	réarrangement autosomique équilibré chez un individu anormal
Q95.3	réarrangement sexuel/autosomique équilibré chez un individu anormal
Q95.5	individu avec un site autosomique fragile
Q95.8	d'autres réarrangements équilibrés et marqueurs structurels
Q95.9	réarrangement équilibré et marqueur structurel, non spécifié
Q96.0	caryotype 45,X
Q96.1	caryotype 46,X iso (Xq)
Q96.2	caryotype 46,X avec un chromosome sexuel anormal, sauf iso (Xq)
Q96.3	mosaïque chromosomique, 45,X/46,XX ou XY
Q96.4	mosaïque chromosomique, 45,X/autres lignées cellulaires avec un chromosome sexuel anormal
Q96.8	d'autres formes du syndrome de Turner
Q96.9	syndrome de Turner, non spécifié
Q97.0	caryotype 47,XXX
Q97.1	phénotype féminin avec plus de trois chromosomes X
Q97.2	mosaïque chromosomique, lignées avec de divers nombres des chromosomes X
Q97.3	phénotype féminin avec le caryotype 46,XY
Q97.8	d'autres anormalités spécifiées des chromosomes sexuels, phénotype féminin
Q97.9	anormalité des chromosomes sexuels, phénotype féminin, non spécifiée
Q98.0	syndrome de Klinefelter, caryotype 47,XXY
Q98.1	syndrome de Klinefelter, homme avec plus de deux chromosomes X
Q98.3	autre phénotype masculin avec le caryotype 46,XX
Q98.4	syndrome de Klinefelter, non spécifié
Q98.5	caryotype 47,XYY
Q98.6	phénotype masculin avec des chromosomes sexuels d'une structure anormale
Q98.7	phénotype masculin avec un mosaïque des chromosomes sexuels
Q98.8	d'autres anormalités spécifiées des chromosomes sexuels, phénotype masculin
Q98.9	anormalité des chromosomes sexuels, phénotype masculin, non spécifiée
Q99.0	chimère 46,XX/46,XY
Q99.1	hermaphrodite vrai 46,XX
Q99.2	chromosome X fragile
Q99.8	d'autres anormalités spécifiées des chromosomes
Q99.9	anormalité chromosomique, non spécifiée
