W00.0XXA	chute sur le même niveau due à la glace et la neige, contact initial
W18.49XS	autre glissade, faux pas et trébuchement sans chute, séquelle
W19.XXXA	chute non spécifiée, contact initial
W19.XXXD	chute non spécifiée, contact subséquent
W19.XXXS	chute non spécifiée, séquelle
W20.0XXA	heurté par une chute d'un objet dans un effondrement, contact initial
W20.0XXD	heurté par une chute d'un objet dans un effondrement, contact subséquent
W20.0XXS	heurté par une chute d'un objet dans un effondrement, séquelle
W20.1XXA	heurté par un objet émanant d'un effondrement d'un bâtiment, contact initial
W20.1XXD	heurté par un objet émanant d'un effondrement d'un bâtiment, contact subséquent
W20.1XXS	heurté par un objet émanant d'un effondrement d'un bâtiment, séquelle
W20.8XXA	autre cause de heurt par un lancement, une projection ou une chute d'un objet, contact initial
W20.8XXD	autre cause de heurt par un lancement, une projection ou une chute d'un objet, contact subséquent
W20.8XXS	autre cause de heurt par un lancement, une projection ou une chute d'un objet, séquelle
W21.00XA	heurté par une balle frappée ou lancée, type non spécifié, contact initial
W21.00XD	heurté par une balle frappée ou lancée, type non spécifié, contact subséquent
W21.00XS	heurté par une balle frappée ou lancée, type non spécifié, séquelle
W21.01XA	heurté par un ballon de football américain, contact initial
W21.01XD	heurté par un ballon de football américain, contact subséquent
W21.01XS	heurté par un ballon de football américain, séquelle
W21.02XA	heurté par un ballon de football, contact initial
W21.02XD	heurté par un ballon de football, contact subséquent
W21.02XS	heurté par un ballon de football, séquelle
W21.03XA	heurté par une balle de baseball, contact initial
W21.03XD	heurté par une balle de baseball, contact subséquent
W21.03XS	heurté par une balle de baseball, séquelle
W21.04XA	heurté par une balle de golf, contact initial
W21.04XD	heurté par une balle de golf, contact subséquent
W21.04XS	heurté par une balle de golf, séquelle
W21.05XA	heurté par un ballon de basket, contact initial
W21.05XD	heurté par un ballon de basket, contact subséquent
W21.05XS	heurté par un ballon de basket, séquelle
W21.06XA	heurté par un ballon de volleyball, contact initial
W21.06XD	heurté par un ballon de volleyball, contact subséquent
W21.06XS	heurté par un ballon de volleyball, séquelle
W21.07XA	heurté par une balle de softball, contact initial
W21.07XD	heurté par une balle de softball, contact subséquent
W21.07XS	heurté par une balle de softball, séquelle
W21.09XA	heurté par une autre balle frappée ou lancée, contact initial
W21.09XD	heurté par une autre balle frappée ou lancée, contact subséquent
W21.09XS	heurté par une autre balle frappée ou lancée, séquelle
W21.11XA	heurté par une batte de baseball, contact initial
W21.11XD	heurté par une batte de baseball, contact subséquent
W21.11XS	heurté par une batte de baseball, séquelle
W21.12XA	heurté par une raquette de tennis, contact initial
W21.12XD	heurté par une raquette de tennis, contact subséquent
W21.12XS	heurté par une raquette de tennis, séquelle
W21.13XA	heurté par un club de golf, contact initial
W21.13XD	heurté par un club de golf, contact subséquent
W21.13XS	heurté par un club de golf, séquelle
W21.19XA	heurté par une autre batte, une raquette ou un club, contact initial
W21.19XD	heurté par une autre batte, une raquette ou un club, contact subséquent
W21.19XS	heurté par une autre batte, une raquette ou un club, séquelle
W21.210A	heurté par une crosse de hockey sur glace, contact initial
W21.210D	heurté par une crosse de hockey sur glace, contact subséquent
W21.210S	heurté par une crosse de hockey sur glace, séquelle
W21.211A	heurté par une crosse de hockey sur gazon, contact initial
W21.211D	heurté par une crosse de hockey sur gazon, contact subséquent
W21.211S	heurté par une crosse de hockey sur gazon, séquelle
W21.220A	heurté par un palet de hockey sur glace, contact initial
W21.220D	heurté par un palet de hockey sur glace, contact subséquent
W21.220S	heurté par un palet de hockey sur glace, séquelle
W21.221A	heurté par une balle de hockey sur gazon, contact initial
W21.221D	heurté par une balle de hockey sur gazon, contact subséquent
W21.221S	heurté par une balle de hockey sur gazon, séquelle
W21.31XA	heurté par des crampons de chaussures, contact initial
W21.31XD	heurté par des crampons de chaussures, contact subséquent
W21.31XS	heurté par des crampons de chaussures, séquelle
W21.32XA	heurté par des lames de patins, contact initial
W21.32XD	heurté par des lames de patins, contact subséquent
W21.32XS	heurté par des lames de patins, séquelle
W21.39XA	heurté par d'autres chaussures de sport, contact initial
W21.39XD	heurté par d'autres chaussures de sport, contact subséquent
W21.39XS	heurté par d'autres chaussures de sport, séquelle
W21.4XXA	heurt contre un plongeoir, contact initial
W21.4XXD	heurt contre un plongeoir, contact subséquent
W21.4XXS	heurt contre un plongeoir, séquelle
W21.81XA	heurt contre ou heurté par une casque de football américain, contact initial
W21.81XD	heurt contre ou heurté par une casque de football américain, contact subséquent
W21.81XS	heurt contre ou heurté par une casque de football américain, séquelle
W21.89XA	heurt contre ou heurté par d'autre matériel de sport, contact initial
W21.89XD	heurt contre ou heurté par d'autre matériel de sport, contact subséquent
W21.89XS	heurt contre ou heurté par d'autre matériel de sport, séquelle
W21.9XXA	heurt contre ou heurté par matériel de sport non spécifié, contact initial
W21.9XXD	heurt contre ou heurté par matériel de sport non spécifié, contact subséquent
W21.9XXS	heurt contre ou heurté par matériel de sport non spécifié, séquelle
W22.01XA	heurt contre un mur en marchant, contact initial
W22.01XD	heurt contre un mur en marchant, contact subséquent
W22.01XS	heurt contre un mur en marchant, séquelle
W22.02XA	heurt contre un réverbère en marchant, contact initial
W22.02XD	heurt contre un réverbère en marchant, contact subséquent
W22.02XS	heurt contre un réverbère en marchant, séquelle
W22.03XA	heurt contre du mobilier en marchant, contact initial
W22.03XD	heurt contre du mobilier en marchant, contact subséquent
W22.03XS	heurt contre du mobilier en marchant, séquelle
W22.041A	heurt contre la paroi d'une piscine causant la noyade et la submersion, contact initial
W22.041D	heurt contre la paroi d'une piscine causant la noyade et la submersion, contact subséquent
W22.041S	heurt contre la paroi d'une piscine causant la noyade et la submersion, séquelle
W22.042A	heurt contre la paroi d'une piscine causant un autre traumatisme, contact initial
W22.042D	heurt contre la paroi d'une piscine causant un autre traumatisme, contact subséquent
W22.042S	heurt contre la paroi d'une piscine causant un autre traumatisme, séquelle
W22.09XA	heurt contre un autre objet immobile, contact initial
W22.09XD	heurt contre un autre objet immobile, contact subséquent
W22.09XS	heurt contre un autre objet immobile, séquelle
W22.10XA	heurt contre ou heurté par un airbag d'une automobile non spécifié, contact initial
W22.10XD	heurt contre ou heurté par un airbag d'une automobile non spécifié, contact subséquent
W22.10XS	heurt contre ou heurté par un airbag d'une automobile non spécifié, séquelle
W22.11XA	heurt contre ou heurté par un airbag d'une automobile du côté conducteur, contact initial
W22.11XD	heurt contre ou heurté par un airbag d'une automobile du côté conducteur, contact subséquent
W22.11XS	heurt contre ou heurté par un airbag d'une automobile du côté conducteur, séquelle
W22.12XA	heurt contre ou heurté par un airbag d'une automobile du côté passager avant, contact initial
W22.12XD	heurt contre ou heurté par un airbag d'une automobile du côté passager avant, contact subséquent
W22.12XS	heurt contre ou heurté par un airbag d'une automobile du côté passager avant, séquelle
W22.19XA	heurt contre ou heurté par un autre airbag d'une automobile, contact initial
W22.19XD	heurt contre ou heurté par un autre airbag d'une automobile, contact subséquent
W22.19XS	heurt contre ou heurté par un autre airbag d'une automobile, séquelle
W22.8XXA	heurt contre ou heurté par d'autres objets, contact initial
W22.8XXD	heurt contre ou heurté par d'autres objets, contact subséquent
W22.8XXS	heurt contre ou heurté par d'autres objets, séquelle
W23.0XXA	compression, écrasement, blocage ou serrement entre des objets en mouvement, contact initial
W23.0XXD	compression, écrasement, blocage ou serrement entre des objets en mouvement, contact subséquent
W23.0XXS	compression, écrasement, blocage ou serrement entre des objets en mouvement, séquelle
W23.1XXA	compression, écrasement, blocage ou serrement entre des objets immobiles, contact initial
W23.1XXD	compression, écrasement, blocage ou serrement entre des objets immobiles, contact subséquent
W23.1XXS	compression, écrasement, blocage ou serrement entre des objets immobiles, séquelle
W24.0XXA	contact avec des dispositifs de levage, non classés ailleurs, contact initial
W24.0XXD	contact avec des dispositifs de levage, non classés ailleurs, contact subséquent
W24.0XXS	contact avec des dispositifs de levage, non classés ailleurs, séquelle
W24.1XXA	contact avec des dispositifs de transmission, non classés ailleurs, contact initial
W24.1XXD	contact avec des dispositifs de transmission, non classés ailleurs, contact subséquent
W24.1XXS	contact avec des dispositifs de transmission, non classés ailleurs, séquelle
W25.XXXA	contact avec du verre tranchant, contact initial
W25.XXXD	contact avec du verre tranchant, contact subséquent
W25.XXXS	contact avec du verre tranchant, séquelle
W27.2XXD	contact avec des ciseaux, contact subséquent
W27.2XXS	contact avec des ciseaux, séquelle
W27.3XXA	contact avec une aiguille (à coudre), contact initial
W27.3XXD	contact avec une aiguille (à coudre), contact subséquent
W27.3XXS	contact avec une aiguille (à coudre), séquelle
W27.4XXA	contact avec un ustensile de cuisine, contact initial
W27.4XXD	contact avec un ustensile de cuisine, contact subséquent
W27.4XXS	contact avec un ustensile de cuisine, séquelle
W27.5XXA	contact avec un massicot, contact initial
W27.5XXD	contact avec un massicot, contact subséquent
W27.5XXS	contact avec un massicot, séquelle
W27.8XXA	contact avec un autre outil manuel non motorisé, contact initial
W27.8XXD	contact avec un autre outil manuel non motorisé, contact subséquent
W27.8XXS	contact avec un autre outil manuel non motorisé, séquelle
W28.XXXA	contact avec une tondeuse à gazon motorisée, contact initial
W28.XXXD	contact avec une tondeuse à gazon motorisée, contact subséquent
W28.XXXS	contact avec une tondeuse à gazon motorisée, séquelle
W29.0XXA	contact avec un appareil de cuisine électrique, contact initial
W29.0XXD	contact avec un appareil de cuisine électrique, contact subséquent
W29.0XXS	contact avec un appareil de cuisine électrique, séquelle
W29.1XXA	contact avec un couteau électrique, contact initial
W29.1XXD	contact avec un couteau électrique, contact subséquent
W29.1XXS	contact avec un couteau électrique, séquelle
W29.2XXA	contact avec d'autres appareils électro-ménagers, contact initial
W29.2XXD	contact avec d'autres appareils électro-ménagers, contact subséquent
W29.2XXS	contact avec d'autres appareils électro-ménagers, séquelle
W29.3XXA	contact avec un outils de jardinage, un outils à main et des machines pour l'usage en plein air, motorisés, contact initial
W29.3XXD	contact avec un outils de jardinage, un outils à main et des machines pour l'usage en plein air, motorisés, contact subséquent
W29.3XXS	contact avec un outils de jardinage, un outils à main et des machines pour l'usage en plein air, motorisés, séquelle
W29.4XXA	contact avec un pistolet à clous, contact initial
W29.4XXD	contact avec un pistolet à clous, contact subséquent
W29.4XXS	contact avec un pistolet à clous, séquelle
W29.8XXA	contact avec d'autres outils à main électriques et appareils électro-ménagers, contact initial
W29.8XXD	contact avec d'autres outils à main électriques et appareils électro-ménagers, contact subséquent
W29.8XXS	contact avec d'autres outils à main électriques et appareils électro-ménagers, séquelle
W30.0XXA	contact avec une moissonneuse-batteuse, contact initial
W30.0XXD	contact avec une moissonneuse-batteuse, contact subséquent
W30.0XXS	contact avec une moissonneuse-batteuse, séquelle
W30.1XXA	contact avec un arbre de prise de force, contact initial
W30.1XXD	contact avec un arbre de prise de force, contact subséquent
W30.1XXS	contact avec un arbre de prise de force, séquelle
W30.2XXA	contact avec un derrick de foin, contact initial
W30.2XXD	contact avec un derrick de foin, contact subséquent
W30.2XXS	contact avec un derrick de foin, séquelle
W30.3XXA	contact avec un silo à céréales, contact initial
W30.3XXD	contact avec un silo à céréales, contact subséquent
W30.3XXS	contact avec un silo à céréales, séquelle
W30.81XA	contact avec un véhicule de transport agricole immobile, contact initial
W30.81XD	contact avec un véhicule de transport agricole immobile, contact subséquent
W30.81XS	contact avec un véhicule de transport agricole immobile, séquelle
W30.89XA	contact avec d'autres machines agricoles spécifiées, contact initial
W30.89XD	contact avec d'autres machines agricoles spécifiées, contact subséquent
W30.89XS	contact avec d'autres machines agricoles spécifiées, séquelle
W30.9XXA	contact avec des machines agricoles non spécifiées, contact initial
W30.9XXD	contact avec des machines agricoles non spécifiées, contact subséquent
W30.9XXS	contact avec des machines agricoles non spécifiées, séquelle
W31.0XXA	contact avec des machines pour l'exploitation minière et forages de sol, contact initial
W31.0XXD	contact avec des machines pour l'exploitation minière et forages de sol, contact subséquent
W31.0XXS	contact avec des machines pour l'exploitation minière et forages de sol, séquelle
W31.1XXA	contact avec des machines pour la métallurgie, contact initial
W31.1XXD	contact avec des machines pour la métallurgie, contact subséquent
W31.1XXS	contact avec des machines pour la métallurgie, séquelle
W31.2XXA	contact avec des machines motorisées pour le travail et le cintrage du bois, contact initial
W31.2XXD	contact avec des machines motorisées pour le travail et le cintrage du bois, contact subséquent
W31.2XXS	contact avec des machines motorisées pour le travail et le cintrage du bois, séquelle
W31.3XXA	contact avec un générateur de force motrice, contact initial
W31.3XXD	contact avec un générateur de force motrice, contact subséquent
W31.3XXS	contact avec un générateur de force motrice, séquelle
W31.81XA	contact avec des machines récréatives, contact initial
W31.81XD	contact avec des machines récréatives, contact subséquent
W31.81XS	contact avec des machines récréatives, séquelle
W31.82XA	contact avec d'autres machines commerciales, contact initial
W31.82XD	contact avec d'autres machines commerciales, contact subséquent
W31.82XS	contact avec d'autres machines commerciales, séquelle
W31.83XA	contact avec un véhicule spécial de construction immobile, contact initial
W31.83XD	contact avec un véhicule spécial de construction immobile, contact subséquent
W31.83XS	contact avec un véhicule spécial de construction immobile, séquelle
W31.89XA	contact avec d'autres machines spécifiées, contact initial
W31.89XD	contact avec d'autres machines spécifiées, contact subséquent
W31.89XS	contact avec d'autres machines spécifiées, séquelle
W31.9XXA	contact avec des machines non spécifiées, contact initial
W31.9XXD	contact avec des machines non spécifiées, contact subséquent
W31.9XXS	contact avec des machines non spécifiées, séquelle
W32.0XXA	décharge accidentelle d'une arme de poing, contact initial
W32.0XXD	décharge accidentelle d'une arme de poing, contact subséquent
W32.0XXS	décharge accidentelle d'une arme de poing, séquelle
W32.1XXA	malfonctionnement accidentel d'une arme de poing, contact initial
W32.1XXD	malfonctionnement accidentel d'une arme de poing, contact subséquent
W32.1XXS	malfonctionnement accidentel d'une arme de poing, séquelle
W33.00XA	décharge accidentelle d'une arme à feu de plus grande taille non spécifiée, contact initial
W33.00XD	décharge accidentelle d'une arme à feu de plus grande taille non spécifiée, contact subséquent
W33.00XS	décharge accidentelle d'une arme à feu de plus grande taille non spécifiée, séquelle
W33.01XA	décharge accidentelle d'un fusil, contact initial
W33.01XD	décharge accidentelle d'un fusil, contact subséquent
W33.01XS	décharge accidentelle d'un fusil, séquelle
W33.02XA	décharge accidentelle d'un fusil de chasse, contact initial
W33.02XD	décharge accidentelle d'un fusil de chasse, contact subséquent
W33.02XS	décharge accidentelle d'un fusil de chasse, séquelle
W33.03XA	décharge accidentelle d'une mitrailleuse, contact initial
W33.03XD	décharge accidentelle d'une mitrailleuse, contact subséquent
W33.03XS	décharge accidentelle d'une mitrailleuse, séquelle
W33.09XA	décharge accidentelle d'une autre arme à feu de plus grande taille, contact initial
W33.09XD	décharge accidentelle d'une autre arme à feu de plus grande taille, contact subséquent
W33.09XS	décharge accidentelle d'une autre arme à feu de plus grande taille, séquelle
W33.10XA	malfonctionnement accidentel d'une arme à feu de plus grande taille non spécifiée, contact initial
W33.10XD	malfonctionnement accidentel d'une arme à feu de plus grande taille non spécifiée, contact subséquent
W33.10XS	malfonctionnement accidentel d'une arme à feu de plus grande taille non spécifiée, séquelle
W33.11XA	malfonctionnement accidentel d'un fusil, contact initial
W33.11XD	malfonctionnement accidentel d'un fusil, contact subséquent
W33.11XS	malfonctionnement accidentel d'un fusil, séquelle
W33.12XA	malfonctionnement accidentel d'un fusil de chasse, contact initial
W33.12XD	malfonctionnement accidentel d'un fusil de chasse, contact subséquent
W33.12XS	malfonctionnement accidentel d'un fusil de chasse, séquelle
W33.13XA	malfonctionnement accidentel d'une mitrailleuse, contact initial
W33.13XD	malfonctionnement accidentel d'une mitrailleuse, contact subséquent
W33.13XS	malfonctionnement accidentel d'une mitrailleuse, séquelle
W33.19XA	malfonctionnement accidentel d'une autre arme à feu de plus grande taille, contact initial
W33.19XD	malfonctionnement accidentel d'une autre arme à feu de plus grande taille, contact subséquent
W33.19XS	malfonctionnement accidentel d'une autre arme à feu de plus grande taille, séquelle
W34.00XA	décharge accidentelle d'armes à un feu non spécifiées, contact initial
W34.00XD	décharge accidentelle d'armes à un feu non spécifiées, contact subséquent
W34.00XS	décharge accidentelle d'armes à un feu non spécifiées, séquelle
W34.010A	décharge accidentelle d'une arme à air comprimé, contact initial
W34.010D	décharge accidentelle d'une arme à air comprimé, contact subséquent
W34.010S	décharge accidentelle d'une arme à air comprimé, séquelle
W34.011A	décharge accidentelle d'une arme à paintball, contact initial
W34.011D	décharge accidentelle d'une arme à paintball, contact subséquent
W34.011S	décharge accidentelle d'une arme à paintball, séquelle
W34.018A	décharge accidentelle d'une autre arme à gaz, air ou ressort, contact initial
W34.018D	décharge accidentelle d'une autre arme à gaz, air ou ressort, contact subséquent
W34.018S	décharge accidentelle d'une autre arme à gaz, air ou ressort, séquelle
W34.09XA	décharge accidentelle d'autres armes à feu spécifiées, contact initial
W34.09XD	décharge accidentelle d'autres armes à feu spécifiées, contact subséquent
W34.09XS	décharge accidentelle d'autres armes  à un feu spécifiées, séquelle
W34.10XA	malfonctionnement accidentel d'armes à un feu non spécifiées, contact initial
W34.10XD	malfonctionnement accidentel d'armes à un feu non spécifiées, contact subséquent
W34.10XS	malfonctionnement accidentel d'armes à un feu non spécifiées, séquelle
W34.110A	malfonctionnement accidentel d'une arme à air comprimé, contact initial
W34.110D	malfonctionnement accidentel d'une arme à air comprimé, contact subséquent
W34.110S	malfonctionnement accidentel d'une arme à air comprimé, séquelle
W34.111A	malfonctionnement accidentel d'une arme à paintball, contact initial
W34.111D	malfonctionnement accidentel d'une arme à paintball, contact subséquent
W34.111S	malfonctionnement accidentel d'une arme à paintball, séquelle
W34.118A	malfonctionnement accidentel d'une autre arme à gaz, air ou ressort, contact initial
W34.118D	malfonctionnement accidentel d'une autre arme à gaz, air ou ressort, contact subséquent
W34.118S	malfonctionnement accidentel d'une autre arme à gaz, air ou ressort, séquelle
W34.19XA	malfonctionnement accidentel d'autres armes à feu spécifiées, contact initial
W34.19XD	malfonctionnement accidentel d'autres armes à feu spécifiées, contact subséquent
W34.19XS	malfonctionnement accidentel d'autres armes à feu spécifiées, séquelle
W35.XXXA	explosion et rupture d'une chaudière, contact initial
W35.XXXD	explosion et rupture d'une chaudière, contact subséquent
W35.XXXS	explosion et rupture d'une chaudière, séquelle
W36.1XXA	explosion et rupture d'une bombe aérosol, contact initial
W36.1XXD	explosion et rupture d'une bombe aérosol, contact subséquent
W36.1XXS	explosion et rupture d'une bombe aérosol, séquelle
W36.2XXA	explosion et rupture d'un réservoir d'air, contact initial
W36.2XXD	explosion et rupture d'un réservoir d'air, contact subséquent
W36.2XXS	explosion et rupture d'un réservoir d'air, séquelle
W36.3XXA	explosion et rupture d'un réservoir de gaz sous pression, contact initial
W36.3XXD	explosion et rupture d'un réservoir de gaz sous pression, contact subséquent
W36.3XXS	explosion et rupture d'un réservoir de gaz sous pression, séquelle
W36.8XXA	explosion et rupture d'une autre bouteille de gaz, contact initial
W36.8XXD	explosion et rupture d'une autre bouteille de gaz, contact subséquent
W36.8XXS	explosion et rupture d'une autre bouteille de gaz, séquelle
W36.9XXA	explosion et rupture d'une bouteille de gaz non spécifiée, contact initial
W36.9XXD	explosion et rupture d'une bouteille de gaz non spécifiée, contact subséquent
W36.9XXS	explosion et rupture d'une bouteille de gaz non spécifiée, séquelle
W37.0XXA	explosion d'un pneu de bicyclette, contact initial
W37.0XXD	explosion d'un pneu de bicyclette, contact subséquent
W37.0XXS	explosion d'un pneu de bicyclette, séquelle
W37.8XXA	explosion et rupture d'un autre pneumatique, conduite ou tuyau sous pression, contact initial
W37.8XXD	explosion et rupture d'un autre pneumatique, conduite ou tuyau sous pression, contact subséquent
W37.8XXS	explosion et rupture d'un autre pneumatique, conduite ou tuyau sous pression, séquelle
W38.XXXA	explosion et rupture d'autres appareils spécifiés sous pression, contact initial
W38.XXXD	explosion et rupture d'autres appareils spécifiés sous pression, contact subséquent
W38.XXXS	explosion et rupture d'autres appareils spécifiés sous pression, séquelle
W39.XXXA	décharge de feu d'artifice, contact initial
W39.XXXD	décharge de feu d'artifice, contact subséquent
W39.XXXS	décharge de feu d'artifice, séquelle
W40.0XXA	explosion d'une charge explosive, contact initial
W40.0XXD	explosion d'une charge explosive, contact subséquent
W40.0XXS	explosion d'une charge explosive, séquelle
W40.1XXA	explosion de gaz explosifs, contact initial
W40.1XXD	explosion de gaz explosifs, contact subséquent
W40.1XXS	explosion de gaz explosifs, séquelle
W40.8XXA	explosion d'autres matériaux explosifs spécifiés, contact initial
W40.8XXD	explosion d'autres matériaux explosifs spécifiés, contact subséquent
W40.8XXS	explosion d'autres matériaux explosifs spécifiés, séquelle
W40.9XXA	explosion de matériaux explosifs non spécifiés, contact initial
W40.9XXD	explosion de matériaux explosifs non spécifiés, contact subséquent
W40.9XXS	explosion de matériaux explosifs non spécifiés, séquelle
W42.0XXA	exposition à des ondes supersoniques, contact initial
W42.0XXD	exposition à des ondes supersoniques, contact subséquent
W42.0XXS	exposition à des ondes supersoniques, séquelle
W42.9XXA	exposition à un autre bruit, contact initial
W42.9XXD	exposition à un autre bruit, contact subséquent
W42.9XXS	exposition à un autre bruit, séquelle
W45.0XXA	clou pénétrant dans la peau, contact initial
W45.0XXD	clou pénétrant dans la peau, contact subséquent
W45.0XXS	clou pénétrant dans la peau, séquelle
W45.1XXA	papier pénétrant dans la peau, contact initial
W45.1XXD	papier pénétrant dans la peau, contact subséquent
W45.1XXS	papier pénétrant dans la peau, séquelle
W45.2XXA	couvercle d'une boîte de conserve pénétrant dans la peau, contact initial
W45.2XXD	couvercle d'une boîte de conserve pénétrant dans la peau, contact subséquent
W45.2XXS	couvercle d'une boîte de conserve pénétrant dans la peau, séquelle
W45.8XXA	autre corps étranger ou objet pénétrant dans la peau, contact initial
W45.8XXD	autre corps étranger ou objet pénétrant dans la peau, contact subséquent
W45.8XXS	autre corps étranger ou objet pénétrant dans la peau, séquelle
W46.0XXA	contact avec une aiguille hypodermique, contact initial
W46.0XXD	contact avec une aiguille hypodermique, contact subséquent
W46.0XXS	contact avec une aiguille hypodermique, séquelle
W46.1XXA	contact avec une aiguille hypodermique contaminée, contact initial
W46.1XXD	contact avec une aiguille hypodermique contaminée, contact subséquent
W46.1XXS	contact avec une aiguille hypodermique contaminée, séquelle
W49.01XA	cheveux causant une constriction externe, contact initial
W49.01XD	cheveux causant une constriction externe, contact subséquent
W49.01XS	cheveux causant une constriction externe, séquelle
W49.02XA	ficelle ou fil causant une constriction externe, contact initial
W49.02XD	ficelle ou fil causant une constriction externe, contact subséquent
W49.02XS	ficelle ou fil causant une constriction externe, séquelle
W49.03XA	élastique causant une constriction externe, contact initial
W49.03XD	élastique causant une constriction externe, contact subséquent
W49.03XS	élastique causant une constriction externe, séquelle
W49.04XA	anneau ou d'autres bijoux causant une constriction externe, contact initial
W49.04XD	anneau ou d'autres bijoux causant une constriction externe, contact subséquent
W49.04XS	anneau ou d'autres bijoux causant une constriction externe, séquelle
W49.09XA	autre objet spécifié causant une constriction externe, contact initial
W49.09XD	autre objet spécifié causant une constriction externe, contact subséquent
W49.09XS	autre objet spécifié causant une constriction externe, séquelle
W49.9XXA	exposition à d'autres forces mécaniques inanimées, contact initial
W49.9XXD	exposition à d'autres forces mécaniques inanimées, contact subséquent
W49.9XXS	exposition à d'autres forces mécaniques inanimées, séquelle
W50.0XXA	coup ou heurt accidentels par une autre personne, contact initial
W50.0XXD	coup ou heurt accidentels par une autre personne, contact subséquent
W50.0XXS	coup ou heurt accidentels par une autre personne, séquelle
W50.1XXA	coup de pied accidentel par une autre personne, contact initial
W50.1XXD	coup de pied accidentel par une autre personne, contact subséquent
W50.1XXS	coup de pied accidentel par une autre personne, séquelle
W50.2XXA	torsion accidentelle par une autre personne, contact initial
W50.2XXD	torsion accidentelle par une autre personne, contact subséquent
W50.2XXS	torsion accidentelle par une autre personne, séquelle
W50.3XXA	morsure accidentelle par une autre personne, contact initial
W50.3XXD	morsure accidentelle par une autre personne, contact subséquent
W50.3XXS	morsure accidentelle par une autre personne, séquelle
W50.4XXA	égratignure accidentelle par une autre personne, contact initial
W50.4XXD	égratignure accidentelle par une autre personne, contact subséquent
W50.4XXS	égratignure accidentelle par une autre personne, séquelle
W51.XXXA	heurt ou une collision accidentels contre une autre personne, contact initial
W51.XXXD	heurt ou une collision accidentels contre une autre personne, contact subséquent
W51.XXXS	heurt ou une collision accidentels contre une autre personne, séquelle
W52.XXXA	écrasement, bousculade ou piétinement par une foule ou une débandade de gens, contact initial
W52.XXXD	écrasement, bousculade ou piétinement par une foule ou une débandade de gens, contact subséquent
W52.XXXS	écrasement, bousculade ou piétinement par une foule ou une débandade de gens, séquelle
W53.01XA	mordu par une souris, contact initial
W53.01XD	mordu par une souris, contact subséquent
W53.01XS	mordu par une souris, séquelle
W53.09XA	autre contact avec une souris, contact initial
W53.09XD	autre contact avec une souris, contact subséquent
W53.09XS	autre contact avec une souris, séquelle
W53.11XA	mordu par un rat, contact initial
W53.81XS	mordu par un autre rongeur, séquelle
W53.89XA	autre contact avec un autre rongeur, contact initial
W53.89XD	autre contact avec un autre rongeur, contact subséquent
W53.89XS	autre contact avec un autre rongeur, séquelle
W54.0XXA	mordu par un chien, contact initial
W54.0XXD	mordu par un chien, contact subséquent
W54.0XXS	mordu par un chien, séquelle
W54.1XXA	heurté par un chien, contact initial
W54.1XXD	heurté par un chien, contact subséquent
W54.1XXS	heurté par un chien, séquelle
W54.8XXA	autre contact avec un chien, contact initial
W54.8XXD	autre contact avec un chien, contact subséquent
W54.8XXS	autre contact avec un chien, séquelle
W55.01XA	mordu par un chat, contact initial
W55.01XD	mordu par un chat, contact subséquent
W55.01XS	mordu par un chat, séquelle
W55.03XA	griffé par un chat, contact initial
W55.03XD	griffé par un chat, contact subséquent
W55.03XS	griffé par un chat, séquelle
W55.09XA	autre contact avec un chat, contact initial
W55.09XD	autre contact avec un chat, contact subséquent
W55.09XS	autre contact avec un chat, séquelle
W55.11XA	mordu par un cheval, contact initial
W55.11XD	mordu par un cheval, contact subséquent
W55.11XS	mordu par un cheval, séquelle
W55.12XA	heurté par un cheval, contact initial
W55.12XD	heurté par un cheval, contact subséquent
W55.12XS	heurté par un cheval, séquelle
W55.19XA	autre contact avec un cheval, contact initial
W55.19XD	autre contact avec un cheval, contact subséquent
W55.19XS	autre contact avec un cheval, séquelle
W55.21XA	mordu par une vache, contact initial
W55.21XD	mordu par une vache, contact subséquent
W55.21XS	mordu par une vache, séquelle
W55.22XA	heurté par une vache, contact initial
W55.22XD	heurté par une vache, contact subséquent
W55.22XS	heurté par une vache, séquelle
W55.29XA	autre contact avec une vache, contact initial
W55.29XD	autre contact avec une vache, contact subséquent
W55.29XS	autre contact avec une vache, séquelle
W55.31XA	mordu par un autre ongulé, contact initial
W55.31XD	mordu par un autre ongulé, contact subséquent
W55.31XS	mordu par un autre ongulé, séquelle
W55.32XA	heurté par un autre ongulé, contact initial
W55.32XD	heurté par un autre ongulé, contact subséquent
W55.32XS	heurté par un autre ongulé, séquelle
W55.39XA	autre contact avec un autre ongulé, contact initial
W55.39XD	autre contact avec un autre ongulé, contact subséquent
W55.39XS	autre contact avec un autre ongulé, séquelle
W55.41XA	mordu par un cochon, contact initial
W55.41XD	mordu par un cochon, contact subséquent
W55.41XS	mordu par un cochon, séquelle
W55.42XA	heurté par un cochon, contact initial
W55.42XD	heurté par un cochon, contact subséquent
W55.42XS	heurté par un cochon, séquelle
W55.49XA	autre contact avec un cochon, contact initial
W55.49XD	autre contact avec un cochon, contact subséquent
W55.49XS	autre contact avec un cochon, séquelle
W55.51XA	mordu par un raton laveur, contact initial
W55.51XD	mordu par un raton laveur, contact subséquent
W55.51XS	mordu par un raton laveur, séquelle
W55.52XA	heurté par un raton laveur, contact initial
W55.52XD	heurté par un raton laveur, contact subséquent
W55.52XS	heurté par un raton laveur, séquelle
W55.59XA	autre contact avec un raton laveur, contact initial
