T07	multiples traumatismes non spécifiés
T32.91	corrosions couvrant 90% ou plus de la surface corporelle avec 10-19% de corrosion du troisième degré
T32.92	corrosions couvrant 90% ou plus de la surface corporelle avec 20-29% de corrosion du troisième degré
T32.93	corrosions couvrant 90% ou plus de la surface corporelle avec 30-39% de corrosion du troisième degré
T32.94	corrosions couvrant 90% ou plus de la surface corporelle avec 40-49% de corrosion du troisième degré
T32.95	corrosions couvrant 90% ou plus de la surface corporelle avec 50-59% de corrosion du troisième degré
T32.96	corrosions couvrant 90% ou plus de la surface corporelle avec 60-69% de corrosion du troisième degré
T32.97	corrosions couvrant 90% ou plus de la surface corporelle avec 70-79% de corrosion du troisième degré
T32.98	corrosions couvrant 90% ou plus de la surface corporelle avec 80-89% de corrosion du troisième degré
T32.99	corrosions couvrant 90% ou plus de la surface corporelle avec 90% ou plus de corrosion du troisième degré
T33.011A	gelure superficielle de l'oreille droite, contact initial
T33.011D	gelure superficielle de l'oreille droite, contact subséquent
T33.011S	gelure superficielle de l'oreille droite, séquelle
T33.012A	gelure superficielle de l'oreille gauche, contact initial
T33.012D	gelure superficielle de l'oreille gauche, contact subséquent
T33.012S	gelure superficielle de l'oreille gauche, séquelle
T33.019A	gelure superficielle d'une oreille non spécifiée, contact initial
T33.019D	gelure superficielle d'une oreille non spécifiée, contact subséquent
T33.019S	gelure superficielle d'une oreille non spécifiée, séquelle
T33.02XA	gelure superficielle du nez, contact initial
T33.02XD	gelure superficielle du nez, contact subséquent
T33.02XS	gelure superficielle du nez, séquelle
T33.09XA	gelure superficielle d'une autre partie de la tête, contact initial
T33.09XD	gelure superficielle d'une autre partie de la tête, contact subséquent
T33.09XS	gelure superficielle d'une autre partie de la tête, séquelle
T33.1XXA	gelure superficielle du cou, contact initial
T33.1XXD	gelure superficielle du cou, contact subséquent
T33.1XXS	gelure superficielle du cou, séquelle
T33.2XXA	gelure superficielle de thorax, contact initial
T33.2XXD	gelure superficielle de thorax, contact subséquent
T33.2XXS	gelure superficielle de thorax, séquelle
T33.3XXA	gelure superficielle de la paroi abdominale, partie inférieure du dos et de pelvis, contact initial
T33.41XA	gelure superficielle du membre supérieur droit, contact initial
T33.41XD	gelure superficielle du membre supérieur droit, contact subséquent
T33.41XS	gelure superficielle du membre supérieur droit, séquelle
T33.42XA	gelure superficielle du membre supérieur gauche, contact initial
T33.42XD	gelure superficielle du membre supérieur gauche, contact subséquent
T33.42XS	gelure superficielle du membre supérieur gauche, séquelle
T33.511A	gelure superficielle du poignet droit, contact initial
T33.511D	gelure superficielle du poignet droit, contact subséquent
T33.511S	gelure superficielle du poignet droit, séquelle
T33.512A	gelure superficielle du poignet gauche, contact initial
T33.512D	gelure superficielle du poignet gauche, contact subséquent
T33.512S	gelure superficielle du poignet gauche, séquelle
T33.519A	gelure superficielle d'un poignet non spécifié, contact initial
T33.519D	gelure superficielle d'un poignet non spécifié, contact subséquent
T33.519S	gelure superficielle d'un poignet non spécifié, séquelle
T33.521A	gelure superficielle de la main droite, contact initial
T33.521D	gelure superficielle de la main droite, contact subséquent
T33.521S	gelure superficielle de la main droite, séquelle
T33.522A	gelure superficielle de la main gauche, contact initial
T33.522D	gelure superficielle de la main gauche, contact subséquent
T33.522S	gelure superficielle de la main gauche, séquelle
T33.529A	gelure superficielle d'une main non spécifiée, contact initial
T33.529D	gelure superficielle d'une main non spécifiée, contact subséquent
T33.529S	gelure superficielle d'une main non spécifiée, séquelle
T33.531A	gelure superficielle de doigt(s) droit(s), contact initial
T33.531D	gelure superficielle de doigt(s) droit(s), contact subséquent
T33.531S	gelure superficielle de doigt(s) droit(s), séquelle
T33.532A	gelure superficielle de doigt(s) gauche(s), contact initial
T33.532D	gelure superficielle de doigt(s) gauche(s), contact subséquent
T33.532S	gelure superficielle de doigt(s) gauche(s), séquelle
T33.539A	gelure superficielle de doigt(s) non spécifié(s), contact initial
T33.539D	gelure superficielle de doigt(s) non spécifié(s), contact subséquent
T33.539S	gelure superficielle de doigt(s) non spécifié(s), séquelle
T33.60XA	gelure superficielle d'une hanche et cuisse non spécifiées, contact initial
T33.60XD	gelure superficielle d'une hanche et cuisse non spécifiées, contact subséquent
T33.60XS	gelure superficielle d'une hanche et cuisse non spécifiées, séquelle
T33.61XA	gelure superficielle de la hanche et de la cuisse droites, contact initial
T33.61XD	gelure superficielle de la hanche et de la cuisse droites, contact subséquent
T33.61XS	gelure superficielle de la hanche et de la cuisse droites, séquelle
T33.62XA	gelure superficielle de la hanche et de la cuisse gauches, contact initial
T33.62XD	gelure superficielle de la hanche et de la cuisse gauches, contact subséquent
T33.62XS	gelure superficielle de la hanche et de la cuisse gauches, séquelle
T33.70XA	gelure superficielle du genou et d'une jambe non spécifiées, contact initial
T33.70XD	gelure superficielle du genou et d'une jambe non spécifiées, contact subséquent
T33.70XS	gelure superficielle du genou et d'une jambe non spécifiées, séquelle
T33.71XA	gelure superficielle du genou et de la jambe droits, contact initial
T33.71XD	gelure superficielle du genou et de la jambe droits, contact subséquent
T33.71XS	gelure superficielle du genou et de la jambe droits, séquelle
T33.72XA	gelure superficielle du genou et de la jambe gauches, contact initial
T33.72XD	gelure superficielle du genou et de la jambe gauches, contact subséquent
T33.72XS	gelure superficielle du genou et de la jambe gauches, séquelle
T33.811A	gelure superficielle de la cheville droite, contact initial
T33.811D	gelure superficielle de la cheville droite, contact subséquent
T33.811S	gelure superficielle de la cheville droite, séquelle
T33.812A	gelure superficielle de la cheville gauche, contact initial
T33.812D	gelure superficielle de la cheville gauche, contact subséquent
T33.812S	gelure superficielle de la cheville gauche, séquelle
T33.819A	gelure superficielle d'une cheville non spécifiée, contact initial
T33.819D	gelure superficielle d'une cheville non spécifiée, contact subséquent
T33.819S	gelure superficielle d'une cheville non spécifiée, séquelle
T33.821A	gelure superficielle du pied droit, contact initial
T33.821D	gelure superficielle du pied droit, contact subséquent
T33.821S	gelure superficielle du pied droit, séquelle
T33.822A	gelure superficielle du pied gauche, contact initial
T33.822D	gelure superficielle du pied gauche, contact subséquent
T33.822S	gelure superficielle du pied gauche, séquelle
T33.829A	gelure superficielle d'un pied non spécifié, contact initial
T33.829D	gelure superficielle d'un pied non spécifié, contact subséquent
T33.829S	gelure superficielle d'un pied non spécifié, séquelle
T33.831A	gelure superficielle d'orteil(s) droit(s), contact initial
T33.831D	gelure superficielle d'orteil(s) droit(s), contact subséquent
T33.831S	gelure superficielle d'orteil(s) droit(s), séquelle
T33.832A	gelure superficielle d'orteil(s)  gauche(s), contact initial
T33.832D	gelure superficielle d'orteil(s)  gauche(s), contact subséquent
T33.832S	gelure superficielle d'orteil(s)  gauche(s), séquelle
T33.839A	gelure superficielle d'orteil(s)  non spécifié(s), contact initial
T33.839D	gelure superficielle d'orteil(s)  non spécifié(s), contact subséquent
T33.839S	gelure superficielle d'orteil(s)  non spécifié(s), séquelle
T33.90XA	gelure superficielle d'un site non spécifiés, contact initial
T33.90XD	gelure superficielle d'un site non spécifiés, contact subséquent
T33.90XS	gelure superficielle d'un site non spécifiés, séquelle
T33.99XA	gelure superficielle d'autres sites, contact initial
T33.99XD	gelure superficielle d'autres sites, contact subséquent
T33.99XS	gelure superficielle d'autres sites, séquelle
T34.011A	gelure avec nécrose tissulaire de l'oreille droite, contact initial
T34.011D	gelure avec nécrose tissulaire de l'oreille droite, contact subséquent
T34.011S	gelure avec nécrose tissulaire de l'oreille droite, séquelle
T34.012A	gelure avec nécrose tissulaire de l'oreille gauche, contact initial
T34.012D	gelure avec nécrose tissulaire de l'oreille gauche, contact subséquent
T34.012S	gelure avec nécrose tissulaire de l'oreille gauche, séquelle
T34.019A	gelure avec nécrose tissulaire d'une oreille non spécifiée, contact initial
T34.019D	gelure avec nécrose tissulaire d'une oreille non spécifiée, contact subséquent
T34.019S	gelure avec nécrose tissulaire d'une oreille non spécifiée, séquelle
T34.02XA	gelure avec nécrose tissulaire du nez, contact initial
T34.02XD	gelure avec nécrose tissulaire du nez, contact subséquent
T34.02XS	gelure avec nécrose tissulaire du nez, séquelle
T34.09XA	gelure avec nécrose tissulaire d'une autre partie de la tête, contact initial
T34.09XD	gelure avec nécrose tissulaire d'une autre partie de la tête, contact subséquent
T34.09XS	gelure avec nécrose tissulaire d'une autre partie de la tête, séquelle
T34.1XXA	gelure avec nécrose tissulaire du cou, contact initial
T34.1XXD	gelure avec nécrose tissulaire du cou, contact subséquent
T34.1XXS	gelure avec nécrose tissulaire du cou, séquelle
T34.2XXA	gelure avec nécrose tissulaire du thorax, contact initial
T34.2XXD	gelure avec nécrose tissulaire du thorax, contact subséquent
T34.2XXS	gelure avec nécrose tissulaire du thorax, séquelle
T34.3XXA	gelure avec nécrose tissulaire de la paroi abdominale, partie inférieure du dos et du pelvis, contact initial
T34.3XXD	gelure avec nécrose tissulaire de la paroi abdominale, partie inférieure du dos et du pelvis, contact subséquent
T34.3XXS	gelure avec nécrose tissulaire de la paroi abdominale, partie inférieure du dos et du pelvis, séquelle
T34.40XA	gelure avec nécrose tissulaire d'un membre supérieur non spécifié, contact initial
T34.40XD	gelure avec nécrose tissulaire d'un membre supérieur non spécifié, contact subséquent
T34.40XS	gelure avec nécrose tissulaire d'un membre supérieur non spécifié, séquelle
T34.41XA	gelure avec nécrose tissulaire du membre supérieur droit, contact initial
T34.41XD	gelure avec nécrose tissulaire du membre supérieur droit, contact subséquent
T34.41XS	gelure avec nécrose tissulaire du membre supérieur droit, séquelle
T34.42XA	gelure avec nécrose tissulaire du membre supérieur gauche, contact initial
T34.42XD	gelure avec nécrose tissulaire du membre supérieur gauche, contact subséquent
T34.42XS	gelure avec nécrose tissulaire du membre supérieur gauche, séquelle
T34.511A	gelure avec nécrose tissulaire du poignet droit, contact initial
T34.511D	gelure avec nécrose tissulaire du poignet droit, contact subséquent
T34.511S	gelure avec nécrose tissulaire du poignet droit, séquelle
T34.512A	gelure avec nécrose tissulaire du poignet gauche, contact initial
T34.512D	gelure avec nécrose tissulaire du poignet gauche, contact subséquent
T34.512S	gelure avec nécrose tissulaire du poignet gauche, séquelle
T34.519A	gelure avec nécrose tissulaire d'un poignet non spécifié, contact initial
T34.519D	gelure avec nécrose tissulaire d'un poignet non spécifié, contact subséquent
T34.519S	gelure avec nécrose tissulaire d'un poignet non spécifié, séquelle
T34.521A	gelure avec nécrose tissulaire de la main droite, contact initial
T34.521D	gelure avec nécrose tissulaire de la main droite, contact subséquent
T34.521S	gelure avec nécrose tissulaire de la main droite, séquelle
T34.522A	gelure avec nécrose tissulaire de la main gauche, contact initial
T34.522D	gelure avec nécrose tissulaire de la main gauche, contact subséquent
T34.522S	gelure avec nécrose tissulaire de la main gauche, séquelle
T34.529A	gelure avec nécrose tissulaire d'une main non spécifiée, contact initial
T34.529D	gelure avec nécrose tissulaire d'une main non spécifiée, contact subséquent
T34.529S	gelure avec nécrose tissulaire d'une main non spécifiée, séquelle
T34.531A	gelure avec nécrose tissulaire de doigt(s) droit(s), contact initial
T34.531D	gelure avec nécrose tissulaire de doigt(s) droit(s), contact subséquent
T34.531S	gelure avec nécrose tissulaire de doigt(s) droit(s), séquelle
T34.532A	gelure avec nécrose tissulaire de doigt(s) gauche(s), contact initial
T34.532D	gelure avec nécrose tissulaire de doigt(s) gauche(s), contact subséquent
T34.532S	gelure avec nécrose tissulaire de doigt(s) gauche(s), séquelle
T34.539A	gelure avec nécrose tissulaire de doigt(s) non spécifié(s), contact initial
T34.539D	gelure avec nécrose tissulaire de doigt(s) non spécifié(s), contact subséquent
T34.539S	gelure avec nécrose tissulaire de doigt(s) non spécifié(s), séquelle
T34.60XA	gelure avec nécrose tissulaire d'une hanche et cuisse non spécifiées, contact initial
T34.60XD	gelure avec nécrose tissulaire d'une hanche et cuisse non spécifiées, contact subséquent
T34.60XS	gelure avec nécrose tissulaire d'une hanche et cuisse non spécifiées, séquelle
T34.61XA	gelure avec nécrose tissulaire de la hanche et de la cuisse droites, contact initial
T34.61XD	gelure avec nécrose tissulaire de la hanche et de la cuisse droites, contact subséquent
T34.61XS	gelure avec nécrose tissulaire de la hanche et de la cuisse droites, séquelle
T34.62XA	gelure avec nécrose tissulaire de la hanche et de la cuisse gauches, contact initial
T34.62XD	gelure avec nécrose tissulaire de la hanche et de la cuisse gauches, contact subséquent
T34.62XS	gelure avec nécrose tissulaire de la hanche et de la cuisse gauches, séquelle
T34.70XA	gelure avec nécrose tissulaire du genou et d'une jambe non spécifiées, contact initial
T34.70XD	gelure avec nécrose tissulaire du genou et d'une jambe non spécifiées, contact subséquent
T34.70XS	gelure avec nécrose tissulaire du genou et d'une jambe non spécifiées, séquelle
T34.811A	gelure avec nécrose tissulaire de la cheville droite, contact initial
T34.811D	gelure avec nécrose tissulaire de la cheville droite, contact subséquent
T34.811S	gelure avec nécrose tissulaire de la cheville droite, séquelle
T34.812A	gelure avec nécrose tissulaire de la cheville gauche, contact initial
T34.812D	gelure avec nécrose tissulaire de la cheville gauche, contact subséquent
T34.812S	gelure avec nécrose tissulaire de la cheville gauche, séquelle
T34.819A	gelure avec nécrose tissulaire de la cheville non spécifiée, contact initial
T34.819D	gelure avec nécrose tissulaire de la cheville non spécifiée, contact subséquent
T34.819S	gelure avec nécrose tissulaire de la cheville non spécifiée, séquelle
T34.821A	gelure avec nécrose tissulaire du pied droit, contact initial
T34.821D	gelure avec nécrose tissulaire du pied droit, contact subséquent
T34.821S	gelure avec nécrose tissulaire du pied droit, séquelle
T34.822A	gelure avec nécrose tissulaire du pied gauche, contact initial
T34.822D	gelure avec nécrose tissulaire du pied gauche, contact subséquent
T34.822S	gelure avec nécrose tissulaire du pied gauche, séquelle
T34.829A	gelure avec nécrose tissulaire d'un pied non spécifié, contact initial
T34.829D	gelure avec nécrose tissulaire d'un pied non spécifié, contact subséquent
T34.829S	gelure avec nécrose tissulaire d'un pied non spécifié, séquelle
T34.831A	gelure avec nécrose tissulaire d'orteil(s) droit(s), contact initial
T34.831D	gelure avec nécrose tissulaire d'orteil(s) droit(s), contact subséquent
T34.831S	gelure avec nécrose tissulaire d'orteil(s) droit(s), séquelle
T34.832A	gelure avec nécrose tissulaire d'orteil(s)  gauche(s), contact initial
T34.832D	gelure avec nécrose tissulaire d'orteil(s)  gauche(s), contact subséquent
T34.832S	gelure avec nécrose tissulaire d'orteil(s)  gauche(s), séquelle
T34.839A	gelure avec nécrose tissulaire d'orteil(s)  non spécifié(s), contact initial
T34.839D	gelure avec nécrose tissulaire d'orteil(s)  non spécifié(s), contact subséquent
T34.839S	gelure avec nécrose tissulaire d'orteil(s)  non spécifié(s), séquelle
T34.90XA	gelure avec nécrose tissulaire de sites non spécifiés, contact initial
T34.90XD	gelure avec nécrose tissulaire de sites non spécifiés, contact subséquent
T34.90XS	gelure avec nécrose tissulaire de sites non spécifiés, séquelle
T34.99XA	gelure avec nécrose tissulaire d'autres sites, contact initial
T34.99XD	gelure avec nécrose tissulaire d'autres sites, contact subséquent
T34.99XS	gelure avec nécrose tissulaire d'autres sites, séquelle
T36.0X1A	intoxication par des pénicillines, accidentelle (involontaire), contact initial
T36.0X1D	intoxication par des pénicillines, accidentelle (involontaire), contact subséquent
T36.0X1S	intoxication par des pénicillines, accidentelle (involontaire), séquelle
T36.0X2A	intoxication par des pénicillines, auto-infligée, contact initial
T36.0X2D	intoxication par des pénicillines, auto-infligée, contact subséquent
T36.0X2S	intoxication par des pénicillines, auto-infligée, séquelle
T36.0X3A	intoxication par des pénicillines, agression, contact initial
T36.0X3D	intoxication par des pénicillines, agression, contact subséquent
T36.0X3S	intoxication par des pénicillines, agression, séquelle
T36.0X4A	intoxication par des pénicillines, intention indéterminée, contact initial
T36.0X4D	intoxication par des pénicillines, intention indéterminée, contact subséquent
T36.0X4S	intoxication par des pénicillines, intention indéterminée, séquelle
T36.0X5A	réaction secondaire aux pénicillines, contact initial
T36.0X5D	réaction secondaire aux pénicillines, contact subséquent
T36.0X5S	réaction secondaire aux pénicillines, séquelle
T36.0X6A	sous-dosage en pénicillines, contact initial
T36.0X6D	sous-dosage en pénicillines, contact subséquent
T36.0X6S	sous-dosage en pénicillines, séquelle
T36.1X1A	intoxication par des céphalosporines et d'autres bêtalactamines, accidentelle (involontaire), contact initial
T36.1X1D	intoxication par des céphalosporines et d'autres bêtalactamines, accidentelle (involontaire), contact subséquent
T36.1X1S	intoxication par des céphalosporines et d'autres bêtalactamines, accidentelle (involontaire), séquelle
T36.1X2A	intoxication par des céphalosporines et d'autres bêtalactamines, auto-infligée, contact initial
T36.1X2D	intoxication par des céphalosporines et d'autres bêtalactamines, auto-infligée, contact subséquent
T36.1X2S	intoxication par des céphalosporines et d'autres bêtalactamines, auto-infligée, séquelle
T36.1X3A	intoxication par des céphalosporines et d'autres bêtalactamines, agression, contact initial
T36.1X3D	intoxication par des céphalosporines et d'autres bêtalactamines, agression, contact subséquent
T36.1X3S	intoxication par des céphalosporines et d'autres bêtalactamines, agression, séquelle
T36.1X4A	intoxication par des céphalosporines et d'autres bêtalactamines, intention indéterminée, contact initial
T36.1X4D	intoxication par des céphalosporines et d'autres bêtalactamines, intention indéterminée, contact subséquent
T36.1X4S	intoxication par des céphalosporines et d'autres bêtalactamines, intention indéterminée, séquelle
T36.1X5A	réaction secondaire aux céphalosporines et d'autres bêtalactamines, contact initial
T36.1X5D	réaction secondaire aux céphalosporines et d'autres bêtalactamines, contact subséquent
T36.1X5S	réaction secondaire aux céphalosporines et d'autres bêtalactamines, séquelle
T36.1X6A	sous-dosage en céphalosporines et d'autres bêtalactamines, contact initial
T36.1X6D	sous-dosage en céphalosporines et d'autres bêtalactamines, contact subséquent
T36.1X6S	sous-dosage en céphalosporines et d'autres bêtalactamines, séquelle
T36.2X1A	intoxication par un groupe de chloramphénicol, accidentelle (involontaire), contact initial
T36.2X1D	intoxication par un groupe de chloramphénicol, accidentelle (involontaire), contact subséquent
T36.2X1S	intoxication par un groupe de chloramphénicol, accidentelle (involontaire), séquelle
T36.2X2A	intoxication par un groupe de chloramphénicol, auto-infligée, contact initial
T36.2X4S	intoxication par un groupe de chloramphénicol, intention indéterminée, séquelle
T36.2X5A	réaction secondaire au groupe du chloramphénicol, contact initial
T36.2X5D	réaction secondaire au groupe du chloramphénicol, contact subséquent
T36.2X5S	réaction secondaire au groupe du chloramphénicol, séquelle
T36.2X6A	sous-dosage en groupe du chloramphénicol, contact initial
T36.2X6D	sous-dosage en groupe du chloramphénicol, contact subséquent
T36.2X6S	sous-dosage en groupe du chloramphénicol, séquelle
T36.3X1A	intoxication par des macrolides, accidentelle (involontaire), contact initial
T36.3X1D	intoxication par des macrolides, accidentelle (involontaire), contact subséquent
T36.3X1S	intoxication par des macrolides, accidentelle (involontaire), séquelle
T36.3X2A	intoxication par des macrolides, auto-infligée, contact initial
T36.3X2D	intoxication par des macrolides, auto-infligée, contact subséquent
T36.3X2S	intoxication par des macrolides, auto-infligée, séquelle
T36.3X3A	intoxication par des macrolides, agression, contact initial
T36.3X3D	intoxication par des macrolides, agression, contact subséquent
T36.3X3S	intoxication par des macrolides, agression, séquelle
T36.3X4A	intoxication par des macrolides, intention indéterminée, contact initial
T36.3X4D	intoxication par des macrolides, intention indéterminée, contact subséquent
T36.3X4S	intoxication par des macrolides, intention indéterminée, séquelle
T36.3X5A	réaction secondaire aux macrolides, contact initial
T36.3X5D	réaction secondaire aux macrolides, contact subséquent
T36.3X5S	réaction secondaire aux macrolides, séquelle
T36.3X6A	sous-dosage en macrolides, contact initial
T36.3X6D	sous-dosage en macrolides, contact subséquent
T36.3X6S	sous-dosage en macrolides, séquelle
T36.4X1A	intoxication par des tétracyclines, accidentelle (involontaire), contact initial
T36.4X1D	intoxication par des tétracyclines, accidentelle (involontaire), contact subséquent
T36.4X1S	intoxication par des tétracyclines, accidentelle (involontaire), séquelle
T36.4X2A	intoxication par des tétracyclines, auto-infligée, contact initial
T36.4X2D	intoxication par des tétracyclines, auto-infligée, contact subséquent
T36.4X2S	intoxication par des tétracyclines, auto-infligée, séquelle
T36.4X3A	intoxication par des tétracyclines, agression, contact initial
T36.4X3D	intoxication par des tétracyclines, agression, contact subséquent
T36.4X3S	intoxication par des tétracyclines, agression, séquelle
T36.4X4A	intoxication par des tétracyclines, intention indéterminée, contact initial
T36.4X4D	intoxication par des tétracyclines, intention indéterminée, contact subséquent
T36.4X4S	intoxication par des tétracyclines, intention indéterminée, séquelle
T36.4X5A	réaction secondaire aux tétracyclines, contact initial
T36.4X5D	réaction secondaire aux tétracyclines, contact subséquent
T36.4X5S	réaction secondaire aux tétracyclines, séquelle
T36.4X6A	sous-dosage en tétracyclines, contact initial
T36.4X6D	sous-dosage en tétracyclines, contact subséquent
T36.4X6S	sous-dosage en tétracyclines, séquelle
T36.5X1A	intoxication par des aminosides, accidentelle (involontaire), contact initial
T36.5X1D	intoxication par des aminosides, accidentelle (involontaire), contact subséquent
T36.5X1S	intoxication par des aminosides, accidentelle (involontaire), séquelle
T36.5X2A	intoxication par des aminosides, auto-infligée, contact initial
T36.5X2D	intoxication par des aminosides, auto-infligée, contact subséquent
T36.5X2S	intoxication par des aminosides, auto-infligée, séquelle
T36.5X3A	intoxication par des aminosides, agression, contact initial
T36.5X3D	intoxication par des aminosides, agression, contact subséquent
T36.5X3S	intoxication par des aminosides, agression, séquelle
T36.5X4A	intoxication par des aminosides, intention indéterminée, contact initial
T36.5X4D	intoxication par des aminosides, intention indéterminée, contact subséquent
T36.5X4S	intoxication par des aminosides, intention indéterminée, séquelle
T36.5X5A	réaction secondaire aux aminosides, contact initial
T36.5X5D	réaction secondaire aux aminosides, contact subséquent
T36.5X5S	réaction secondaire aux aminosides, séquelle
T36.5X6A	sous-dosage en aminosides, contact initial
T36.5X6D	sous-dosage en aminosides, contact subséquent
T36.5X6S	sous-dosage en aminosides, séquelle
T36.6X1A	intoxication par rifampicine (groupe des rifamycines), accidentelle (involontaire), contact initial
T36.6X1D	intoxication par rifampicine (groupe des rifamycines), accidentelle (involontaire), contact subséquent
T36.6X1S	intoxication par rifampicine (groupe des rifamycines), accidentelle (involontaire), séquelle
T36.6X2A	intoxication par rifampicine (groupe des rifamycines), auto-infligée, contact initial
T36.6X2D	intoxication par rifampicine (groupe des rifamycines), auto-infligée, contact subséquent
T36.6X2S	intoxication par rifampicine (groupe des rifamycines), auto-infligée, séquelle
T36.6X3A	intoxication par rifampicine (groupe des rifamycines), aggression, contact initial
T36.6X3D	intoxication par rifampicine (groupe des rifamycines), aggression, contact subséquent
T36.6X3S	intoxication par rifampicine (groupe des rifamycines), aggression, séquelle
T36.6X4A	intoxication par rifampicine (groupe des rifamycines), intention indéterminée, contact initial
T36.6X4D	intoxication par rifampicine (groupe des rifamycines), intention indéterminée, contact subséquent
T36.6X4S	intoxication par rifampicine (groupe des rifamycines), intention indéterminée, séquelle
T36.6X5A	réaction secondaire à la rifampicine (groupe des rifamycines), contact initial
T36.6X5D	réaction secondaire à la rifampicine (groupe des rifamycines), contact subséquent
T36.6X5S	réaction secondaire à la rifampicine (groupe des rifamycines), séquelle
T36.6X6A	sous-dosage en rifampicine (groupe des rifamycines), contact initial
T36.6X6D	sous-dosage en rifampicine (groupe des rifamycines), contact subséquent
T36.6X6S	sous-dosage en rifampicine (groupe des rifamycines), séquelle
T36.7X1A	intoxication par des antibiotiques antifongiques, administrés par la voie générale, accidentelle (involontaire), contact initial
T36.7X1D	intoxication par des antibiotiques antifongiques, administrés par la voie générale, accidentelle (involontaire), contact subséquent
T36.7X1S	intoxication par des antibiotiques antifongiques, administrés par la voie générale, accidentelle (involontaire), séquelle
T36.7X2A	intoxication par des antibiotiques antifongiques, administrés par la voie générale, auto-infligée, contact initial
T36.7X2D	intoxication par des antibiotiques antifongiques, administrés par la voie générale, auto-infligée, contact subséquent
T36.7X2S	intoxication par des antibiotiques antifongiques, administrés par la voie générale, auto-infligée, séquelle
T36.7X3A	intoxication par des antibiotiques antifongiques, administrés par la voie générale, agression, contact initial
T36.7X3D	intoxication par des antibiotiques antifongiques, administrés par la voie générale, agression, contact subséquent
T36.7X3S	intoxication par des antibiotiques antifongiques, administrés par la voie générale, agression, séquelle
T36.7X4A	intoxication par des antibiotiques antifongiques, administrés par la voie générale, intention indéterminée, contact initial
T36.7X4D	intoxication par des antibiotiques antifongiques, administrés par la voie générale, intention indéterminée, contact subséquent
T36.7X4S	intoxication par des antibiotiques antifongiques, administrés par la voie générale, intention indéterminée, séquelle
T36.7X5A	réaction secondaire aux antibiotiques antifongiques, administrés par la voie générale, contact initial
T36.7X5D	réaction secondaire aux antibiotiques antifongiques, administrés par la voie générale, contact subséquent
T36.7X5S	réaction secondaire aux antibiotiques antifongiques, administrés par la voie générale, séquelle
T36.7X6A	sous-dosage en antibiotiques antifongiques, administrés par la voie générale, contact initial
T36.7X6D	sous-dosage en antibiotiques antifongiques, administrés par la voie générale, contact subséquent
T36.7X6S	sous-dosage en antibiotiques antifongiques, administrés par la voie générale, séquelle
T36.8X1A	intoxication par d'autres antibiotiques systémiques, accidentelle (involontaire), contact initial
T36.8X1D	intoxication par d'autres antibiotiques systémiques, accidentelle (involontaire), contact subséquent
T36.8X1S	intoxication par d'autres antibiotiques systémiques, accidentelle (involontaire), séquelle
T36.8X2A	intoxication par d'autres antibiotiques systémiques, auto-infligée, contact initial
T36.8X2D	intoxication par d'autres antibiotiques systémiques, auto-infligée, contact subséquent
T36.8X2S	intoxication par d'autres antibiotiques systémiques, auto-infligée, séquelle
T36.8X3A	intoxication par d'autres antibiotiques systémiques, agression, contact initial
T36.8X3D	intoxication par d'autres antibiotiques systémiques, agression, contact subséquent
T36.8X3S	intoxication par d'autres antibiotiques systémiques, agression, séquelle
T36.8X4A	intoxication par d'autres antibiotiques systémiques, intention indéterminée, contact initial
T36.8X4D	intoxication par d'autres antibiotiques systémiques, intention indéterminée, contact subséquent
T36.8X4S	intoxication par d'autres antibiotiques systémiques, intention indéterminée, séquelle
T36.8X5A	réaction secondaire aux d'autres antibiotiques systémiques, contact initial
T36.8X5D	réaction secondaire aux d'autres antibiotiques systémiques, contact subséquent
T36.8X5S	réaction secondaire aux d'autres antibiotiques systémiques, séquelle
T36.8X6A	sous-dosage en d'autres antibiotiques systémiques, contact initial
T36.8X6D	sous-dosage en d'autres antibiotiques systémiques, contact subséquent
T36.8X6S	sous-dosage en d'autres antibiotiques systémiques, séquelle
T36.91XA	intoxication par un antibiotique systémique non spécifié, accidentelle (involontaire), contact initial
T36.91XD	intoxication par un antibiotique systémique non spécifié, accidentelle (involontaire), contact subséquent
T36.91XS	intoxication par un antibiotique systémique non spécifié, accidentelle (involontaire), séquelle
T36.92XA	intoxication par un antibiotique systémique non spécifié, auto-infligée, contact initial
T36.92XD	intoxication par un antibiotique systémique non spécifié, auto-infligée, contact subséquent
T36.92XS	intoxication par un antibiotique systémique non spécifié, auto-infligée, séquelle
T36.93XA	intoxication par un antibiotique systémique non spécifié, agression, contact initial
T36.93XD	intoxication par un antibiotique systémique non spécifié, agression, contact subséquent
T36.93XS	intoxication par un antibiotique systémique non spécifié, agression, séquelle
T36.94XA	intoxication par un antibiotique systémique non spécifié, intention indéterminée, contact initial
T36.94XD	intoxication par un antibiotique systémique non spécifié, intention indéterminée, contact subséquent
T36.94XS	intoxication par un antibiotique systémique non spécifié, intention indéterminée, séquelle
T36.95XA	réaction secondaire à un antibiotique systémique non spécifié, contact initial
T36.95XD	réaction secondaire à un antibiotique systémique non spécifié, contact subséquent
T36.95XS	réaction secondaire à un antibiotique systémique non spécifié, séquelle
T36.96XA	sous-dosage en antibiotique systémique non spécifié, contact initial
T36.96XD	sous-dosage en antibiotique systémique non spécifié, contact subséquent
T36.96XS	sous-dosage en antibiotique systémique non spécifié, séquelle
T37.0X1A	intoxication par des sulfamides, accidentelle (involontaire), contact initial
