L03.011	cellulite du doigt droit
L90.9	trouble atrophique de la peau, non spécifié
L91.0	cicatrices hypertrophiques
L91.8	d'autres troubles hypertrophiques de la peau
L91.9	trouble hypertrophique de la peau, non spécifié
L92.0	granulome annulaire
L92.1	nécrobiose lipoïdique, non classée ailleurs
L92.2	granulome facial 
L92.2	granulome éosinophile de la peau
L92.3	granulome cutané et sous-cutané dû à la présence d'un corps étranger
L92.8	d'autres troubles granulomateux de la peau et du tissu sous-cutané
L92.9	trouble granulomateux de la peau et du tissu sous-cutané, non spécifié
L93.0	lupus érythémateux discoide
L93.1	lupus érythémateux cutané subaigu
L93.2	d'autres lupus érythémateux localisés
L94.0	sclérodermie localisée 
L94.1	sclérodermie linéaire
L94.2	calcinose cutanée
L94.3	sclérodactylie
L94.4	papules de Gottron
L94.5	poïkilodermie vasculaire atrophiante
L94.6	aïnhum
L94.8	d'autres troubles localisés spécifiés du tissu conjonctif
L94.9	trouble localisée du tissu conjonctif, non spécifié
L95.0	vasculite livédoïde
L95.8	d'autres vasculites limitées à la peau
L95.9	vasculite limitée à la peau, non spécifié
L97.11	ulcère chronique, non dû à la pression, d'une cuisse non spécifiée, limité au défaut de la peau
L97.12	ulcère chronique, non dû à la pression, d'une cuisse non spécifiée, avec l'exposition du tissu graisseux
L97.13	ulcère chronique, non dû à la pression, d'une cuisse non spécifiée, avec nécrose du muscle
L97.14	ulcère chronique, non dû à la pression, d'une cuisse non spécifiée, avec nécrose de l'os
L97.19	ulcère chronique, non dû à la pression, d'une cuisse non spécifiée, avec une sévérité non spécifiée
L97.111	ulcère chronique, non dû à la pression, de la cuisse droite, limité au défaut de la peau
L97.112	ulcère chronique, non dû à la pression, de la cuisse droite, avec l'exposition du tissu graisseux
L97.113	ulcère chronique, non dû à la pression, de la cuisse droite, avec nécrose du muscle
L97.114	ulcère chronique, non dû à la pression, de la cuisse droite, avec nécrose de l'os
L97.119	ulcère chronique, non dû à la pression, de la cuisse droite, avec une sévérité non spécifiée
L97.121	ulcère chronique, non dû à la pression, de la cuisse gauche, limité au défaut de la peau
L97.122	ulcère chronique, non dû à la pression, de la cuisse gauche, avec l'exposition du tissu graisseux
L97.123	ulcère chronique, non dû à la pression, de la cuisse gauche, avec nécrose du muscle
L97.124	ulcère chronique, non dû à la pression, de la cuisse gauche, avec nécrose de l'os
L97.129	ulcère chronique, non dû à la pression, de la cuisse gauche, avec une sévérité non spécifiée
L97.21	ulcère chronique, non dû à la pression, d'un mollet non spécifié, limité au défaut de la peau
L97.22	ulcère chronique, non dû à la pression, d'un mollet non spécifié, avec l'exposition du tissu graisseux
L97.23	ulcère chronique, non dû à la pression, d'un mollet non spécifié, avec nécrose du muscle
L97.24	ulcère chronique, non dû à la pression, d'un mollet non spécifié, avec nécrose de l'os
L97.29	ulcère chronique, non dû à la pression, d'un mollet non spécifié, avec une sévérité non spécifiée
L97.211	ulcère chronique, non dû à la pression, du mollet droit, limité au défaut de la peau
L97.212	ulcère chronique, non dû à la pression, du mollet droit, avec l'exposition du tissu graisseux
L97.213	ulcère chronique, non dû à la pression, du mollet droit, avec nécrose du muscle
L97.214	ulcère chronique, non dû à la pression, du mollet droit, avec nécrose de l'os
L97.219	ulcère chronique, non dû à la pression, du mollet droit, avec une sévérité non spécifiée
L97.221	ulcère chronique, non dû à la pression, du mollet gauche, limité au défaut de la peau
L97.222	ulcère chronique, non dû à la pression, du mollet gauche, avec l'exposition du tissu graisseux
L97.223	ulcère chronique, non dû à la pression, du mollet gauche, avec nécrose du muscle
L97.224	ulcère chronique, non dû à la pression, du mollet gauche, avec nécrose de l'os
L97.229	ulcère chronique, non dû à la pression, du mollet gauche, avec une sévérité non spécifiée
L97.31	ulcère chronique, non dû à la pression, d'une cheville non spécifiée, limité au défaut de la peau
L97.32	ulcère chronique, non dû à la pression, d'une cheville non spécifiée, avec l'exposition du tissu graisseux
L97.33	ulcère chronique, non dû à la pression, d'une cheville non spécifiée, avec nécrose du muscle
L97.34	ulcère chronique, non dû à la pression, d'une cheville non spécifiée, avec nécrose de l'os
L97.39	ulcère chronique, non dû à la pression, d'une cheville non spécifiée, avec une sévérité non spécifiée
L97.311	ulcère chronique, non dû à la pression, de la cheville droite, limité au défaut de la peau
L97.312	ulcère chronique, non dû à la pression, de la cheville droite, avec l'exposition du tissu graisseux
L97.313	ulcère chronique, non dû à la pression, de la cheville droite, avec nécrose du muscle
L97.314	ulcère chronique, non dû à la pression, de la cheville droite, avec nécrose de l'os
L97.319	ulcère chronique, non dû à la pression, de la cheville droite, avec une sévérité non spécifiée
L97.321	ulcère chronique, non dû à la pression, de la cheville gauche, limité au défaut de la peau
L97.322	ulcère chronique, non dû à la pression, de la cheville gauche, avec l'exposition du tissu graisseux
L97.323	ulcère chronique, non dû à la pression, de la cheville gauche, avec nécrose du muscle
L97.324	ulcère chronique, non dû à la pression, de la cheville gauche, avec nécrose de l'os
L97.329	ulcère chronique, non dû à la pression, de la cheville gauche, avec une sévérité non spécifiée
L97.41	ulcère chronique, non dû à la pression, d'un talon et métatarse non spécifiés, limité au défaut de la peau
L97.42	ulcère chronique, non dû à la pression, d'un talon et métatarse non spécifiés, avec l'exposition du tissu graisseux
L97.43	ulcère chronique, non dû à la pression, d'un talon et métatarse non spécifiés, avec nécrose du muscle
L97.44	ulcère chronique, non dû à la pression, d'un talon et métatarse non spécifiés, avec nécrose de l'os
L97.49	ulcère chronique, non dû à la pression, d'un talon et métatarse non spécifiés, avec une sévérité non spécifiée
L97.411	ulcère chronique, non dû à la pression, du talon et métatarse droits, limité au défaut de la peau
L97.412	ulcère chronique, non dû à la pression, du talon et métatarse droits, avec l'exposition du tissu graisseux
L97.413	ulcère chronique, non dû à la pression, du talon et métatarse droits, avec nécrose du muscle
L97.414	ulcère chronique, non dû à la pression, du talon et métatarse droits, avec nécrose de l'os
L97.419	ulcère chronique, non dû à la pression, du talon et métatarse droits, avec une sévérité non spécifiée
L97.421	ulcère chronique, non dû à la pression, du talon et métatarse gauches, limité au défaut de la peau
L97.422	ulcère chronique, non dû à la pression, du talon et métatarse gauches, avec l'exposition du tissu graisseux
L97.423	ulcère chronique, non dû à la pression, du talon et métatarse gauches, avec nécrose du muscle
L97.424	ulcère chronique, non dû à la pression, du talon et métatarse gauches, avec nécrose de l'os
L97.429	ulcère chronique, non dû à la pression, du talon et métatarse gauches, avec une sévérité non spécifiée
L97.51	ulcère chronique, non dû à la pression, d'une autre partie d'un pied non spécifié, limité au défaut de la peau
L97.52	ulcère chronique, non dû à la pression, d'une autre partie d'un pied non spécifie, avec l'exposition du tissu graisseux
L97.53	ulcère chronique, non dû à la pression, d'une autre partie d'un pied non spécifié, avec nécrose du muscle
L97.54	ulcère chronique, non dû à la pression, d'une autre partie d'un pied non spécifié, avec nécrose de l'os
L97.59	ulcère chronique, non dû à la pression, d'une autre partie d'un pied non spécifié, avec une sévérité non spécifiée
L97.511	ulcère chronique, non dû à la pression, d'une autre partie du pied droit, limité au défaut de la peau
L97.512	ulcère chronique, non dû à la pression, d'une autre partie du pied droit, avec l'exposition du tissu graisseux
L97.513	ulcère chronique, non dû à la pression, d'une autre partie du pied droit, avec nécrose du muscle
L97.514	ulcère chronique, non dû à la pression, d'une autre partie du pied droit, avec nécrose de l'os
L97.519	ulcère chronique, non dû à la pression, d'une autre partie du pied droit, avec une sévérité non spécifiée
L97.521	ulcère chronique, non dû à la pression, du pied gauche, limité au défaut de la peau
L97.522	ulcère chronique, non dû à la pression, d'une autre partie du pied gauche, avec l'exposition du tissu graisseux
L97.523	ulcère chronique, non dû à la pression, d'une autre partie du pied gauche, avec nécrose du muscle
L97.524	ulcère chronique, non dû à la pression, d'une autre partie du pied gauche, avec nécrose de l'os
L97.529	ulcère chronique, non dû à la pression, d'une autre partie du pied gauche, avec une sévérité non spécifiée
L97.81	ulcère chronique, non dû à la pression, d'une autre partie de la jambe, limité au défaut de la peau
L97.82	ulcère chronique, non dû à la pression, d'une autre partie de la jambe, avec l'exposition du tissu graisseux
L97.83	ulcère chronique, non dû à la pression, d'une autre partie de la jambe, avec nécrose du muscle
L97.84	ulcère chronique, non dû à la pression, d'une autre partie de la jambe, avec nécrose de l'os
L97.89	ulcère chronique, non dû à la pression, d'une autre partie de la jambe, avec une sévérité non spécifiée
L97.821	ulcère chronique, non dû à la pression, d'une autre partie de la jambe gauche, limité au défaut de la peau
L97.822	ulcère chronique, non dû à la pression, d'une autre partie de la jambe gauche, avec l'exposition du tissu graisseux
L97.823	ulcère chronique, non dû à la pression, d'une autre partie de la jambe gauche, avec nécrose du muscle
L97.824	ulcère chronique, non dû à la pression, d'une autre partie de la jambe gauche, avec nécrose de l'os
L97.829	ulcère chronique, non dû à la pression, d'une autre partie de la jambe gauche, avec une sévérité non spécifiée
L97.91	ulcère chronique, non dû à la pression, d'une partie non spécifiée d'une jambe non spécifiée, limité au défaut de la peau
L97.92	ulcère chronique, non dû à la pression, d'une partie non spécifiée d'une jambe non spécifiée, avec l'exposition du tissu graisseux
L97.93	ulcère chronique, non dû à la pression, d'une partie non spécifiée d'une jambe non spécifiée, avec nécrose du muscle
L97.94	ulcère chronique, non dû à la pression, d'une partie non spécifiée d'une jambe non spécifiée, avec nécrose de l'os
L97.99	ulcère chronique, non dû à la pression, d'une partie non spécifiée d'une jambe non spécifiée, avec une sévérité non spécifiée
L97.911	ulcère chronique, non dû à la pression, d'une partie non spécifiée de la jambe droite, limité au défaut de la peau
L97.912	ulcère chronique, non dû à la pression, d'une partie non spécifiée de la jambe droite, avec l'exposition du tissu graisseux
L97.913	ulcère chronique, non dû à la pression, d'une partie non spécifiée de la jambe droite, avec nécrose du muscle
L97.914	ulcère chronique, non dû à la pression, d'une partie non spécifiée de la jambe droite, avec nécrose de l'os
L97.919	ulcère chronique, non dû à la pression, d'une partie non spécifiée de la jambe droite, avec une sévérité non spécifiée
L97.921	ulcère chronique, non dû à la pression, d'une partie non spécifiée de la jambe gauche, limité au défaut de la peau
L97.922	ulcère chronique, non dû à la pression, d'une partie non spécifiée de la jambe gauche, avec l'exposition du tissu graisseux
L97.923	ulcère chronique, non dû à la pression, d'une partie non spécifiée de la jambe gauche, avec nécrose du muscle
L97.924	ulcère chronique, non dû à la pression, d'une partie non spécifiée de la jambe gauche, avec nécrose de l'os
L97.929	ulcère chronique, non dû à la pression, d'une partie non spécifiée de la jambe gauche, avec une sévérité non spécifiée
L98.0	granulome pyogénique
L98.1	dermatite factice
L98.2	Dermatose aiguë fébrile neutrophilique
L98.3	cellulite à éosinophiles
L98.3	Syndrome de Wells
L98.411	ulcère chronique, non dû à la pression, de la fesse, limité au défaut de la peau
L98.412	ulcère chronique, non dû à la pression, de la fesse, avec l'exposition du tissu graisseux
L98.413	ulcère chronique, non dû à la pression, de la fesse, avec nécrose du muscle
L98.414	ulcère chronique, non dû à la pression, de la fesse, avec nécrose de l'os
L98.419	ulcère chronique, non dû à la pression, de la fesse, avec une sévérité non spécifiée
L98.421	ulcère chronique, non dû à la pression, du dos, limité au défaut de la peau
L98.422	ulcère chronique, non dû à la pression, du dos, avec l'exposition du tissu graisseux
L98.423	ulcère chronique, non dû à la pression, du dos, avec nécrose du muscle
L98.424	ulcère chronique, non dû à la pression, du dos, avec nécrose de l'os
L98.429	ulcère chronique, non dû à la pression, du dos, avec une sévérité non spécifiée
L98.491	ulcère chronique, non dû à la pression, de la peau d'autres localisations, limité au défaut de la peau
L98.492	ulcère chronique, non dû à la pression, de la peau d'autres localisations, avec l'exposition du tissu graisseux
L98.493	ulcère chronique, non dû à la pression, de la peau d'autres localisations, avec nécrose du muscle
L98.494	ulcère chronique, non dû à la pression, de la peau d'autres localisations, avec nécrose de l'os
L98.499	ulcère chronique, non dû à la pression, de la peau d'autres localisations, avec une sévérité non spécifiée
L98.5	mucinose cutanée
L98.6	d'autres lésions infiltrantes de la peau et du tissu sous-cutané
L98.8	d'autres troubles spécifiés de la peau et du tissu sous-cutané
L89.9    trouble de la peau et du tissu sous-cutané, non spécifié
L99	d'autres troubles de la peau et du tissu sous-cutané au cours de maladies classées ailleurs

