R00.0	tachycardie, non spécifiée
R84.8	autres résultats anormaux dans les prélèvements des organes respiratoires et du thorax
R84.9	résultat anormal non spécifié dans les prélèvements des organes respiratoires et du thorax
R85.0	taux anormal d'enzymes dans les prélèvements des organes digestifs et de la cavité abdominale
R85.1	taux anormal d'hormones dans les prélèvements des organes digestifs et de la cavité abdominale
R85.2	taux anormal d'autres drogues, médicaments et substances biologiques dans les prélèvements des organes digestifs et de la cavité abdominale
R85.3	taux anormal de substances d'origine principalement non médicinale dans les prélèvements des organes digestifs et de la cavité abdominale
R85.4	résultats immunologiques anormaux dans les prélèvements des organes digestifs et de la cavité abdominale
R85.5	résultats microbiologiques anormaux dans les prélèvements des organes digestifs et de la cavité abdominale
R85.610	cellules squameuses atypiques d'une signification indéterminée au frottis anal
R85.611	cellules squameuses atypiques ne permettant pas d'exclure une lésion squameuse intraépithéliale de haut grade au frottis anal
R85.612	lésion squameuse intraépithéliale de bas grade au frottis anal
R85.613	lésion squameuse intraépithéliale de haut grade au frottis anal
R85.610	ASC-US au frottis anal
R85.611	ASC-H au frottis anal
R85.612	LGSIL au frottis anal
R85.613	HGSIL au frottis anal
R85.614	évidence cytologique de malignité dans un frottis anal
R85.615	frottis cytologique anal non satisfaisant
R85.616	frottis anal satisfaisant mais sans cellules de la zone de transformation
R85.618	d'autres résultats cytologiques anormaux dans les prélèvements anaux
R85.619	résultats cytologiques anormaux non spécifiés dans les prélèvements anaux
R85.69	résultats cytologiques anormaux des prélèvements d'autres organes digestifs et de la cavité abdominale
R85.7	résultats histologiques anormaux des prélèvements des organes digestifs et de la cavité abdominale
R85.81	test d'ADN positif pour le papillomavirus humain anal à haut risque
R85.82	test d'ADN positif pour le papillomavirus humain anal à bas risque
R85.89	d'autres résultats anormaux des prélèvements des organes digestifs et de la cavité abdominale
R85.9	résultats anormaux non spécifiés des prélèvements des organes digestifs et de la cavité abdominale
R86.0	taux anormal d'enzymes dans les prélèvements des organes génitaux masculins
R86.1	taux anormal de hormones dans les prélèvements des organes génitaux masculins
R86.2	taux anormal d'autres drogues, médicaments et substances biologiques dans les prélèvements des organes génitaux masculins
R86.3	taux anormal de substances d'origine principalement non médicinale dans les prélèvements des organes génitaux masculins
R86.4	résultats immunologiques anormaux des prélèvements des organes génitaux masculins
R86.5	résultats microbiologiques anormaux des prélèvements des organes génitaux masculins
R86.6	résultats cytologiques anormaux des prélèvements des organes génitaux masculins
R86.7	résultats histologiques anormaux des prélèvements des organes génitaux masculins
R86.8	autres résultats anormaux des prélèvements des organes génitaux masculins
R86.9	résultats anormaux non spécifiés des prélèvements des organes génitaux masculins
R87.0	taux anormal d'enzymes dans les prélèvements des organes génitaux féminins
R87.1	taux anormal de hormones dans les prélèvements des organes génitaux féminins
R87.2	taux anormal d'autres drogues, médicaments et substances biologiques dans les prélèvements des organes génitaux féminins
R87.3	taux anormal de substances d'origine principalement non médicinale dans les prélèvements des organes génitaux féminins
R87.4	résultats immunologiques anormaux des prélèvements des organes génitaux masculins
R87.5	résultats microbiologiques anormaux des prélèvements des organes génitaux masculins
R87.610	cellules squameuses atypiques de signification indéterminée au frottis cervical utérin
R87.611	cellules squameuses atypiques ne permettant pas d'exclure une lésion squameuse intraépithéliale de haut grade au frottis cervical utérin
R87.612	lésion squameuse intraépithéliale de bas grade au frottis cervical utérin
R87.613	lésion squameuse intraépithéliale de haut grade au frottis cervical utérin
R87.610	ASC-US au frottis cervical utérin
R87.611	ASC-H au frottis cervical utérin
R87.612	LGSIL au frottis cervical utérin
R87.613	HGSIL au frottis cervical utérin
R87.614	évidence cytologique de malignité au frottis cervical utérin
R87.615	frottis cytologique cervical utérin non satisfaisant
R87.616	frottis cervical utérin satisfaisant mais sans cellules de la zone de transformation
R87.618	d'autres résultats cytologiques anormaux dans les prélèvements cervicaux utérins
R87.619	résultats cytologiques anormaux non spécifiés dans les prélèvements cervicaux utérins
R87.620	cellules squameuses atypiques de signification indéterminée au frottis vaginal
R87.621	cellules squameuses atypiques ne permettant pas d'exclure une lésion squameuse intraépithéliale de haut grade au frottis vaginal
R87.622	lésion squameuse intraépithéliale de bas grade au frottis vaginal
R87.623	lésion squameuse intraépithéliale de haut grade au frottis vaginal
R87.620	ASC-US au frottis vaginal
R87.621	ASC-H au frottis vaginal
R87.622	LGSIL au frottis vaginal
R87.623	HGSIL au frottis vaginal
R87.624	évidence cytologique de malignité dans un frottis du vagin
R87.625	frottis cytologique vaginal non satisfaisant
R87.628	autres résultats cytologiques anormaux dans les prélèvements vaginaux
R87.629	résultats cytologiques anormaux non spécifiés dans les prélèvements vaginaux
R87.69	résultats cytologiques anormaux des prélèvements d'autres organes génitaux féminins
R87.7	résultats histologiques anormaux dans les prélèvements d'un organe génital féminin
R87.810	test d'ADN positif pour le papillomavirus humain cervical utérin à haut risque
R87.811	test d'ADN positif pour le papillomavirus humain vaginal à haut risque
R87.820	test d'ADN positif pour le papillomavirus humain cervical utérin à bas risque
R87.821	test d'ADN positif pour le papillomavirus humain vaginal à bas risque
R87.89	d'autres résultats anormaux des prélèvements des organes génitaux féminins
R87.9	résultats anormaux non spécifiés des prélèvements des organes génitaux féminins
R88.0	exsudat trouble de dialyse
R88.0	exsudat trouble de dialyse péritonéale
R88.0	exsudat trouble de hémodialyse
R88.0	exsudat trouble de hémodialyse péritonéale
R88.8	résultats anormaux de l'examen d'autres liquides et substances corporelles
R89.0	taux anormal d'enzymes dans les prélèvements d'autres organes, systèmes et tissus
R89.1	taux anormal de hormones dans les prélèvements d'autres organes, systèmes et tissus
R89.2	taux anormal d'autres drogues, médicaments et substances biologiques dans les prélèvements d'autres organes, systèmes et tissus
R89.3	taux anormal de substances d'origine principalement non médicinale dans les prélèvements d'autres organes, systèmes et tissus
R89.4	résultats immunologiques anormaux des prélèvements d'autres organes, systèmes et tissus
R89.5	résultats microbiologiques anormaux des prélèvements d'autres organes, systèmes et tissus
R89.6	résultats cytologiques anormaux des prélèvements d'autres organes, systèmes et tissus
R89.7	résultats histologiques anormaux des prélèvements d'autres organes, systèmes et tissus
R89.8	d'autres résultats anormaux des prélèvements d'autres organes, systèmes et tissus
R89.9	résultats anormaux non spécifiés des prélèvements d'autres organes, systèmes et tissus
R90.0	lésion intracrânienne expansive détectée par une imagerie diagnostique du système nerveux central
R90.81	échoencéphalogramme anormal
R90.82	maladie de la substance blanche cérébrale, non spécifiée
R90.89	d'autres résultats anormaux d'une imagerie diagnostique du système nerveux central
R91.1	nodule pulmonaire solitaire
R91.8	autres résultats anormaux aspécifiques d'un champ pulmonaire
R92.0	microcalcifications mammaires détectées par une imagerie diagnostique du sein
R92.1	calcifications mammaires détectées par une imagerie diagnostique du sein
R92.2	mammographie ininterprétable
R92.8	d'autres résultats anormaux et ininterprétables d'une imagerie diagnostique du sein
R93.0	résultats anormaux d'une imagerie diagnostique du crâne et de la tête, non classés ailleurs
R93.1	résultats anormaux d'une imagerie diagnostique du coeur et de la circulation coronaire
R93.2	résultats anormaux d'une imagerie diagnostique du foie et du tractus biliaire
R93.3	résultats anormaux d'une imagerie diagnostique d'autres parties du système digestif
R93.4	résultats anormaux d'une imagerie diagnostique des organes urinaires
R93.5	résultats anormaux d'une imagerie diagnostique d'autres régions abdominales, y compris le rétropéritoine
R93.6	résultats anormaux d'une imagerie diagnostique des membres
R93.7	résultats anormaux d'une imagerie diagnostique d'autres parties du système musculosquelettique
R93.8	résultats anormaux d'une imagerie diagnostique d'autres structures du corps spécifiées
R93.9	imagerie diagnostique ininterprétable due à un excès du panicule adipeux du patient
R94.1	électroencéphalogramme anormal
R94.1	EEG anormal
R94.2	scanner cérébral anormal
R94.9	résultats anormaux d'autres explorations fonctionnelles du système central nerveux
R94.110	électro-oculogramme anormal
R94.111	électrorétinogramme anormal
R94.112	potentiel évoqué visuel anormal
R94.110	EOG anormal
R94.111	ERG anormal
R94.112	PEV anormal
R94.113	exploration fonctionnelle oculomotrice anormale
R94.118	résultats anormaux d'autres explorations fonctionnelles de l'oeil
R94.120	exploration fonctionnelle auditive anormale
R94.121	exploration fonctionnelle vestibulaire anormale
R94.128	résultats anormaux d'autres explorations fonctionnelles de l'oreille et d'autres sens
R94.130	réponse anormale à stimulation du nerf, non spécifiée
R94.131	électromyogramme anormal
R94.131	EMG anormal
R94.138	résultats anormaux d'autres explorations fonctionnelles du système nerveux périphérique
R94.2	résultats anormaux d'explorations fonctionnelles pulmonaires
R94.30	résultat d'exploration fonctionnelle cardiovasculaire, non spécifié
R94.31	électro-cardiogramme anormal
R94.31	ECG anormal
R94.39	résultat anormal d'une autre exploration fonctionnelle cardiovasculaire
R94.4	résultats anormaux d'explorations fonctionnelles rénales
R94.5	résultats anormaux d'explorations fonctionnelles hépatiques
R94.6	résultats anormaux d'explorations fonctionnelles thyroïdiennes
R94.7	résultats anormaux d'autres explorations fonctionnelles endocriniennes
R94.8	résultats anormaux d'explorations fonctionnelles d'autres organes et systèmes
R97.0	élévation de CEA
R97.0	élévation de l'antigène carcino-embryonnaire
R97.1	élévation de CA125
R97.2	élévation des PSA
R97.0	élévation de l'antigène carcinoembryonnaire
R97.1	élévation de l'antigène 125
R97.2	élévation des antigènes prostatiques spécifiques
R97.8	d'autres marqueurs tumoraux anormaux
R99	cause de mortalité mal définie et non précisée
